,2016-04-30,2016-10-31,2017-01-31,2017-04-30
AllocatedShareBasedCompensationExpense,,27000.000,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,247000.000,1487000.000,1484000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,5000.000,,
ComprehensiveIncomeNetOfTax,592000.000,236000.000,-340000.000,-360000.000
CostOfRevenue,327000.000,367000.000,412000.000,406000.000
DeferredIncomeTaxesAndTaxCredits,,5000.000,,
DepreciationAndAmortization,153000.000,138000.000,184000.000,166000.000
EarningsPerShareBasic,0.040,0.020,-0.030,-0.020
EarningsPerShareDiluted,0.040,0.020,-0.030,-0.020
EffectOfExchangeRateOnCashAndCashEquivalents,,15000.000,,
ForeignCurrencyTransactionGainLossBeforeTax,130000.000,50000.000,-17000.000,-52000.000
GainLossOnDispositionOfAssets1,,-9000.000,,
GainLossOnForeignCurrencyDerivativeInstrumentsNotDesignatedAsHedgingInstruments,156000.000,67000.000,-110000.000,-92000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,372000.000,164000.000,-348000.000,-239000.000
IncomeTaxExpenseBenefit,46000.000,1000.000,-22000.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,392000.000,,
IncreaseDecreaseInAccountsReceivable,,11000.000,,
IncreaseDecreaseInDeferredRevenue,,-7000.000,,
IncreaseDecreaseInDueToRelatedPartiesCurrent,,-226000.000,,
IncreaseDecreaseInOtherOperatingAssets,,2000.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,264000.000,,
IncrementalCommonSharesAttributableToCallOptionsAndWarrants,987000.000,1079000.000,,
InterestIncomeExpenseNet,-1000.000,1000.000,7000.000,6000.000
NetCashProvidedByUsedInFinancingActivities,,124000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,124000.000,,
NetCashProvidedByUsedInInvestingActivities,,-349000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-349000.000,,
NetCashProvidedByUsedInOperatingActivities,,215000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,215000.000,,
NetIncomeLoss,326000.000,163000.000,-326000.000,-239000.000
OperatingIncomeLoss,243000.000,113000.000,-338000.000,-193000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,266000.000,73000.000,-14000.000,-121000.000
OtherComprehensiveIncomeLossNetOfTax,266000.000,73000.000,-14000.000,-121000.000
OtherComprehensiveIncomeOtherNetOfTax,,236000.000,,
PaymentsToDevelopSoftware,,349000.000,,
ProceedsFromStockOptionsExercised,,124000.000,,
RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,454000.000,477000.000,161000.000,160000.000
RepaymentsOfRelatedPartyDebt,360000.000,703000.000,157000.000,181000.000
Revenues,2573000.000,2383000.000,2572000.000,2530000.000
SalesRevenueNet,2573000.000,2383000.000,2572000.000,2530000.000
SellingGeneralAndAdministrativeExpense,1850000.000,1756000.000,2314000.000,2151000.000
ShareBasedCompensation,,27000.000,,
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedOptionsForfeitedNumberOfShares,,118000.000,,
StockIssuedDuringPeriodValueStockOptionsExercised,,68000.000,,
WeightedAverageNumberOfDilutedSharesOutstanding,9186000.000,10458000.000,9413000.000,9595000.000
WeightedAverageNumberOfSharesOutstandingBasic,8199000.000,9261000.000,9413000.000,9595000.000
