,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2014-12-27,2015-03-28,2015-06-27,2015-09-26,2016-01-02,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01
AccountsPayableCurrent,75828000.000,77725000.000,72104000.000,67100000.000,78244000.000,87604000.000,78854000.000,70840000.000,90822000.000,113226000.000,81397000.000,91560000.000,103624000.000,113329000.000,81565000.000,105390000.000
AccountsReceivableGrossCurrent,122667000.000,130146000.000,101356000.000,98005000.000,146473000.000,181515000.000,143446000.000,111757000.000,166426000.000,208336000.000,147270000.000,134504000.000,215606000.000,249817000.000,165683000.000,157992000.000
AccountsReceivableNetCurrent,119557000.000,127036000.000,99337000.000,95747000.000,143768000.000,179328000.000,141302000.000,109941000.000,164059000.000,205939000.000,145544000.000,132513000.000,213048000.000,247175000.000,162377000.000,154844000.000
AccountsReceivableRelatedParties,1292000.000,1307000.000,202000.000,1342000.000,1262000.000,1650000.000,333000.000,928000.000,629000.000,705000.000,635000.000,704000.000,673000.000,574000.000,721000.000,355000.000
AccountsReceivableUnapprovedContractClaims,,,,,1200000.000,1200000.000,1200000.000,1200000.000,1200000.000,1200000.000,,,,,,
AccrualForTaxesOtherThanIncomeTaxesCurrent,,,,,6084000.000,8235000.000,5520000.000,5765000.000,6464000.000,10221000.000,4618000.000,6017000.000,8658000.000,,5491000.000,7714000.000
AccruedEmployeeBenefitsCurrent,,,,,16066000.000,19173000.000,20326000.000,13100000.000,17733000.000,22095000.000,24714000.000,17606000.000,22780000.000,,30546000.000,18217000.000
AccruedInsuranceCurrent,,,,,8212000.000,10505000.000,11402000.000,12469000.000,11780000.000,13710000.000,9824000.000,9163000.000,10603000.000,,11966000.000,11047000.000
AccruedLiabilitiesAndOtherLiabilities,,,500000.000,,,,1600000.000,,,,2000000.000,,,,,
AccruedLiabilitiesCurrent,56263000.000,57418000.000,57251000.000,61378000.000,87913000.000,87513000.000,101496000.000,81612000.000,90778000.000,90880000.000,92942000.000,78963000.000,106960000.000,108711000.000,111605000.000,100720000.000
AccruedProfessionalFeesCurrent,,,,,2177000.000,3445000.000,3299000.000,3051000.000,5142000.000,1305000.000,2528000.000,2391000.000,1011000.000,,2459000.000,2244000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,183094000.000,199061000.000,212382000.000,228481000.000,246098000.000,261614000.000,279375000.000,297187000.000,317293000.000,343087000.000,366505000.000,395192000.000,422017000.000,452186000.000,484554000.000,518554000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-9130000.000,-9130000.000,-6045000.000,-5472000.000,-5472000.000,-7236000.000,-15546000.000,-1050000.000,14000.000,-2607000.000,-2795000.000,-1597000.000,-1981000.000,-2865000.000,-2249000.000,-1186000.000
AdditionalPaidInCapital,,,,,,,,456406000.000,457767000.000,600204000.000,,,,,,
AdditionalPaidInCapitalCommonStock,,,,,,,,,,,619003000.000,622608000.000,681334000.000,730201000.000,824304000.000,1068156000.000
AllowanceForDoubtfulAccountsReceivableCurrent,3110000.000,3110000.000,2019000.000,2258000.000,2705000.000,2187000.000,2144000.000,1816000.000,2367000.000,2397000.000,1726000.000,1991000.000,2558000.000,2642000.000,3306000.000,3148000.000
AssetRetirementObligation,,,15781000.000,,,,18310000.000,,,,20735000.000,,,,23906000.000,
Assets,1376765000.000,1383374000.000,1247794000.000,1490918000.000,1617640000.000,1746492000.000,1729777000.000,2018254000.000,1815492000.000,2330241000.000,2396179000.000,2614048000.000,2702495000.000,2781038000.000,2781466000.000,2971863000.000
AssetsCurrent,273717000.000,291146000.000,234634000.000,266693000.000,318755000.000,339893000.000,293416000.000,587540000.000,349620000.000,418899000.000,472528000.000,419548000.000,434021000.000,491098000.000,483698000.000,524913000.000
BillingsInExcessOfCostCurrent,5583000.000,4655000.000,9263000.000,6535000.000,4902000.000,9533000.000,8958000.000,8309000.000,8341000.000,11005000.000,13081000.000,10667000.000,9695000.000,16869000.000,15456000.000,12860000.000
BusinessCombinationContingentConsiderationLiabilityCurrent,,,,,,,2375000.000,3775000.000,4486000.000,4559000.000,4918000.000,,,,,
BusinessCombinationContingentConsiderationLiabilityNoncurrent,,,,,,,5379000.000,4187000.000,4193000.000,2711000.000,2475000.000,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedFinancialAssets,,,,,,,,,,,12555000.000,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedFinancialLiabilities,,,,,,,,,,,13733000.000,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,,,,,,,,,,,0.000,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedInventory,,,,,,,,,,,2036000.000,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,,,,,,,,,,,46641000.000,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesOther,,,,,,,,,,,11289000.000,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,,,,,,,,,,,57817000.000,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,,,,,,,,,,,62351000.000,,,,,
CapitalLeaseObligationsCurrent,,,,,13528000.000,17413000.000,17530000.000,17926000.000,18400000.000,16065000.000,15263000.000,12509000.000,12599000.000,,11766000.000,17396000.000
CapitalLeasesFutureMinimumPaymentsReceivableCurrent,,,2100000.000,,,,18100000.000,,,,15400000.000,,,,13600000.000,
CapitalLeasesFutureMinimumPaymentsReceivableInFiveYears,,,400000.000,,,,700000.000,,,,2600000.000,,,,700000.000,
CapitalLeasesFutureMinimumPaymentsReceivableInFourYears,,,400000.000,,,,700000.000,,,,1700000.000,,,,2600000.000,
CapitalLeasesFutureMinimumPaymentsReceivableInThreeYears,,,2900000.000,,,,5300000.000,,,,10500000.000,,,,5700000.000,
CapitalLeasesFutureMinimumPaymentsReceivableInTwoYears,,,1100000.000,,,,5100000.000,,,,10000000.000,,,,17600000.000,
Cash,7655000.000,19207000.000,14917000.000,34135000.000,20802000.000,6729000.000,13215000.000,314980000.000,12570000.000,18987000.000,186405000.000,,,,,
CashAndCashEquivalentsAtCarryingValue,7655000.000,19207000.000,14917000.000,34135000.000,20802000.000,6729000.000,,,,18987000.000,186405000.000,92244000.000,9168000.000,31643000.000,143392000.000,156107000.000
CostsInExcessOfBillingsOnUncompletedContractsOrPrograms,100000.000,400000.000,500000.000,,,,,,,,,,,,,
CostsInExcessOfBillingsOnUncompletedContractsOrProgramsExpectedToBeCollectedWithinOneYear,24356000.000,32504000.000,10767000.000,12372000.000,21779000.000,26542000.000,10174000.000,11836000.000,24721000.000,34175000.000,5690000.000,7797000.000,29026000.000,39052000.000,7450000.000,14926000.000
DebtAndCapitalLeaseObligations,663406000.000,663718000.000,662987000.000,,,,,,,,,,,,,
DebtCurrent,,,,,,,,5300000.000,5300000.000,8100000.000,6500000.000,,20500000.000,6500000.000,6500000.000,6500000.000
DebtInstrumentCarryingAmount,670945000.000,670945000.000,669890000.000,928835000.000,927780000.000,1041725000.000,1040670000.000,1039615000.000,750360000.000,1153800000.000,1296750000.000,1545125000.000,1543500000.000,1541875000.000,1540250000.000,1538625000.000
