,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
FloorBrokerageExchangeAndClearanceFees,1977782.000,1843525.000,,,,,,,,,,,,,,,,,,,
GainLossOnDerivativeInstrumentsHeldForTradingPurposesNet,,,,-12946052.000,-542838.000,,990123.000,2548087.000,-2328281.000,5644213.000,-2047833.000,1793296.000,2319086.000,1830825.000,2018998.000,-799044.000,-2031475.000,-477239.000,1323526.000,-943365.000,7264.000
GeneralAndAdministrativeExpense,89898.000,83797.000,1657465.000,1472882.000,1296513.000,1064473.000,959880.000,900200.000,810463.000,775500.000,632753.000,603824.000,509397.000,469070.000,480278.000,453307.000,402186.000,368970.000,358469.000,340776.000,320213.000
IncomeLossAttributableToParent,,,-2901166.000,-14397207.000,-1815844.000,-5090435.000,45115.000,1655769.000,-3133295.000,4877465.000,-2674515.000,1193258.000,1812142.000,1363606.000,1540733.000,-1250929.000,-2430027.000,-838167.000,982594.000,-1273455.000,-309872.000
InterestAndDividendIncomeOperating,-2050497.000,-1913494.000,-1637857.000,-1451155.000,-1273006.000,-1044985.000,-945008.000,-892318.000,-805014.000,-766748.000,-626682.000,-600038.000,-506944.000,,,,,,,,
InterestIncomeExpenseNet,,,,,,,,,,,,,,,2013.000,1422.000,3634.000,8042.000,17537.000,10686.000,3077.000
InterestIncomeOperating,17183.000,13828.000,19608.000,21727.000,23507.000,19488.000,14872.000,7882.000,5449.000,8752.000,6071.000,3786.000,2453.000,,,,,,,,
LossContingencyAccrualCarryingValueProvision,,,,,,,0.000,,,,,,,,,,,,,,
LossContingencyAccrualProvision,,,,,,,,,,,0.000,,,,0.000,,,,0.000,,
NetIncomeLossPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasicAndDiluted,-11.840,17.080,-6.940,-36.540,-4.970,-15.680,0.150,5.970,-12.210,18.930,-13.520,6.450,11.920,5.280,12.140,-10.150,-20.560,-6.180,9.130,-12.170,-3.110
NoninterestExpenseCommissionExpense,,,,,,,,,,,,,,,,,,,39179.000,46718.000,27546.000
OperatingExpenses,2067680.000,1927322.000,1657465.000,1472882.000,1296513.000,1064473.000,959880.000,900200.000,810463.000,775500.000,632753.000,603824.000,509397.000,469070.000,480278.000,453307.000,402186.000,368970.000,358469.000,340776.000,320213.000
PartnersCapitalAccountContributions,,,124865.000,,,,,,,,16000.000,,,,,,,,,,
PartnersCapitalAccountRedemptions,,,4470661.000,,,,4598920.000,,,,2207500.000,,,,836674.000,,,,766854.000,,
PartnersCapitalAccountUnitsContributed,,,456.000,,,,,,,,72.000,,,,,,,,,,
PartnersCapitalAccountUnitsRedeemed,,,16198.000,,,,20852.000,,,,9970.000,,,,3200.000,,,,3317.000,,
ProfitLoss,-5795572.000,7925231.000,,,,,,,,,,,,,,,,,,,
RealizedInvestmentGainsLosses,-744453.000,1239705.000,-2567221.000,-9253298.000,-2206036.000,-4782697.000,1500547.000,2034321.000,-1406730.000,2936488.000,-580998.000,1990895.000,1659945.000,1380406.000,3080979.000,-427526.000,-2620446.000,-267944.000,1245935.000,-1099559.000,149432.000
ReimbursementRevenue,,,,,,,,,,,,,,,,,,,39179.000,46718.000,27546.000
RevenuesExcludingInterestAndDividends,-3745075.000,9838725.000,-1263309.000,-12946052.000,-542838.000,-4045450.000,990123.000,2548087.000,-2328281.000,5644213.000,-2047833.000,1793296.000,2319086.000,,,,,,,,
UnrealizedGainLossOnInvestments,,,,-3692754.000,1663198.000,,-510424.000,513766.000,-921551.000,2707725.000,-1466835.000,-197599.000,659141.000,450419.000,-1061981.000,-371518.000,588971.000,-209295.000,77591.000,156194.000,-142168.000
WeightedAverageNumberOfLimitedPartnershipAndGeneralPartnershipUnitOutstandingBasicAndDiluted,489475.000,464071.000,417840.000,394055.000,365553.000,-799988.000,301438.000,277444.000,256640.000,-567248.000,197798.000,185047.000,152051.000,-367605.000,126930.000,123300.000,118190.000,-248078.000,107662.000,104605.000,99520.000
