,2011-09-30,2011-12-31,2012-03-31
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,177452000.000,183789000.000,259445000.000
AccountsReceivableNet,471474000.000,562300000.000,521615000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,39201000.000,40740000.000
Assets,2004325000.000,1787931000.000,2178762000.000
CashAndCashEquivalentsAtCarryingValue,24005000.000,62445000.000,355994000.000
DerivativeLiabilities,15778000.000,12370000.000,7240000.000
DueFromAffiliates,6082000.000,4609000.000,13148000.000
Liabilities,1739537000.000,1506622000.000,1603549000.000
LiabilitiesAndStockholdersEquity,2004325000.000,1787931000.000,2178762000.000
LoansHeldForSaleMortgages,377932000.000,458626000.000,378561000.000
OtherAssets,44795000.000,106181000.000,113991000.000
PropertyPlantAndEquipmentNet,20990000.000,24073000.000,25106000.000
RestrictedCashAndCashEquivalentsAtCarryingValue,72813000.000,71499000.000,108854000.000
ServicingAssetAtFairValueAmount,246916000.000,251050000.000,266169000.000
ServicingLiabilityAtAmortizedCostAmount,,,17102000.000
StockholdersEquity,264788000.000,281309000.000,575213000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,264788000.000,281309000.000,575213000.000
UnsecuredDebt,245109000.000,280199000.000,280568000.000
