,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31
BusinessCombinationAcquisitionRelatedCosts,,,,,,,39790.000,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,,,,-48.000,,,
EarningsPerShareBasicAndDiluted,0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.000,0.000
GeneralAndAdministrativeExpense,44119.000,44345.000,44849.000,45395.000,45353.000,44782.000,45787.000,1548.000,1548.000,1817.000,1833.000,101833.000
IncreaseDecreaseInAccountsReceivable,12500.000,,,,-12500.000,,,,,,,
IncreaseDecreaseInAccruedLiabilities,14525.000,,,,41276.000,,,,43797.000,,,
NetCashProvidedByUsedInFinancingActivities,369.000,,,,12124.000,,,,4500.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,369.000,,,,12124.000,,,,4500.000,,,
NetCashProvidedByUsedInOperatingActivities,-369.000,,,,-12124.000,,,,4452.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-369.000,,,,-12124.000,,,,4452.000,,,
NetIncomeLoss,-2394.000,-64171.000,-13915.000,-97566.000,-40900.000,-42329.000,-81124.000,-46970.000,-39345.000,-44614.000,-44005.000,-141880.000
OperatingExpenses,46144.000,107921.000,57665.000,141316.000,84650.000,86079.000,124874.000,46970.000,39345.000,44614.000,44005.000,141880.000
OperatingIncomeLoss,-2394.000,-64171.000,-13915.000,-97566.000,-40900.000,-42329.000,-81124.000,-46970.000,-39345.000,-44614.000,-44005.000,-141880.000
PaymentsForLoans,-369.000,,,,-12083.000,,,,4500.000,,,
ProceedsFromRepaymentsOfBankOverdrafts,,,,,41.000,,,,,,,
ProfessionalFees,2025.000,63576.000,12816.000,95921.000,39297.000,41297.000,39297.000,85212.000,37797.000,42797.000,42172.000,40047.000
Revenues,43750.000,43750.000,43750.000,43750.000,43750.000,43750.000,43750.000,0.000,,,,
SalesRevenueNet,43750.000,43750.000,43750.000,43750.000,43750.000,43750.000,43750.000,0.000,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,1025000.000,76900417.000,77884904.000,-78425650.000,77887500.000,77887500.000,77887500.000,-155775000.000,77887500.000,77887500.000,77887500.000,-155775000.000
