,2011-12-31,2012-12-31
AmortizationOfFinancingCostsAndDiscounts,359000.000,228000.000
AmortizationOfIntangibleAssets,90269000.000,103655000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,152000.000,2796000.000
GeneralAndAdministrativeExpense,1859000.000,3542000.000
IncreaseDecreaseInCustomerDeposits,-295000.000,-379000.000
IncreaseDecreaseInInterestPayableNet,-1459000.000,-1645000.000
IncreaseDecreaseInRestrictedCash,-295000.000,-378000.000
InterestExpenseDebt,14353000.000,9106000.000
InterestPaidNet,15812000.000,10750000.000
InvestmentIncomeNet,15000.000,57000.000
NetCashProvidedByUsedInFinancingActivities,-87996000.000,-99229000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-87996000.000,-99229000.000
NetCashProvidedByUsedInInvestingActivities,295000.000,378000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,295000.000,378000.000
NetCashProvidedByUsedInOperatingActivities,87853000.000,101647000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,87853000.000,101647000.000
NetIncomeLoss,0.000,0.000
OperatingExpenses,106840000.000,116531000.000
RepaymentsOfLongTermDebt,87996000.000,99229000.000
Revenues,106840000.000,116531000.000
SalesRevenueNet,106840000.000,116531000.000
