,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
CostOfGoodsSold,-58718.000,-64481.000,-2987.000,252372.000,-3000.000,-0.000,
GeneralAndAdministrativeExpense,11640.000,14775.000,-87091.000,175561.000,5207.000,3771.000,1752.000
GrossProfit,1532.000,23019.000,1013.000,3500.000,425.000,2500.000,
IncomeLossFromContinuingOperations,-10108.000,,,,-5632.000,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,0.000,0.000,0.000,-0.012,0.000,0.000,0.000
IncreaseDecreaseInInventories,,,,,4699.000,,
NetCashProvidedByUsedInOperatingActivities,-18216.000,,,,-933.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-18216.000,,,,-933.000,,
NetIncomeLoss,-10108.000,8244.000,-86078.000,2121.000,-5632.000,-1271.000,1752.000
OperatingExpenses,-10108.000,8244.000,-86078.000,2121.000,-5632.000,-1271.000,1752.000
OperatingIncomeLoss,-10108.000,,,,,,
ProfitLoss,,,,,-5632.000,,
Revenues,,,,,,2500.000,
SalesRevenueNet,,,,,,2500.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,7000000.000,7000000.000
WeightedAverageNumberOfSharesOutstandingBasic,7000000.000,7000000.000,7000000.000,-14000000.000,7000000.000,,
