,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31
AllocatedShareBasedCompensationExpense,,,,,,,352000.000,,253000.000,163000.000,218000.000,,125000.000
AmortizationOfIntangibleAssets,1210000.000,1371000.000,1041000.000,1865000.000,325000.000,231000.000,225000.000,131000.000,225000.000,225000.000,119000.000,119000.000,114000.000
CapitalizedComputerSoftwareAdditions,,,,,,,,,565000.000,,,,433000.000
CapitalizedComputerSoftwareAmortization,,,,,,,,,607000.000,,,,613000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-3607000.000,,,,,,,,,,
CashPeriodIncreaseDecrease,,,,,-629000.000,,,,-1358000.000,,,,-150000.000
CostOfServices,10812000.000,12507000.000,17368000.000,18463000.000,15631000.000,16452000.000,16208000.000,20250000.000,20405000.000,16512000.000,14628000.000,12035000.000,11563000.000
CostsAndExpenses,21318000.000,25146000.000,28187000.000,28229000.000,24199000.000,23037000.000,24221000.000,28212000.000,27857000.000,23393000.000,19195000.000,17492000.000,16619000.000
Depreciation,,,,,942000.000,,,,,,,,
DepreciationAndAmortization,,,,,,,,,880000.000,924000.000,1100000.000,996000.000,927000.000
DepreciationDepletionAndAmortization,,,1925000.000,2800000.000,1267000.000,,,,1104000.000,,,,1041000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,-256000.000,,,,,,0.000,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicAndDilutedShare,,,,,,-0.140,-0.010,,,0.000,,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,,,,,,,0.000,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,179000.000,,,,,,0.000,,,
EarningsPerShareBasic,-0.250,-0.180,-0.140,-0.170,-0.150,,,,-0.120,,,,-0.200
EarningsPerShareBasicAndDiluted,,,,,,-0.160,-0.080,,,-0.060,-0.060,,
EarningsPerShareDiluted,-0.250,-0.180,-0.140,-0.170,-0.150,,,,-0.120,,,,-0.200
GainLossOnDerivativeInstrumentsNetPretax,411000.000,513000.000,-58000.000,65000.000,5000.000,638000.000,-413000.000,870000.000,-334000.000,-64000.000,285000.000,1031000.000,2568000.000
GeneralAndAdministrativeExpense,3291000.000,2981000.000,2385000.000,2522000.000,2947000.000,2845000.000,3894000.000,3947000.000,3318000.000,3238000.000,2074000.000,2078000.000,1998000.000
GoodwillAndIntangibleAssetImpairment,,,,,,,,,0.000,,0.000,,
GoodwillImpairmentLoss,,,,,,,,,,,,,0.000
IncomeLossFromContinuingOperations,,,,-3546000.000,-3353000.000,-322000.000,-1590000.000,-1367000.000,-2828000.000,-1330000.000,-1308000.000,-745000.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,,,-4580000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-5353000.000,-3983000.000,-3140000.000,-3524000.000,-3281000.000,-163000.000,-1699000.000,-1351000.000,-2554000.000,-1507000.000,-1308000.000,-713000.000,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,,-0.010,-0.070,,,-0.060,-0.060,,
IncomeLossFromContinuingOperationsPerBasicShare,,,,-0.160,-0.150,,,,-0.120,,,,
IncomeLossFromContinuingOperationsPerDilutedShare,,,,-0.160,-0.150,,,,-0.120,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,,,-256000.000,,-3264000.000,-154000.000,,,0.000,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,,,,-0.140,-0.010,,,0.000,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,,-0.010,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,,,-0.010,,,,,,,,,
