,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31
AllocatedShareBasedCompensationExpense,,,,4000000.000,,,,1000000.000,3000000.000,,1000000.000,1000000.000,-2000000.000,-4000000.000,-1000000.000,0.000,0.000,,,,,
AmortizationOfDebtDiscountPremium,,,,,,,,,,,,,1000000.000,,1000000.000,1000000.000,0.000,0.000,,,1000000.000,
AmortizationOfFinancingCosts,,,,,,,5000000.000,6000000.000,6000000.000,5000000.000,6000000.000,1000000.000,0.000,0.000,0.000,0.000,0.000,0.000,,,1000000.000,
AmortizationOfFinancingCostsAndDiscounts,,,,,,,,,,,,1000000.000,1000000.000,,1000000.000,0.000,1000000.000,1000000.000,1000000.000,0.000,,
AmortizationOfIntangibleAssets,,,,12000000.000,12000000.000,,12000000.000,12000000.000,12000000.000,11000000.000,12000000.000,12000000.000,13000000.000,12000000.000,14000000.000,15000000.000,16000000.000,14000000.000,15000000.000,14000000.000,15000000.000,14000000.000
AssetImpairmentCharges,,,,119000000.000,53000000.000,,,2000000.000,1000000.000,,1000000.000,,,,,,,,,,,
AssetRetirementObligationForeignCurrencyTranslation,,,,,,,,,,,,,,,,,,,0.000,,,
AssetRetirementObligationLiabilitiesIncurred,,,,,,,,,,,,,,,,,,,0.000,,,
AssetRetirementObligationLiabilitiesSettled,,,,,,,,,,,,,,,,,,,0.000,,,
AssetsFairValueAdjustment,,,,,,,,,,,,2000000.000,1000000.000,,-5000000.000,3000000.000,62000000.000,,,,,
BusinessAcquisitionProFormaEarningsPerShareBasic,,,,,,,,,,,,-0.090,-0.110,,-0.070,0.130,-0.370,-0.360,0.210,0.180,0.090,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,,,,,,,-14000000.000,-17000000.000,,-11000000.000,22000000.000,-62000000.000,-59000000.000,35000000.000,31000000.000,15000000.000,
BusinessAcquisitionsProFormaRevenue,,,,,,,,,,,,2077000000.000,1871000000.000,,1879000000.000,1962000000.000,1824000000.000,1798000000.000,1897000000.000,1924000000.000,1825000000.000,
BusinessCombinationAcquisitionRelatedCosts,,,,,,,,,,,,,9000000.000,,4000000.000,2000000.000,1000000.000,-1000000.000,0.000,2000000.000,2000000.000,1000000.000
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,,,,,,,,,,,9000000.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-104000000.000,,,,-198000000.000,,,,-109000000.000,,,,-9000000.000,,,,46000000.000,,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,,,,,,,,,,,,,,-12000000.000,,,
ComprehensiveIncomeNetOfTax,,,137000000.000,-157000000.000,1000000.000,-209000000.000,-54000000.000,9000000.000,89000000.000,221000000.000,39000000.000,2000000.000,-103000000.000,-622000000.000,-106000000.000,43000000.000,-143000000.000,-80000000.000,78000000.000,-23000000.000,25000000.000,-112000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,5000000.000,,,,,,2000000.000,,0.000,3000000.000,-6000000.000,-5000000.000,-1000000.000,2000000.000,-3000000.000,3000000.000,4000000.000,3000000.000,2000000.000,1000000.000
