,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
GainLossOnSaleOfCommodityContracts,-2869725.000,-3955421.000,-1504918.000,-1348988.000,-280971.000,-1025592.000,28396.000,0.000,0.000
InterestIncomeOperating,1305.000,835.000,1770.000,2110.000,1990.000,2086.000,1166.000,416.000,300.000
ManagementFeeExpense,,,,,,,,,39392.000
NetIncomeLoss,-7598024.000,-6001231.000,-2331196.000,-2332147.000,-495386.000,-1121286.000,-202213.000,-334795.000,-270060.000
NetIncomeLossPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasicAndDiluted,-464.260,-380.860,-145.790,-159.120,-44.400,-100.890,-22.300,-39.920,-32.420
OperatingExpenses,686918.000,525748.000,458214.000,390330.000,324899.000,291818.000,284346.000,224301.000,202118.000
OtherExpenses,44423.000,39034.000,61294.000,43249.000,38107.000,-74403.000,98167.000,56349.000,50075.000
PartnersCapitalAccountContributions,287500.000,452229.000,342162.000,0.000,0.000,0.000,,50000.000,
PartnersCapitalAccountPeriodIncreaseDecrease,-9874398.000,-6070280.000,-3053454.000,-4401396.000,-3245562.000,,-1296315.000,-642516.000,-659510.000
PartnersCapitalAccountRedemptions,2363874.000,521278.000,-1064420.000,-2069249.000,2750176.000,7816452.000,1019091.000,357721.000,389450.000
RealizedInvestmentGainsLosses,,,,,,,89212.000,-9669.000,-212176.000
SellingExpense,465892.000,352119.000,287859.000,252654.000,207866.000,156837.000,137511.000,124610.000,112651.000
TradingActivityGainsAndLossesNet,-6912411.000,-5476318.000,-1874752.000,-1958084.000,-211940.000,-860356.000,80967.000,-110910.000,-68242.000
UnrealizedGainLossOnCommodityContracts,-4042686.000,-1520897.000,-369834.000,-609096.000,69031.000,165236.000,-33092.000,0.000,0.000
UnrealizedGainLossOnInvestments,,,,,,,-3549.000,-101241.000,143934.000
WeightedAverageLimitedPartnershipAndGeneralPartnershipUnitsOutstandingBasic,16695.448,15873.364,15961.919,14926.318,13186.340,-30316.569,9511.261,8636.253,8333.329
