,2015-09-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,35892.000,,,,-21215.000
ComprehensiveIncomeNetOfTax,,,,,,-24608.000
CurrentFederalTaxExpenseBenefit,,43574.000,,,,
EarningsPerShareBasicAndDiluted,0.000,-0.000,-0.000,-0.000,0.000,-0.000
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,,,,,,447.000
EffectiveIncomeTaxRateContinuingOperations,,,,,,0.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.340,,,,0.340
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,-0.340,,,,0.170
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,,,,,,0.170
GeneralAndAdministrativeExpense,,128158.000,4871.000,11783.000,12906.000,25055.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,-128158.000,-4837.000,-11783.000,-12885.000,-25055.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,-43574.000,,,,
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,,,,,,3660.000
IncreaseDecreaseInAccruedLiabilities,,28138.000,,,,13483.000
IncreaseDecreaseInPrepaidExpense,,,,,,10090.000
InvestmentIncomeInterest,,,34.000,,,
InvestmentIncomeNonoperating,,,34.000,,,
NetCashProvidedByUsedInFinancingActivities,,135912.000,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,135912.000,,,,
NetCashProvidedByUsedInOperatingActivities,,-100020.000,,,,-21662.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-100020.000,,,,-21662.000
NetIncomeLoss,,-128158.000,-4837.000,-11783.000,-12885.000,-25055.000
OperatingIncomeLoss,,-128158.000,-4871.000,-11783.000,-12906.000,-25055.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,,447.000
ProceedsFromIssuanceOfCommonStock,,100000.000,,,,
ProceedsFromRelatedPartyDebt,,100000.000,,,,
RelatedPartyTransactionRate,,0.000,,,,0.000
RepaymentsOfRelatedPartyDebt,,64088.000,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,54122997.000,58188931.000,64122997.000,64122997.000,-123763983.000,64122997.000
