,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AllocatedShareBasedCompensationExpense,193000.000,196000.000,238000.000,243000.000,263000.000
AmortizationOfIntangibleAssets,166000.000,166000.000,166000.000,167000.000,166000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,1253715.000,,,,2100702.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-1501000.000,,,,662000.000
ComprehensiveIncomeNetOfTax,,,,,-3200000.000
Depreciation,22000.000,24000.000,25000.000,23000.000,24000.000
EarningsPerShareBasicAndDiluted,-0.220,-0.230,-0.210,-0.200,-0.230
GeneralAndAdministrativeExpense,528000.000,642000.000,893000.000,870000.000,1220000.000
IncreaseDecreaseInAccountsPayable,34000.000,,,,517000.000
IncreaseDecreaseInAccruedLiabilities,-44000.000,,,,-291000.000
IncreaseDecreaseInDeferredCharges,146000.000,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,3000.000,,,,-15000.000
InterestIncomeExpenseNet,,3000.000,31000.000,,39000.000
InterestIncomeOperating,,3000.000,31000.000,,39000.000
InvestmentIncomeAmortizationOfPremium,,,,,5000.000
NetCashProvidedByUsedInFinancingActivities,,,,,4971000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,4971000.000
NetCashProvidedByUsedInInvestingActivities,-39000.000,,,,-1810000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-39000.000,,,,-1810000.000
NetCashProvidedByUsedInOperatingActivities,-1462000.000,,,,-2499000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-1462000.000,,,,-2499000.000
NetIncomeLoss,-1684000.000,-2258000.000,-2767000.000,-2809000.000,-3198000.000
OperatingExpenses,1684000.000,2261000.000,2798000.000,2843000.000,3237000.000
OperatingIncomeLoss,-1684000.000,-2258000.000,-2767000.000,-2809000.000,-3198000.000
OperatingLeasesRentExpenseNet,,,,,64000.000
OtherComprehensiveIncomeLossNetOfTax,,,-8000.000,,
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,,,,,-2000.000
PaymentsToAcquireMarketableSecurities,,,,,7610000.000
PaymentsToAcquirePropertyPlantAndEquipment,39000.000,,,,
ProceedsFromIssuanceOfPrivatePlacement,,,,,4965000.000
ProceedsFromSaleAndMaturityOfMarketableSecurities,,,,,5800000.000
ProceedsFromStockOptionsExercised,,,,,6000.000
ResearchAndDevelopmentExpense,990000.000,1453000.000,1739000.000,1806000.000,1851000.000
ShareBasedCompensation,193000.000,,,,263000.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,7565000.000,9791000.000,13315000.000,-19662000.000,13803000.000
