,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,75.000
CostOfGoodsAndServicesSold,,,,2357.000,
CostOfGoodsSold,,,,,109.000
CostOfRevenue,,,,,109.000
EarningsPerShareBasic,,,0.000,-0.000,
EarningsPerShareBasicAndDiluted,-0.000,-0.000,,,-0.000
EarningsPerShareDiluted,,,0.000,-0.000,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.150,0.340,0.340,0.340,0.340
EffectiveIncomeTaxRateReconciliationDeductions,0.000,0.000,0.000,0.000,0.000
EffectiveIncomeTaxRateReconciliationDeductionsOther,-0.150,-0.340,-0.340,-0.340,-0.340
GeneralAndAdministrativeExpense,4500.000,3500.000,,,266589.000
GrossProfit,,,15000.000,12642.000,11497.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,12300.000,-10724.000,
IncreaseDecreaseInAccountsPayable,,,-12349.000,2000.000,17650.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,4500.000,3500.000,,,
IncreaseDecreaseInAccountsReceivable,,,-12300.000,8724.000,
IncreaseDecreaseInNotesPayableCurrent,,,12349.000,,
NetCashProvidedByUsedInFinancingActivities,,,,,237517.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,237517.000
NetCashProvidedByUsedInOperatingActivities,0.000,0.000,,,-237442.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,0.000,0.000,,,-237442.000
NetIncomeLoss,-4500.000,-3500.000,12300.000,-10724.000,-255092.000
NetIncomeLossAttributableToNoncontrollingInterest,,,12300.000,10724.000,
OperatingExpenses,4500.000,3500.000,2700.000,23366.000,266589.000
OperatingIncomeLoss,,-3500.000,12300.000,-10724.000,-255092.000
ProceedsFromFederalHomeLoanBankAdvances,,,,,237517.000
RelatedPartyTransactionAmountsOfTransaction,2000.000,4000.000,4000.000,0.000,
Revenues,,,,,11606.000
SalesRevenueGoodsGross,,,15000.000,15000.000,
SalesRevenueGoodsNet,,,15000.000,15000.000,11606.000
SalesRevenueNet,,,,,11606.000
SellingGeneralAndAdministrativeExpense,,,2700.000,23366.000,
WeightedAverageNumberOfDilutedSharesOutstanding,,,190100000.000,190100000.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,190143716.000
WeightedAverageNumberOfSharesOutstandingBasic,190100000.000,190100000.000,190100000.000,190100000.000,
