,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,197000.000,,,,290000.000,,
AmortizationOfFinancingCosts,,,,1119000.000,1121000.000,,1123000.000,1124000.000,1125000.000
AmortizationOfFinancingCostsAndDiscounts,,,1978000.000,,,,2118000.000,,
AmortizationOfIntangibleAssets,,,,4925000.000,4825000.000,,4697000.000,4625000.000,4522000.000
CapitalizedComputerSoftwareAdditions,,,,6021000.000,6475000.000,,7251000.000,8143000.000,7377000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,15768000.000,,,,14200000.000,,
ComprehensiveIncomeNetOfTax,2062000.000,-869000.000,-3307000.000,-5855000.000,884000.000,-5809000.000,-7615000.000,-3157000.000,749000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,22000.000,-35000.000,5000.000,-20000.000,47000.000,32000.000,-15000.000,-8000.000,51000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,2084000.000,-904000.000,-3302000.000,-5875000.000,931000.000,-5777000.000,-7630000.000,-3165000.000,800000.000
CostOfReimbursableExpense,,,,0.000,0.000,,,,
CostOfRevenue,63860000.000,64394000.000,64750000.000,66858000.000,67201000.000,69061000.000,66047000.000,65656000.000,65082000.000
CostsAndExpensesRelatedParty,,,,1000000.000,1000000.000,,1000000.000,1000000.000,1000000.000
DeferredIncomeTaxExpenseBenefit,,,202000.000,,,,,,
DeferredIncomeTaxesAndTaxCredits,,,,,,,355000.000,,
DepreciationAndAmortization,,,,9425000.000,9256000.000,,8711000.000,9492000.000,9737000.000
DepreciationDepletionAndAmortization,,,13863000.000,,,,13408000.000,,
EffectOfExchangeRateOnCashAndCashEquivalents,,,88000.000,,,,-425000.000,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,,,0.350,,
GeneralAndAdministrativeExpense,16105000.000,15303000.000,18447000.000,16382000.000,15033000.000,15075000.000,17693000.000,17340000.000,16843000.000
IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,,,,-5704000.000,-146000.000,,,-2722000.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,479000.000,1335000.000,-3873000.000,-4326000.000,1130000.000,803000.000,-6471000.000,-1633000.000,1933000.000
IncomeTaxExpenseBenefit,421000.000,1295000.000,749000.000,1378000.000,1276000.000,480000.000,834000.000,1089000.000,1392000.000
IncomeTaxesPaid,,,659000.000,,,,404000.000,,
IncreaseDecreaseInAccountsPayableTrade,,,-2980000.000,,,,-1810000.000,,
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,,,19373000.000,,,,12248000.000,,
IncreaseDecreaseInDeferredRevenue,,,-2757000.000,,,,828000.000,,
IncreaseDecreaseInOperatingCapital,,,,,,,-16180000.000,,
IncreaseDecreaseInOtherOperatingCapitalNet,,,-383000.000,,,,-1766000.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,1521000.000,,,,508000.000,,
IncreaseDecreaseInReceivables,,,-6071000.000,,,,-3656000.000,,
InterestCostsIncurredCapitalized,,,,199000.000,291000.000,,336000.000,419000.000,439000.000
InterestExpense,19651000.000,21109000.000,21339000.000,21130000.000,21093000.000,21087000.000,21109000.000,21026000.000,21083000.000
InterestPaid,,,311000.000,,,,215000.000,,
InvestmentIncomeInterest,20000.000,,,,,,,,
MergerAndAcquisitionCosts,139000.000,62000.000,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,-3400000.000,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-3400000.000,,,,,,
NetCashProvidedByUsedInInvestingActivities,,,-11107000.000,,,,-10421000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-11107000.000,,,,-10421000.000,,
NetCashProvidedByUsedInOperatingActivities,,,30187000.000,,,,25046000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,30187000.000,,,,25046000.000,,
NetIncomeLoss,36000.000,75000.000,-4627000.000,-5684000.000,-193000.000,291000.000,-7290000.000,-2714000.000,490000.000
NetIncomeLossAttributableToNoncontrollingInterest,22000.000,-35000.000,5000.000,-20000.000,47000.000,32000.000,-15000.000,-8000.000,51000.000
OperatingCostsAndExpenses,,,,99770000.000,99351000.000,,,100126000.000,99288000.000
OperatingIncomeLoss,21169000.000,25199000.000,18184000.000,20462000.000,21526000.000,23340000.000,17123000.000,20647000.000,22480000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,,,1320000.000,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,2026000.000,-944000.000,1320000.000,-171000.000,1077000.000,227000.000,-325000.000,-443000.000,259000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,,,-325000.000,,
OtherNonoperatingIncomeExpense,-1059000.000,-2755000.000,-718000.000,-3658000.000,697000.000,-1450000.000,-2485000.000,-1254000.000,536000.000
OtherOperatingIncomeExpenseNet,,,,-24788000.000,-20396000.000,,,-22280000.000,-20547000.000
PaymentsOfFinancingCosts,,,400000.000,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,11107000.000,,,,10421000.000,,
ProceedsFromLinesOfCredit,,,7000000.000,,,,,,
ProfitLoss,58000.000,40000.000,-4622000.000,-5704000.000,-146000.000,323000.000,-7305000.000,-2722000.000,541000.000
RepaymentsOfLinesOfCredit,,,10000000.000,,,,,,
RestructuringCharges,1418000.000,709000.000,381000.000,577000.000,402000.000,182000.000,78000.000,1141000.000,242000.000
Revenues,118815000.000,122716000.000,118912000.000,120809000.000,121279000.000,126524000.000,118746000.000,120773000.000,121768000.000
SalesRevenueNet,118815000.000,122716000.000,118912000.000,120809000.000,121279000.000,126524000.000,118746000.000,120773000.000,121768000.000
SellingAndMarketingExpense,16124000.000,17049000.000,17150000.000,16530000.000,17117000.000,18866000.000,17883000.000,17130000.000,17363000.000
ShareBasedCompensation,,,197000.000,,,,290000.000,,
