,2015-08-01,2015-10-31,2016-04-30,2016-07-30,2016-10-29,2017-01-28,2017-04-29
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentPeriodIncreaseDecrease,,,2411000.000,,,,
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,,,,,,,219000.000
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationRestrictedStockUnitsRequisiteServicePeriodRecognition,,,,,,,0.000
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,,,1545000.000,,,,1911000.000
AmortizationOfDebtDiscountPremium,,,,,,,5000.000
AmortizationOfFinancingCosts,,,187000.000,,,,180000.000
AmortizationOfIntangibleAssets,,,95000.000,,,,87000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,884582.000,578890.000,312952.000,,,,
CapitalExpendituresIncurredButNotYetPaid,,,,,,,1518000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,6870000.000,,,,-64963000.000
CostOfGoodsSold,111875000.000,104641000.000,114704000.000,127442000.000,117795000.000,169963000.000,134667000.000
DeferredIncomeTaxExpenseBenefit,,,-568000.000,,,,-864000.000
DepreciationAndAmortization,1760000.000,1810000.000,1978000.000,2068000.000,2142000.000,2255000.000,2272000.000
DepreciationDepletionAndAmortization,,,,,,,2775000.000
EarningsPerShareBasic,0.130,0.120,0.200,0.220,0.170,0.400,0.310
EarningsPerShareDiluted,0.120,0.110,0.190,0.210,0.170,0.390,0.290
EffectiveIncomeTaxRateContinuingOperations,0.369,0.365,0.392,0.360,0.393,-0.766,0.259
EmployeeServiceShareBasedCompensationTaxBenefitRealizedFromExerciseOfStockOptions,,,4779000.000,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,4779000.000,,,,0.000
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,4779000.000,,,,0.000
GainLossOnDispositionOfAssets,,,,,,,8000.000
GainsLossesOnExtinguishmentOfDebt,-2351000.000,,,0.000,0.000,,-397000.000
GrossProfit,70058000.000,69924000.000,79015000.000,83814000.000,84190000.000,113392000.000,92935000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,10067000.000,10649000.000,19315000.000,20514000.000,17242000.000,39188000.000,25603000.000
IncomeTaxExpenseBenefit,3715000.000,3887000.000,7567000.000,7379000.000,6781000.000,14768000.000,6637000.000
IncomeTaxesPaidNet,,,4247000.000,,,,130000.000
IncreaseDecreaseInAccountsPayable,,,6811000.000,,,,11746000.000
IncreaseDecreaseInAccountsReceivable,,,79000.000,,,,29000.000
IncreaseDecreaseInAccruedLiabilities,,,,,,,-4648000.000
IncreaseDecreaseInIncomeTaxes,,,3928000.000,,,,7371000.000
IncreaseDecreaseInInventories,,,15805000.000,,,,36523000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,3478000.000,,,,-370000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,2198000.000,2312000.000,2214000.000,-4469000.000,3509000.000
InterestExpense,4423000.000,3289000.000,1664000.000,1471000.000,1405000.000,,
InterestIncomeExpenseNonoperatingNet,,,,,,,-1334000.000
InterestPaidNet,,,1469000.000,,,,1152000.000
NetCashProvidedByUsedInFinancingActivities,,,11350000.000,,,,-63937000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,11350000.000,,,,-63937000.000
NetCashProvidedByUsedInInvestingActivities,,,-4821000.000,,,,-2945000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-4821000.000,,,,-2945000.000
NetCashProvidedByUsedInOperatingActivities,,,341000.000,,,,1919000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,341000.000,,,,1919000.000
NetIncomeLoss,6352000.000,6762000.000,11748000.000,13135000.000,10461000.000,24420000.000,18966000.000
OperatingIncomeLoss,16841000.000,13938000.000,20979000.000,21985000.000,18647000.000,40583000.000,27334000.000
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,,,,,,,219000.000
PaymentsToAcquirePropertyPlantAndEquipment,,,4821000.000,,,,2953000.000
PreOpeningCosts,1882000.000,2380000.000,1249000.000,2024000.000,2879000.000,731000.000,1598000.000
ProceedsFromLinesOfCredit,,,202000000.000,,,,236389000.000
ProceedsFromSaleOfPropertyPlantAndEquipment,,,,,,,8000.000
ProceedsFromStockOptionsExercised,,,7825000.000,,,,2555000.000
RepaymentsOfDebtAndCapitalLeaseObligations,,,,,,,66273000.000
RepaymentsOfLinesOfCredit,,,202000000.000,,,,236389000.000
RepaymentsOfLongTermDebtAndCapitalSecurities,,,1254000.000,,,,
SalesRevenueGoodsNet,181933000.000,174565000.000,193719000.000,211256000.000,201985000.000,283355000.000,227602000.000
SellingGeneralAndAdministrativeExpense,49575000.000,51796000.000,54809000.000,57737000.000,60522000.000,69823000.000,61731000.000
ShareBasedCompensation,,,1545000.000,,,,1911000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,,,0.000,,,,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,,,0.285,,,,0.284
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,,,0.017,,,,0.022
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,,,79800.000,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,,507453.000,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,,,6.440,,,,10.560
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,,,6.500,,,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,,,7.530,,,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,,20.260,,,,
StockIssuedDuringPeriodSharesStockOptionsExercised,,,1203835.000,,,,
StockIssuedDuringPeriodValueStockOptionsExercised,,,7825000.000,,,,2555000.000
WeightedAverageNumberDilutedSharesOutstandingAdjustment,1954808.000,2225337.000,,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,52056945.000,60703586.000,61867000.000,62358000.000,62515000.000,-124325000.000,64389000.000
WeightedAverageNumberOfSharesOutstandingBasic,50102137.000,58478249.000,59669000.000,60046000.000,60301000.000,-119856000.000,60880000.000
