,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,2401000.000,2431000.000,2461000.000,1562000.000,2980000.000,3172000.000,2205000.000,2420000.000,1797000.000,2553000.000,1690000.000,784000.000
AccountsReceivableNetCurrent,50561000.000,62265000.000,54075000.000,52205000.000,52497000.000,56470000.000,48265000.000,40704000.000,46519000.000,43469000.000,38482000.000,39383000.000
AccountsReceivableRelatedPartiesCurrent,,,,,657000.000,65000.000,,,,,,
AccruedIncomeTaxesCurrent,75000.000,641000.000,546000.000,613000.000,267000.000,379000.000,350000.000,529000.000,32000.000,264000.000,1011000.000,1000000.000
AccruedLiabilitiesCurrent,,,,,,,,,,,7585000.000,10044000.000
AccruedPayrollTaxesCurrent,,,,,,,,,,,,8235000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,5748000.000,6774000.000,3538000.000,4236000.000,5039000.000,4671000.000,5369000.000,6039000.000,6459000.000,7157000.000,7840000.000,7437000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-78000.000,-327000.000,-525000.000,-1934000.000,-1797000.000,-2451000.000,-2791000.000,-2203000.000,-2205000.000,-2276000.000,-2538000.000,-2477000.000
AllowanceForDoubtfulAccountsReceivable,,,200000.000,,,,700000.000,,,,600000.000,
AssetRetirementObligationsNoncurrent,9000.000,9000.000,33000.000,33000.000,33000.000,78000.000,117000.000,117000.000,117000.000,139000.000,139000.000,161000.000
Assets,226829000.000,233532000.000,189842000.000,191790000.000,210986000.000,205713000.000,192687000.000,183854000.000,175129000.000,172074000.000,167512000.000,161960000.000
AssetsCurrent,81001000.000,89643000.000,77340000.000,80817000.000,83246000.000,85291000.000,74778000.000,68543000.000,71551000.000,69655000.000,66217000.000,66617000.000
CashAndCashEquivalentsAtCarryingValue,28935000.000,24694000.000,20757000.000,26541000.000,28587000.000,25677000.000,24150000.000,25850000.000,23616000.000,24903000.000,26693000.000,24779000.000
DeferredFinanceCostsNet,,,,,,,,1631000.000,1489000.000,1345000.000,,1054000.000
DeferredFinanceCostsNoncurrentNet,2065000.000,1863000.000,2318000.000,2184000.000,2047000.000,1910000.000,1771000.000,,,,,
DeferredOfferingCosts,0.000,0.000,0.000,,,,,,,,,
DeferredTaxAssetsLiabilitiesNetCurrent,162000.000,62000.000,68000.000,4000.000,41000.000,36000.000,34000.000,,,,,
DeferredTaxAssetsLiabilitiesNetNoncurrent,,,-438000.000,,,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwardsForeign,,,51000.000,,,,,,,,,
DeferredTaxAssetsPropertyPlantAndEquipment,,,2000.000,,,,,,,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,17000.000,,,,,,,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,,,0.000,,,,,,,,,
DeferredTaxAssetsValuationAllowance,,,,,,,0.000,,,,,
DeferredTaxLiabilitiesCurrent,,,,,,,42000.000,,,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,,,440000.000,,,,,,,,,
DeferredTaxLiabilitiesGrossNoncurrent,,,,,,,,,,,400000.000,
DeferredTaxLiabilitiesNoncurrent,478000.000,464000.000,438000.000,348000.000,392000.000,386000.000,363000.000,393000.000,345000.000,349000.000,362000.000,
DueFromAffiliateCurrent,,,,,657000.000,65000.000,,,,,,
DueFromAffiliateNoncurrent,,,,,0.000,,,,,,,
DueToAffiliateCurrent,,,586000.000,33000.000,0.000,,913000.000,517000.000,843000.000,1285000.000,1638000.000,3227000.000
DueToAffiliateNoncurrent,,,,,0.000,,,,,,,
EmployeeRelatedLiabilitiesCurrent,16891000.000,19438000.000,7750000.000,15236000.000,15596000.000,16797000.000,7095000.000,8572000.000,13867000.000,10450000.000,5600000.000,10044000.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,3781000.000,,,,6302000.000,,,,9180000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,,,18409000.000,,,,18243000.000,,,,15507000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,2468000.000,,,,2914000.000,,,,2917000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,,2281000.000,,,,2783000.000,,,,2778000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,2305000.000,,,,2804000.000,,,,2786000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,,2391000.000,,,,2828000.000,,,,2807000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,,2391000.000,,,,2914000.000,,,,2829000.000,
FiniteLivedIntangibleAssetsGross,,,34026000.000,,,,38788000.000,,,,38804000.000,
FiniteLivedIntangibleAssetsNet,,,30245000.000,,,,,,,,,
GeneralPartnersCapitalAccount,1999000.000,1999000.000,1999000.000,-25730000.000,-25876000.000,-25876000.000,-25876000.000,-25876000.000,-25876000.000,-25876000.000,-25876000.000,-25876000.000
GeneralPartnersCapitalAccountUnitsOutstanding,,,,,5920467.000,5920467.000,,,,,,
Goodwill,75460000.000,75376000.000,55545000.000,55408000.000,65421000.000,65323000.000,65273000.000,65363000.000,56951000.000,56932000.000,56903000.000,55329000.000
IndefiniteLivedIntangibleAssetsExcludingGoodwill,,,,,,,,0.000,0.000,,,
IntangibleAssetsNetExcludingGoodwill,31353000.000,30662000.000,30245000.000,29482000.000,34125000.000,33279000.000,32486000.000,31851000.000,31124000.000,30378000.000,29624000.000,27583000.000
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,,,,,0.000,,,,,,,
Liabilities,89854000.000,97983000.000,89414000.000,148025000.000,160168000.000,161712000.000,151985000.000,147817000.000,152412000.000,150595000.000,148124000.000,151062000.000
LiabilitiesAndStockholdersEquity,226829000.000,233532000.000,189842000.000,191790000.000,210986000.000,205713000.000,192687000.000,183854000.000,175129000.000,172074000.000,167512000.000,161960000.000
LiabilitiesCurrent,19367000.000,22510000.000,11343000.000,17444000.000,18843000.000,20348000.000,10605000.000,12038000.000,16539000.000,14552000.000,11924000.000,15055000.000
LineOfCredit,,75000000.000,77600000.000,130200000.000,140900000.000,140900000.000,140900000.000,135269000.000,135411000.000,135555000.000,136900000.000,
LineOfCreditFacilityAmountOutstanding,70000000.000,,,,,,,,,,,
LineOfCreditFacilityMaximumBorrowingCapacity,,,,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000
LongTermDebt,,,77600000.000,,,,,,,,,
LongTermDebtNoncurrent,,,,,,,,135269000.000,135411000.000,135555000.000,135699000.000,135846000.000
LongTermLineOfCredit,,,,,,,,136900000.000,136900000.000,136900000.000,,136900000.000
MinorityInterest,0.000,0.000,0.000,,,,,,,,,
OperatingLeasesFutureMinimumPaymentsDue,,,2144000.000,,,,2161000.000,,,,1598000.000,
