,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,104750.000,135705.000,201908.000,82730.000,93326.000,120244.000,3033.000,44746.000
AccruedRentCurrent,,,,,,,0.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,93691.000,
Assets,2718796.000,2654264.000,2558464.000,2323774.000,2221792.000,2175884.000,1817068.000,1684940.000
AssetsHeldForSaleLongLived,,,,,,,519834.000,
AssetsHeldForSalePropertyPlantAndEquipment,391904.000,391197.000,391197.000,380583.000,298456.000,295441.000,295441.000,295441.000
CashAndCashEquivalentsAtCarryingValue,973462.000,1788892.000,1935978.000,1712789.000,1693818.000,1651813.000,1288909.000,1115119.000
CertificatesOfDepositAtCarryingValue,,,0.000,,,,,
DueToAffiliateCurrent,44750.000,44750.000,44800.000,44750.000,44750.000,84750.000,0.000,0.000
InterestReceivable,2215.000,998.000,0.000,,,,,
Liabilities,,,246708.000,,,,,
LiabilitiesAndStockholdersEquity,2718796.000,2654264.000,2558464.000,2323774.000,2221792.000,2175884.000,1817068.000,1684940.000
LiabilitiesCurrent,149500.000,180455.000,,127480.000,138076.000,204994.000,3033.000,44746.000
LimitedPartnersCapitalAccountUnitsIssued,,,1811062.000,,,,,
LimitedPartnersCapitalAccountUnitsOutstanding,,,1811062.000,,,,,
MoneyMarketFundsAtCarryingValue,,,,,,,250313.000,
OtherAssets,500.000,3350.000,3350.000,3350.000,3350.000,3350.000,3350.000,3350.000
PartnersCapital,2569296.000,2473809.000,2311756.000,2196294.000,2083716.000,1970890.000,1814035.000,1640194.000
PrepaidExpenseCurrentAndNoncurrent,,,,,,,4975.000,47525.000
PropertyPlantAndEquipmentGross,,,,,,,318084.000,
PropertyPlantAndEquipmentNet,229715.000,228827.000,227939.000,227052.000,226168.000,225280.000,224393.000,223505.000
RealEstateAccumulatedDepreciation,,,,,,,0.000,
RealEstateAndAccumulatedDepreciationAccumulatedDepreciation,,,,,,,0.000,
RealEstateAndAccumulatedDepreciationAmountOfEncumbrances,,,,,,,0.000,
RealEstateAndAccumulatedDepreciationCarryingAmountOfLand,,,,,,,829829.000,
RealEstateAndAccumulatedDepreciationCostsCapitalizedSubsequentToAcquisitionImprovements,,,,,,,276794.000,
RealEstateGrossAtCarryingValue,,,,,,,829829.000,
RealEstateInvestmentPropertyNet,,,,,,,829829.000,
RealEstateOwnedValuationAllowance,,,,,,,534388.000,
ShortTermInvestments,1121000.000,241000.000,,,,,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,2311756.000,,,,,
