,2011-09-30
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,1928868.000
CostOfGoodsSold,14193951.000
EarningsPerShareBasicAndDiluted,0.050
GainLossOnDerivativeInstrumentsNetPretax,90565.000
GeneralAndAdministrativeExpense,511604.000
GrossProfit,2943232.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2200188.000
IncomeTaxExpenseBenefit,637954.000
InterestExpense,139999.000
NonoperatingIncomeExpense,-123597.000
OperatingExpenses,619447.000
OperatingIncomeLoss,2323785.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,366634.000
OtherNonoperatingExpense,74163.000
ProfitLoss,1562234.000
ResearchAndDevelopmentExpense,37432.000
SalesRevenueGoodsNet,17137183.000
SellingAndMarketingExpense,70411.000
