,2011-12-31,2012-03-31,2012-06-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-08-31,2016-05-31,2016-08-31,2016-11-30,2017-02-28,2017-05-31
AmortizationOfFinancingCosts,,,,,,,,,,,,,,,22257.000,9532.000,15895.000,15895.000,15895.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-1271.000,,,-8836.000,,,,2830.000,,,,1784.000,,,997706.000,,,,4618533.000
ComprehensiveIncomeNetOfTax,,,,,,,,,,,,,,,-985042.000,-829031.000,-767895.000,-6389175.000,-1513114.000
DebtInstrumentUnusedBorrowingCapacityFee,,,,,,,,,,,,5000.000,,,,,,,
Depreciation,,,,,,,,,,,,,,,93921.000,,,,74592.000
DepreciationAndAmortization,,,,,,,,,,,,,,,113024.000,75128.000,102244.000,107049.000,90487.000
DepreciationExpenseOnReclassifiedAssets,,,,,,,,,,,,,,,90767.000,65596.000,86349.000,91154.000,74592.000
EarningsPerShareBasicAndDiluted,0.000,0.000,0.000,0.000,0.000,0.000,-0.010,0.000,0.000,-0.000,0.000,-0.000,-0.000,-0.060,-0.030,-0.030,-0.020,-0.200,-0.050
EffectOfExchangeRateOnCash,,,,,,,,,,,,,,,-63602.000,,,,39039.000
ForeignCurrencyTransactionGainBeforeTax,,,,,,,,,,,,,,,3789.000,-99.000,-809.000,15284.000,-46485.000
ForeignCurrencyTransactionGainLossBeforeTax,,,,,,,,,,,,,,,20493.000,3865.000,18488.000,114296.000,
GeneralAndAdministrativeExpense,606.000,2751.000,1842.000,998.000,110.000,4371.000,1062.000,953.000,1308.000,845.000,292.000,1716.000,9498.000,78535.000,439746.000,316310.000,277951.000,5946274.000,889580.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,,,,-652607.000,,,,,
IncreaseDecreaseInAccountsPayable,,,,,,,,,,,,,,,-78004.000,,,,468282.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-332.000,,,-5801.000,,,,-2620.000,,,,869.000,,,45000.000,45000.000,45000.000,15000.000,-324844.000
IncreaseDecreaseInPrepaidExpense,0.000,,,163.000,,,,113.000,,,,113.000,,,-11298.000,,,,
NetCashProvidedByUsedInFinancingActivities,4025.000,,,,,,,9935.000,,,,5000.000,,,1988003.000,,,,5618716.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,4025.000,,,,,,,9935.000,,,,5000.000,,,1988003.000,,,,5618716.000
NetCashProvidedByUsedInInvestingActivities,,,,,,,,,,,,,,,-79759.000,,,,-55453.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,,,,,,,,,-79759.000,,,,-55453.000
NetCashProvidedByUsedInOperatingActivities,-5296.000,,,-8836.000,,,,-7105.000,,,,-3216.000,,,-846936.000,,,,-983769.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-5296.000,,,-8836.000,,,,-7105.000,,,,-3216.000,,,-846936.000,,,,-983769.000
NetIncomeLoss,-4964.000,,,-3198.000,,,,-4598.000,,,,-4198.000,,-652607.000,-964549.000,-825166.000,-749407.000,-6274879.000,-1523090.000
OperatingExpenses,4964.000,7589.000,8060.000,3198.000,1310.000,5571.000,6387.000,4598.000,1908.000,7045.000,5574.000,4198.000,9748.000,652607.000,964549.000,825166.000,749407.000,6274879.000,1523090.000
OperatingIncomeLoss,,,,,,,,,,,,,,-652607.000,-964549.000,,,,1523090.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,,,,,,,,,,,,,,,,,,,9976.000
PaymentsToAcquirePropertyPlantAndEquipment,,,,,,,,,,,,,,,79759.000,,,,55453.000
ProceedsFromIssuanceOfCommonStock,4025.000,,,,,,,,,,,,,,,,,,5897188.000
ProceedsFromNotesPayable,,,,,,,,,,,,,,,1988003.000,,,,
ProceedsFromRelatedPartyDebt,,,,,,,,,,,,,,,18586.000,,,,278472.000
ProceedsFromRepaymentsOfRelatedPartyDebt,0.000,,,,,,,9935.000,,,,5000.000,,,,,,,
ProfessionalFees,4358.000,4838.000,6218.000,2200.000,1200.000,1200.000,5325.000,3645.000,600.000,6200.000,5282.000,2482.000,250.000,57979.000,,,,,
