,2011-03-19,2011-06-11,2011-09-03,2011-12-31,2012-03-24,2012-06-16,2012-09-08,2012-12-29,2013-03-23,2013-06-15,2013-09-07,2013-12-28,2014-03-22,2014-06-14,2014-09-06,2014-12-27,2015-03-21,2015-06-13,2015-09-05,2015-12-26,2016-03-19,2016-06-11
AccountsNotesAndLoansReceivableNetCurrent,311000000.000,295000000.000,281000000.000,286000000.000,341000000.000,323000000.000,302000000.000,301000000.000,368000000.000,352000000.000,348000000.000,319000000.000,354000000.000,352000000.000,373000000.000,325000000.000,373000000.000,350000000.000,355000000.000,377000000.000,418000000.000,395000000.000
AccountsPayableAndAccruedLiabilitiesCurrent,1396000000.000,1488000000.000,1751000000.000,1874000000.000,1752000000.000,1770000000.000,1828000000.000,1945000000.000,1866000000.000,1739000000.000,1745000000.000,1929000000.000,1825000000.000,1836000000.000,1771000000.000,1972000000.000,1790000000.000,1881000000.000,1811000000.000,1985000000.000,2055000000.000,2016000000.000
AccountsPayableCurrent,,,,712000000.000,,,,684000000.000,,,,704000000.000,,,,694000000.000,,,,616000000.000,,
AccrualForTaxesOtherThanIncomeTaxesCurrent,,,,112000000.000,,,,103000000.000,,,,93000000.000,,,,100000000.000,,,,116000000.000,,
AccruedIncomeTaxesCurrent,105000000.000,82000000.000,123000000.000,142000000.000,181000000.000,123000000.000,98000000.000,97000000.000,82000000.000,102000000.000,149000000.000,169000000.000,157000000.000,190000000.000,196000000.000,77000000.000,131000000.000,156000000.000,153000000.000,77000000.000,150000000.000,122000000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,3371000000.000,3408000000.000,3383000000.000,3225000000.000,3233000000.000,3256000000.000,3219000000.000,3139000000.000,3170000000.000,3225000000.000,3292000000.000,3391000000.000,3472000000.000,3554000000.000,3620000000.000,3584000000.000,3627000000.000,3704000000.000,3697000000.000,3643000000.000,3682000000.000,3699000000.000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,-12000000.000,-13000000.000,-12000000.000,-12000000.000,-12000000.000,-11000000.000,-11000000.000,-11000000.000,-9000000.000,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,375000000.000,,,,286000000.000,-277000000.000,-263000000.000,-251000000.000,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,1000000.000,,,140000000.000,,,,166000000.000,168000000.000,173000000.000,130000000.000,170000000.000,,,,29000000.000,,,,109000000.000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-177000000.000,-102000000.000,-89000000.000,-247000000.000,-225000000.000,-243000000.000,-253000000.000,-132000000.000,-120000000.000,-101000000.000,-132000000.000,64000000.000,27000000.000,6000000.000,36000000.000,-190000000.000,-271000000.000,-157000000.000,-262000000.000,-239000000.000,-300000000.000,-266000000.000
AllowanceForDoubtfulAccountsReceivableCurrent,38000000.000,36000000.000,27000000.000,,,,,,,,,,,,,,,,,,,
AllowanceForNotesAndLoansReceivableCurrent,,,,,,,,,,,,,,,,12000000.000,,,,16000000.000,,
AllowanceForNotesAndLoansReceivableNoncurrent,-29000000.000,29000000.000,4000000.000,,,,,,,,,,,,,,,,,,,
AllowanceForNotesReceivable,,,,4000000.000,,,,,,,,,,,,,,,,,,
Assets,8426000000.000,8207000000.000,8549000000.000,8834000000.000,9343000000.000,9177000000.000,8974000000.000,9011000000.000,8945000000.000,8764000000.000,8730000000.000,8695000000.000,8705000000.000,8810000000.000,9177000000.000,8345000000.000,8305000000.000,8294000000.000,8306000000.000,8075000000.000,8221000000.000,8184000000.000
AssetsCurrent,2436000000.000,1841000000.000,2351000000.000,2321000000.000,2425000000.000,2231000000.000,2079000000.000,1909000000.000,1898000000.000,1605000000.000,1830000000.000,1691000000.000,1809000000.000,1882000000.000,2070000000.000,1646000000.000,1783000000.000,1729000000.000,1919000000.000,1688000000.000,1963000000.000,1879000000.000
AssetsHeldForSaleCurrent,,,,24000000.000,,,,56000000.000,,,,16000000.000,13000000.000,,,,,,,,,
AssetsHeldForSaleLongLived,43000000.000,22000000.000,159000000.000,,20000000.000,16000000.000,32000000.000,,17000000.000,32000000.000,20000000.000,,,,,,,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,,,,,,,,12000000.000,20000000.000,14000000.000,11000000.000,31000000.000,34000000.000,28000000.000,27000000.000,
CapitalLeaseObligations,,,,279000000.000,,,,170000000.000,,,,172000000.000,,,,175000000.000,,,,169000000.000,,
CapitalLeaseObligationsNoncurrent,,,,,,,,,,,,,,,,,,,,,,162000000.000
CapitalLeasesFutureMinimumPaymentsDue,,,,437000000.000,,,,280000000.000,,,,276000000.000,,,,282000000.000,,,,287000000.000,,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,65000000.000,,,,18000000.000,,,,18000000.000,,,,20000000.000,,,,20000000.000,,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,26000000.000,,,,17000000.000,,,,17000000.000,,,,20000000.000,,,,19000000.000,,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,26000000.000,,,,19000000.000,,,,17000000.000,,,,20000000.000,,,,20000000.000,,
