,2011-10-31,2012-10-31
CashPeriodIncreaseDecrease,16085.000,-15138.000
GeneralAndAdministrativeExpense,910895.000,1006371.000
IncomeLossFromContinuingOperations,-837525.000,-1493254.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.010,-0.010
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,0.000,0.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,25433.000,102809.000
InterestExpense,-21692.000,16521.000
NetCashProvidedByUsedInFinancingActivities,733239.000,23045.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,733239.000,23045.000
NetCashProvidedByUsedInInvestingActivities,-335000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-335000.000,
NetCashProvidedByUsedInOperatingActivities,,-38183.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-38183.000
NetIncomeLoss,-837525.000,-1493254.000
NonoperatingIncomeExpense,,-486883.000
OperatingExpenses,910895.000,1006371.000
PaymentsToAcquireInvestments,335000.000,
ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,590000.000,
ProceedsFromNotesPayable,143239.000,-200.000
ProceedsFromShortTermDebt,,23245.000
ShareBasedCompensation,525000.000,881900.000
