,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,-3000000.000,14000000.000,82000000.000,19000000.000,21000000.000,,,,,,,,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,27000000.000,,,,23000000.000,,,,21000000.000,,,,28000000.000,,,,19000000.000,,,,13000000.000,,,,10000000.000
AllocatedShareBasedCompensationExpense,,,,,,,,,,,36000000.000,,28000000.000,23000000.000,24000000.000,23000000.000,19000000.000,14000000.000,14000000.000,20000000.000,,,,,
AmortizationOfFinancingCostsAndDiscounts,26000000.000,36000000.000,33000000.000,30000000.000,18000000.000,17000000.000,17000000.000,16000000.000,,2000000.000,2000000.000,,,,,,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,1200000.000,,,,,,,,,,,,,,,,,,,,,,,,
AssetImpairmentCharges,,,,,227000000.000,12000000.000,,,,37000000.000,17000000.000,,65000000.000,,2768000000.000,,936000000.000,890000000.000,13000000.000,28000000.000,3000000.000,20000000.000,11000000.000,59000000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,418000000.000,-423000000.000,-103000000.000,731000000.000,-35000000.000,-18000000.000,2037000000.000,-867000000.000,-1445000000.000,-332000000.000,202000000.000,-316000000.000,-1256000000.000,130000000.000,756000000.000,-238000000.000,47000000.000,1087000000.000,-1535000000.000,105000000.000,235000000.000,,,,41000000.000
ComprehensiveIncomeNetOfTax,307000000.000,162000000.000,-81000000.000,-6277000000.000,23000000.000,-289000000.000,-377000000.000,416000000.000,302000000.000,413000000.000,554000000.000,397000000.000,455000000.000,662000000.000,-2214000000.000,-958000000.000,-493000000.000,346000000.000,363000000.000,645000000.000,244000000.000,73000000.000,245000000.000,210000000.000,90000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,34000000.000,3000000.000,6000000.000,46000000.000,17000000.000,1000000.000,-2000000.000,-8000000.000,-7000000.000,4000000.000,3000000.000,3000000.000,10000000.000,10000000.000,-46000000.000,-27000000.000,14000000.000,6000000.000,9000000.000,6000000.000,6000000.000,11000000.000,15000000.000,17000000.000,4000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,341000000.000,165000000.000,-75000000.000,-6322000000.000,18000000.000,-288000000.000,-379000000.000,430000000.000,295000000.000,417000000.000,557000000.000,400000000.000,465000000.000,672000000.000,-2260000000.000,-985000000.000,-479000000.000,352000000.000,372000000.000,651000000.000,250000000.000,84000000.000,260000000.000,227000000.000,94000000.000
ContractRevenueCost,1359000000.000,1492000000.000,1540000000.000,2565000000.000,1410000000.000,2357000000.000,1338000000.000,1001000000.000,1375000000.000,1393000000.000,1491000000.000,1532000000.000,1269000000.000,1213000000.000,1318000000.000,1310000000.000,1084000000.000,197000000.000,880000000.000,794000000.000,665000000.000,500000000.000,404000000.000,306000000.000,343000000.000
CostOfServicesDepreciationAndAmortization,354000000.000,359000000.000,362000000.000,374000000.000,351000000.000,345000000.000,280000000.000,147000000.000,275000000.000,286000000.000,273000000.000,275000000.000,273000000.000,288000000.000,288000000.000,290000000.000,291000000.000,249000000.000,210000000.000,213000000.000,217000000.000,225000000.000,225000000.000,226000000.000,232000000.000
CostsAndExpenses,1780000000.000,1917000000.000,1969000000.000,3027000000.000,1830000000.000,2781000000.000,1687000000.000,1213000000.000,1717000000.000,1756000000.000,1831000000.000,1882000000.000,1599000000.000,1564000000.000,1658000000.000,1662000000.000,1421000000.000,490000000.000,1135000000.000,1065000000.000,925000000.000,767000000.000,668000000.000,580000000.000,614000000.000
DeferredIncomeTaxExpenseBenefit,11000000.000,5000000.000,-14000000.000,-33000000.000,-30000000.000,-26000000.000,-61000000.000,-16000000.000,-28000000.000,-8000000.000,-28000000.000,55000000.000,-15000000.000,-25000000.000,-94000000.000,-8000000.000,-98000000.000,8000000.000,-14000000.000,26000000.000,-1000000.000,,,,-19000000.000
DefinedBenefitPlanActuarialNetGainsLosses,6000000.000,6000000.000,7000000.000,130000000.000,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanAmortizationOfGainsLosses,,,,,-11000000.000,-11000000.000,-12000000.000,,-14000000.000,-14000000.000,-10000000.000,,-6000000.000,-6000000.000,-5000000.000,,-5000000.000,-5000000.000,-5000000.000,,,,,,
DefinedBenefitPlanAmortizationOfPriorServiceCostCredit,0.000,-2000000.000,,,,-1000000.000,-1000000.000,,,-1000000.000,1000000.000,,,-1000000.000,,,,,-1000000.000,,,,,,
DefinedBenefitPlanAmortizationOfTransitionObligationsAssets,,1000000.000,-1000000.000,,,,,,,,,,,,,,,1000000.000,,,,,,,
DefinedBenefitPlanExpectedReturnOnPlanAssets,21000000.000,23000000.000,20000000.000,,20000000.000,24000000.000,20000000.000,,23000000.000,22000000.000,23000000.000,,26000000.000,26000000.000,26000000.000,,28000000.000,29000000.000,29000000.000,,,,,,
DefinedBenefitPlanInterestCost,20000000.000,21000000.000,21000000.000,21000000.000,20000000.000,23000000.000,20000000.000,22000000.000,22000000.000,21000000.000,21000000.000,26000000.000,24000000.000,25000000.000,22000000.000,19000000.000,22000000.000,21000000.000,22000000.000,21000000.000,,,,,
DefinedBenefitPlanNetPeriodicBenefitCost,21000000.000,21000000.000,22000000.000,24000000.000,32000000.000,30000000.000,51000000.000,36000000.000,34000000.000,35000000.000,30000000.000,33000000.000,23000000.000,16000000.000,20000000.000,16000000.000,7000000.000,6000000.000,10000000.000,3000000.000,,,,,
DefinedBenefitPlanRecognizedNetGainLossDueToSettlementsAndCurtailments,0.000,1000000.000,1000000.000,,2000000.000,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanRecognizedNetGainLossDueToSettlementsAndCurtailments1,,,,,,,-19000000.000,,,-1000000.000,-1000000.000,,,5000000.000,-2000000.000,,,,-4000000.000,,,,,,
DefinedBenefitPlanServiceCost,16000000.000,17000000.000,14000000.000,18000000.000,19000000.000,21000000.000,21000000.000,20000000.000,21000000.000,22000000.000,20000000.000,20000000.000,19000000.000,17000000.000,17000000.000,13000000.000,8000000.000,8000000.000,9000000.000,7000000.000,,,,,
DepreciationAndAmortizationDiscontinuedOperations,,,,,,,48000000.000,,,,,,,,,,,,,,,,,,
DepreciationDepletionAndAmortization,,359000000.000,362000000.000,,351000000.000,345000000.000,280000000.000,147000000.000,275000000.000,286000000.000,273000000.000,275000000.000,273000000.000,288000000.000,288000000.000,290000000.000,291000000.000,249000000.000,210000000.000,213000000.000,217000000.000,,,,232000000.000
DiscontinuedOperationAmountOfOtherIncomeLossFromDispositionOfDiscontinuedOperationsBeforeIncomeTax,,,,,,,,,,,2000000.000,,1000000.000,,,,,,,,,,,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,173000000.000,,-4000000.000,,-14000000.000,10000000.000,-1000000.000,87000000.000,15000000.000,3000000.000,31000000.000,5000000.000,-10000000.000,,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,3000000.000,4000000.000,2000000.000,169000000.000,-19000000.000,9000000.000,-894000000.000,-118000000.000,6000000.000,-1000000.000,24000000.000,12000000.000,-6000000.000,-2000000.000,5000000.000,-3000000.000,-1000000.000,1000000.000,2000000.000,-4000000.000,,,,,
DiscontinuedOperationTaxEffectOfIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriod,0.000,2000000.000,5000000.000,-26000000.000,-4000000.000,2000000.000,15000000.000,-8000000.000,6000000.000,9000000.000,20000000.000,5000000.000,2000000.000,5000000.000,6000000.000,1000000.000,1000000.000,,-1000000.000,,,,,,
DisposalGroupIncludingDiscontinuedOperationOperatingExpense,23000000.000,18000000.000,5000000.000,9000000.000,2000000.000,3000000.000,224000000.000,761000000.000,249000000.000,233000000.000,188000000.000,130000000.000,105000000.000,27000000.000,15000000.000,15000000.000,1000000.000,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,26000000.000,22000000.000,11000000.000,3000000.000,3000000.000,2000000.000,257000000.000,793000000.000,240000000.000,229000000.000,193000000.000,134000000.000,108000000.000,25000000.000,20000000.000,13000000.000,,,,,,,,,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,-1000000.000,,,,,,,,,,,,,,,,,,,,,,,,
EarningsPerShareBasic,0.960,0.480,-0.220,-19.010,0.120,-0.860,-1.060,1.180,0.880,0.840,1.500,0.650,1.250,1.610,-6.120,-2.030,-1.330,0.930,0.880,1.680,0.680,0.210,0.620,0.570,0.230
EarningsPerShareDiluted,0.960,0.480,-0.220,-19.010,0.120,-0.860,-1.060,1.180,0.880,0.840,1.500,0.650,1.250,1.610,-6.120,-2.030,-1.330,0.930,0.880,1.680,0.680,0.210,0.620,0.570,0.230
EffectiveIncomeTaxRateContinuingOperations,0.193,,,,0.255,,,,0.192,,,,0.151,,,,0.258,,,,0.228,,,,-0.730
ExtinguishmentOfDebtAmount,,,,,,,,,,,,,,,,,,,,,,228000000.000,,,
GainLossOnDispositionOfAssets,8000000.000,-1000000.000,-2000000.000,-1000000.000,-4000000.000,55000000.000,50000000.000,-65000000.000,-7000000.000,-2000000.000,32000000.000,-16000000.000,-3000000.000,1000000.000,-12000000.000,-12000000.000,-7000000.000,2000000.000,-15000000.000,-8000000.000,1000000.000,-2000000.000,1000000.000,4000000.000,2000000.000
GainLossOnSaleOfOtherAssets,,,,,,,1000000.000,,,,,,,,,,,,,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,-8000000.000,-1000000.000,-2000000.000,15000000.000,-4000000.000,55000000.000,50000000.000,-65000000.000,-7000000.000,-2000000.000,32000000.000,-16000000.000,-3000000.000,1000000.000,-12000000.000,-12000000.000,-7000000.000,2000000.000,-15000000.000,-8000000.000,1000000.000,,,,2000000.000
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,,,,,,,,,,,,,,38000000.000,110000000.000,,
GeneralAndAdministrativeExpense,67000000.000,66000000.000,67000000.000,88000000.000,69000000.000,79000000.000,69000000.000,65000000.000,67000000.000,77000000.000,67000000.000,75000000.000,57000000.000,63000000.000,52000000.000,62000000.000,46000000.000,44000000.000,45000000.000,58000000.000,43000000.000,42000000.000,39000000.000,48000000.000,39000000.000
GoodwillImpairedAdjustmentToInitialEstimateAmount,,,,,118000000.000,,,,,,,,,,,,,,,,,,,,
GoodwillImpairmentLoss,,,,,,,,,,,,,,,2000000000.000,,,,,,,,,,
ImpairmentOfLongLivedAssetsHeldForUse,,,,,,,,,,,17000000.000,,,,,,,,,,,,,,
ImpairmentOfLongLivedAssetsToBeDisposedOf,,25000000.000,3000000.000,,,,,,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperations,134000000.000,153000000.000,-64000000.000,-6145000000.000,57000000.000,-311000000.000,528000000.000,534000000.000,321000000.000,317000000.000,542000000.000,226000000.000,464000000.000,594000000.000,-2216000000.000,-735000000.000,-481000000.000,341000000.000,318000000.000,611000000.000,250000000.000,76000000.000,229000000.000,223000000.000,91000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,,,,,,,,,,,,,,,55000000.000
