,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
CashAndCashEquivalentsPeriodIncreaseDecrease,-23005.000,,,,1183.000,,,,-53173.000,,,,18450.000,,,,1500.000,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,,,,,,,,,,,-498.000,,
ClosedBlockOperationsIncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,,,,,,,,,,,-498.000,,
ComprehensiveIncomeNetOfTax,,,,,,,,,,,,,-261334.000,-256524.000,-134075.000,-37543.000,157531.000,-57783.000,-13676.000
CostsIncurredAcquisitionOfOilAndGasProperties,,,,,,,,,50000.000,,,,,,,,,,
CostsIncurredDevelopmentCosts,,,,,,,,,,,,,27848.000,71083.000,45739.000,,,,
CurrentFederalTaxExpenseBenefit,1141.000,,,,1196.000,,,,28034.000,,,,,,,,,,
DebtConversionConvertedInstrumentAmount1,,,,,,,,,,,,,,,,,120000.000,,
DebtConversionConvertedInstrumentSharesIssued1,,,,,,,,,,,,,,,,,2553191.000,,
Depreciation,,,,,,,,,,,,,664.000,664.000,833.000,179.000,,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,,,,,,,,,,,,,200528.000,,
DisposalGroupIncludingDiscontinuedOperationGeneralAndAdministrativeExpense,,,,,,,,,,,10806.000,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,,,,,,,,,,,,,,,,,200030.000,,
EarningsPerShareBasicAndDiluted,0.000,-0.000,-0.000,0.000,-0.000,-0.000,0.000,0.010,-0.000,-0.000,-0.000,0.050,-0.010,-0.010,-0.000,,0.010,0.000,-0.030
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,,,,,,,-1736.000,,,,498.000,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,0.340,,,,0.340,,,,,,,,,,
EquityIssuancePerShareAmount,,,,,,,,,0.320,,,,,,,,,,
FederalIncomeTaxExpenseBenefitContinuingOperations,0.000,,,,,,,,,,,,,,,,,,
GeneralAndAdministrativeExpense,,,,,1417.000,22028.000,42034.000,-22937.000,13708.000,17956.000,,,,,,,,,
IncomeLossFromContinuingOperations,,,,,,,,,,,,,,,,,-45100.000,-57783.000,-34162.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-3355.000,-5223.000,-24136.000,-37392.000,-3517.000,-45253.000,-238512.000,-68154.000,-82454.000,-96115.000,,,-259542.000,-270513.000,-124652.000,339131.000,-45100.000,-57783.000,-34162.000
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,,,,,-118099.000,,,,,,,,
