,2011-12-30,2012-12-28,2013-12-27,2014-12-26,2015-12-25,2016-12-30
AllocatedShareBasedCompensationExpense,30000000.000,14000000.000,14000000.000,33000000.000,12000000.000,37000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,0.000,0.000,0.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-509000000.000,1000000.000,-192000000.000,77000000.000,-41000000.000,-25000000.000
CommonStockDividendsPerShareCashPaid,0.450,0.540,0.590,,,
CommonStockDividendsPerShareDeclared,0.450,0.540,0.590,0.630,0.700,0.720
ComprehensiveIncomeNetOfTax,1700000000.000,1798000000.000,2277000000.000,1784000000.000,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,1718000000.000,1798000000.000,,,,
CostOfServicesMaintenanceCosts,281000000.000,287000000.000,287000000.000,247000000.000,233000000.000,230000000.000
CostsAndExpenses,8325000000.000,8299000000.000,8553000000.000,9056000000.000,,
CurrentFederalTaxExpenseBenefit,353000000.000,447000000.000,671000000.000,729000000.000,619000000.000,540000000.000
CurrentIncomeTaxExpenseBenefit,457000000.000,513000000.000,758000000.000,819000000.000,714000000.000,622000000.000
CurrentStateAndLocalTaxExpenseBenefit,104000000.000,66000000.000,87000000.000,90000000.000,95000000.000,82000000.000
DebtInstrumentIncreaseDecreaseForPeriodNet,,,,,,800000000.000
DeferredFederalIncomeTaxExpenseBenefit,614000000.000,530000000.000,285000000.000,291000000.000,414000000.000,355000000.000
DeferredIncomeTaxExpenseBenefit,609000000.000,592000000.000,300000000.000,298000000.000,456000000.000,405000000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,-5000000.000,62000000.000,15000000.000,7000000.000,42000000.000,50000000.000
DefinedBenefitPlanContributionsByEmployer,,,,,,250000000.000
DefinedBenefitPlanEffectOfOnePercentagePointIncreaseOnAccumulatedPostretirementBenefitObligation,1000000.000,1000000.000,,,,
DefinedBenefitPlansEstimatedFutureEmployerContributionsInNextFiscalYear,,,,,0.000,0.000
DefinedContributionPlanCostRecognized,28000000.000,29000000.000,37000000.000,41000000.000,36000000.000,35000000.000
Depreciation,976000000.000,1059000000.000,1104000000.000,1151000000.000,1208000000.000,1301000000.000
DilutiveSecuritiesEffectOnBasicEarningsPerShareOther,1000000.000,,,,,
DividendsCash,481000000.000,557000000.000,,,,
DividendsCommonStockCash,,,600000000.000,629000000.000,686000000.000,680000000.000
EarningsPerShareBasic,1.680,1.790,1.830,1.930,2.000,1.810
EarningsPerShareDiluted,1.670,1.790,1.830,1.920,2.000,1.810
EffectiveIncomeTaxRateContinuingOperations,0.369,0.373,0.362,0.367,0.373,0.375
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.350,0.350,0.350,0.350,0.350,0.350
