,2015-04-30,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,89020.000,,,,-8293.000,,
EarningsPerShareBasicAndDiluted,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000
GeneralAndAdministrativeExpense,10246.000,3165.000,3143.000,5445.000,5296.000,296.000,383.000,371.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-7606.000,-9465.000,-3830.000,-17820.000,-26069.000,-8933.000,-7427.000,-5173.000
IncreaseDecreaseInAccountsPayable,,6066.000,,,,4385.000,,
IncreaseDecreaseInAccountsReceivable,,-500.000,,,,,,
IncreaseDecreaseInDueToRelatedPartiesCurrent,,-8000.000,,,,,,
IncreaseDecreaseInInterestPayableNet,,,,,,-277.000,,
InterestExpense,585.000,734.000,723.000,691.000,707.000,692.000,663.000,608.000
InterestPaid,,734.000,,,,969.000,,
NetCashProvidedByUsedInFinancingActivities,,99919.000,,,,-3468.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,99919.000,,,,-3468.000,,
NetCashProvidedByUsedInOperatingActivities,,-10899.000,,,,-4825.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-10899.000,,,,-4825.000,,
NetIncomeLoss,-7606.000,-9465.000,-3830.000,-17820.000,-26069.000,-8933.000,-7427.000,-5173.000
NonoperatingIncomeExpense,-585.000,-734.000,-723.000,-691.000,-707.000,-692.000,-663.000,-608.000
OperatingExpenses,11521.000,13231.000,7607.000,21629.000,11862.000,8241.000,6764.000,4565.000
OperatingIncomeLoss,-7021.000,-8731.000,-3107.000,-17129.000,-25362.000,-8241.000,-6764.000,-4565.000
ProceedsFromIssuanceOfCommonStock,,73350.000,,,,,,
ProfessionalFees,1275.000,10066.000,4464.000,16184.000,6566.000,7945.000,6381.000,4194.000
RepaymentsOfRelatedPartyDebt,,81.000,,,,3468.000,,
RevenueFromRelatedParties,,,,4500.000,,,,
SalesRevenueServicesNet,4500.000,4500.000,4500.000,,,,,
StockIssuedDuringPeriodSharesNewIssues,,1833750.000,,,,,,
StockIssuedDuringPeriodValueNewIssues,,73350.000,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,15490000.000,17346141.000,17990000.000,17990000.000,-35493405.000,17990000.000,17990000.000,17990000.000
