,2011-06-30,2011-09-30
CostsAndExpenses,217932.000,215021.000
EarningsPerShareBasic,-0.010,-0.010
EarningsPerShareDiluted,-0.010,-0.010
GeneralAndAdministrativeExpense,217932.000,215021.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-141595.000,-144355.000
InterestExpense,21176.000,26845.000
InvestmentIncomeInterest,13.000,11.000
NetIncomeLoss,-141595.000,-144355.000
NonoperatingIncomeExpense,-21163.000,-26834.000
OperatingIncomeLoss,-120432.000,-117521.000
Revenues,97500.000,97500.000
SalesRevenueNet,97500.000,97500.000
WeightedAverageNumberOfDilutedSharesOutstanding,16821787.000,16821787.000
WeightedAverageNumberOfSharesOutstandingBasic,16821787.000,16821787.000
