,2013-12-31,2014-12-31,2015-12-31
AdvertisingExpense,,,89428.000
AllocatedShareBasedCompensationExpense,,724671.000,49692.000
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax,,,-25271.000
AvailableForSaleSecuritiesGrossUnrealizedLoss,,,25271.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,19262.000,-37772.000
ComprehensiveIncomeNetOfTax,,-2506837.000,-252703.000
DebtInstrumentPeriodicPaymentInterest,,,902.000
Depreciation,,527.000,528.000
EarningsPerShareBasic,,-0.210,
EarningsPerShareBasicAndDiluted,,,-0.020
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,0.340
GeneralAndAdministrativeExpense,,2392034.000,166028.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,77327.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,,-77327.000
IncreaseDecreaseInAccountsPayable,,,159884.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,2540.000,
IncreaseDecreaseInAccruedLiabilities,,8105.000,17256.000
InterestExpenseRelatedParty,,746.000,156.000
InterestPaid,,,902.000
MarketableSecuritiesGainLoss,,-138462.000,
MarketableSecuritiesUnrealizedGainLoss,,68596.000,-25271.000
NetCashProvidedByUsedInFinancingActivities,,79472.000,-37700.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,79472.000,-37700.000
NetCashProvidedByUsedInInvestingActivities,,-1582.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-1582.000,
NetCashProvidedByUsedInOperatingActivities,,-58628.000,-72.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-58628.000,-72.000
NetIncomeLoss,,-2575433.000,-227432.000
NonoperatingIncomeExpense,,-139008.000,-156.000
OperatingExpenses,,2436425.000,227276.000
OperatingIncomeLoss,,-2436425.000,-227276.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,68596.000,-25271.000
OtherIncome,,200.000,
PaymentsToAcquirePropertyPlantAndEquipment,,-1582.000,
ProceedsFromContributedCapital,,51079.000,
ProceedsFromNotesPayable,,34000.000,
ProceedsFromRelatedPartyDebt,,-5607.000,
ProceedsFromRepaymentsOfRelatedPartyDebt,,,-2700.000
ProfessionalFees,,43864.000,60720.000
RepaymentsOfRelatedPartyDebt,,,35000.000
RepaymentsOfShortTermDebt,,,35000.000
ShareBasedCompensation,,1642500.000,
StockIssuedDuringPeriodValueIssuedForServices,,1642500.000,
StockIssuedDuringPeriodValueShareBasedCompensation,,724671.000,49692.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,12726576.000
WeightedAverageNumberOfSharesOutstandingBasic,,12474687.000,
