,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AdministrativeFeesExpense,,,,,,,,,,,,,,,133375.000,131940.000,,,,,
FloorBrokerageExchangeAndClearanceFees,1100880.000,1046482.000,888345.000,828773.000,769778.000,679040.000,646107.000,644081.000,591177.000,551171.000,497574.000,263506.000,232038.000,0.000,,,,,,,
ForeignCurrencyTransactionGainLossUnrealized,,,,-7370.000,11264.000,,22141.000,24235.000,10188.000,-55599.000,2840.000,-1527.000,-7972.000,-5427.000,-15154.000,25325.000,,,,,
GainLossOnDerivativeInstrumentsHeldForTradingPurposesNet,,,,1011355.000,2561600.000,,,,,,,,,,2625968.000,-3651282.000,1026391.000,151652.000,212293.000,-541005.000,-582123.000
GainLossOnSaleOfCommodityContracts,,,,,,,,,,,,,,,,,,,-418435.000,-875262.000,-120556.000
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,,,,,,,,,,,,,,-0.190,-0.170,,-0.170,-0.160,-0.160
InterestIncomeOperating,,,,,,,,,,,,,,,,,696.000,,10750.000,7412.000,8225.000
InvestmentIncomeInterest,-1020.000,6296.000,7454.000,4735.000,9338.000,9477.000,6861.000,3168.000,2154.000,5477.000,2089.000,915.000,630.000,659.000,469.000,391.000,,,,,
InvestmentIncomeNet,,,,,,,,,,,,,,,,,-315560.000,,-291996.000,-261430.000,-249588.000
ManagementFeeExpense,,,,,,,,,,,,,,,,,86252.000,,82568.000,73320.000,70313.000
NetIncomeLoss,-450144.000,2256951.000,1486145.000,-88941.000,1544568.000,-2861237.000,2277489.000,1841864.000,-1571142.000,1133244.000,-3946670.000,1106264.000,3108105.000,3398006.000,2259655.000,-4013725.000,710831.000,-158260.000,-79703.000,-802435.000,-831711.000
NetIncomeLossAllocatedToGeneralPartners,-4821.000,22714.000,17120.000,-2083.000,21020.000,-30999.000,27225.000,20000.000,-19558.000,14586.000,-56179.000,18830.000,47110.000,35959.000,24779.000,-45366.000,8185.000,-1762.000,-973.000,-8955.000,
NetIncomeLossAllocatedToLimitedPartners,-445323.000,2234237.000,1469025.000,-86858.000,1523548.000,-2830238.000,2250264.000,1821864.000,-1551584.000,1118658.000,-3890491.000,1087434.000,3060995.000,3362047.000,2234876.000,-3968359.000,702646.000,-156498.000,-78730.000,-793480.000,
