,2014-06-30,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AllocatedShareBasedCompensationExpense,,,,,3000000.000,,2000000.000,3000000.000,5000000.000,3000000.000,4000000.000
AmortizationOfDebtDiscountPremium,,,-1000000.000,,,,-1000000.000,,,,-1000000.000
AmortizationOfIntangibleAssets,6000000.000,7000000.000,6000000.000,7000000.000,7000000.000,7000000.000,,,,,
AmountOfDilutiveSecuritiesStockOptionsAndRestrictiveStockUnits,,,,,,,,0.000,0.000,,
AntidilutiveSecuritiesExcludedFromComputationOfNetIncomePerOutstandingUnitAmount,0.010,0.000,0.000,,,,0.000,,,,
CapitalExpendituresIncurredButNotYetPaid,,,51000000.000,,,,42000000.000,,,,20000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-4000000.000,,,,34000000.000,,,,
ComprehensiveIncomeNetOfTax,120000000.000,139000000.000,91000000.000,77000000.000,-985000000.000,65000000.000,86000000.000,39000000.000,119000000.000,68000000.000,
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,1000000.000,0.000,0.000,0.000,-6000000.000,-13000000.000,0.000,0.000,0.000,1000000.000,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,121000000.000,139000000.000,91000000.000,77000000.000,-991000000.000,52000000.000,86000000.000,39000000.000,119000000.000,69000000.000,
CostsAndExpenses,,,,,1621000000.000,,406000000.000,472000000.000,481000000.000,528000000.000,526000000.000
CurrentFederalTaxExpenseBenefit,1000000.000,1000000.000,,,,,,,,,
CurrentIncomeTaxExpenseBenefit,2000000.000,1000000.000,,,,,,,,,
CurrentStateAndLocalTaxExpenseBenefit,1000000.000,0.000,,,,,,,,,
DeferredFederalIncomeTaxExpenseBenefit,-2000000.000,-1000000.000,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,-2000000.000,0.000,,,,,,,,,1000000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,0.000,1000000.000,,,,,,,,,
DepreciationAndAmortization,69000000.000,69000000.000,73000000.000,76000000.000,84000000.000,85000000.000,81000000.000,83000000.000,84000000.000,90000000.000,88000000.000
DerivativeGainLossOnDerivativeNet,0.000,5000000.000,7000000.000,-3000000.000,21000000.000,14000000.000,3000000.000,-34000000.000,9000000.000,-21000000.000,21000000.000
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,,,,,,,,-34000000.000,9000000.000,,21000000.000
EquityMethodInvestmentDividendsOrDistributions,,,,,,,,,,,7000000.000
GainLossOnSaleOfDerivatives,,,,,,,,5000000.000,1000000.000,,-3000000.000
GainLossOnSalesOfAssetsAndAssetImpairmentCharges,,,,,,,-1000000.000,,,,-1000000.000
GeneralAndAdministrativeExpense,,,,,,,20000000.000,27000000.000,21000000.000,30000000.000,25000000.000
ImpairmentOfLongLivedAssetsHeldForUse,,,,,,,,,,,0.000
ImpairmentOfLongLivedAssetsToBeDisposedOf,,1000000.000,,,1105000000.000,,0.000,,8000000.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,121000000.000,140000000.000,92000000.000,78000000.000,-991000000.000,50000000.000,87000000.000,39000000.000,121000000.000,67000000.000,121000000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,121000000.000,139000000.000,91000000.000,77000000.000,-991000000.000,52000000.000,86000000.000,39000000.000,119000000.000,,120000000.000
IncomeLossFromEquityMethodInvestments,4000000.000,5000000.000,7000000.000,7000000.000,7000000.000,8000000.000,7000000.000,7000000.000,8000000.000,6000000.000,7000000.000
IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions,,,-5000000.000,,,,0.000,,,,7000000.000
IncomeTaxExpenseBenefit,0.000,1000000.000,1000000.000,1000000.000,0.000,-2000000.000,1000000.000,0.000,2000000.000,-2000000.000,1000000.000
IncomeTaxesPaidNet,,,,,,,1000000.000,,,,0.000
IncreaseDecreaseInAccountsPayable,,,18000000.000,,,,-84000000.000,,,,-55000000.000
IncreaseDecreaseInAccountsPayableRelatedParties,,,-21000000.000,,,,-3000000.000,,,,0.000
IncreaseDecreaseInAccountsReceivable,,,-2000000.000,,,,-19000000.000,,,,-18000000.000
IncreaseDecreaseInAccountsReceivableRelatedParties,,,2000000.000,,,,-5000000.000,,,,8000000.000
IncreaseDecreaseInGasImbalanceReceivable,,,-8000000.000,,,,-3000000.000,,,,-17000000.000
IncreaseDecreaseInInventories,,,-13000000.000,,,,-8000000.000,,,,-1000000.000
IncreaseDecreaseInOtherCurrentAssets,,,-6000000.000,,,,0.000,,,,-1000000.000
IncreaseDecreaseInOtherCurrentLiabilities,,,2000000.000,,,,15000000.000,,,,-16000000.000
IncreaseDecreaseInOtherOperatingAssets,,,2000000.000,,,,-1000000.000,,,,-2000000.000
IncreaseDecreaseInOtherOperatingLiabilities,,,-2000000.000,,,,2000000.000,,,,0.000
IncrementalCommonSharesAttributableToConversionOfPreferredStock,,,,,,,21000000.000,0.000,0.000,-21000000.000,0.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,,,,1000000.000,0.000,,1000000.000
InterestExpense,16000000.000,20000000.000,20000000.000,23000000.000,23000000.000,24000000.000,23000000.000,25000000.000,26000000.000,25000000.000,27000000.000
InterestIncomeRelatedParty,0.000,0.000,,,,,,,,,
InterestPaidNet,,,9000000.000,,,,15000000.000,,,,14000000.000
NaturalGasMidstreamCosts,478000000.000,439000000.000,292000000.000,277000000.000,287000000.000,241000000.000,195000000.000,254000000.000,268000000.000,300000000.000,308000000.000
NaturalGasMidstreamRevenue,827000000.000,803000000.000,616000000.000,590000000.000,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,53000000.000,,,,34000000.000,,,,-92000000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,53000000.000,,,,34000000.000,,,,-92000000.000
NetCashProvidedByUsedInInvestingActivities,,,-245000000.000,,,,-117000000.000,,,,-56000000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-245000000.000,,,,-117000000.000,,,,-56000000.000
NetCashProvidedByUsedInOperatingActivities,,,188000000.000,,,,117000000.000,,,,156000000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,188000000.000,,,,117000000.000,,,,156000000.000
NetIncomeLoss,120000000.000,139000000.000,91000000.000,77000000.000,-985000000.000,65000000.000,86000000.000,39000000.000,119000000.000,68000000.000,120000000.000
NetIncomeLossAllocatedToGeneralPartners,0.000,0.000,0.000,,0.000,,0.000,0.000,0.000,0.000,0.000
NetIncomeLossAllocatedToLimitedPartners,120000000.000,139000000.000,91000000.000,77000000.000,-985000000.000,65000000.000,86000000.000,35000000.000,110000000.000,59000000.000,111000000.000
NetIncomeLossAttributableToNoncontrollingInterest,1000000.000,0.000,0.000,0.000,-6000000.000,-13000000.000,0.000,0.000,0.000,1000000.000,0.000
NetIncomeLossAvailableToCommonStockholdersDiluted,,,,,,,86000000.000,35000000.000,110000000.000,59000000.000,111000000.000
NonoperatingIncomeExpense,-17000000.000,-12000000.000,-12000000.000,-15000000.000,-16000000.000,-16000000.000,-16000000.000,-18000000.000,-18000000.000,-19000000.000,-19000000.000
OperatingCostsAndExpenses,,128000000.000,130000000.000,131000000.000,130000000.000,28000000.000,95000000.000,93000000.000,87000000.000,92000000.000,89000000.000
OperatingExpenses,211000000.000,212000000.000,220000000.000,220000000.000,130000000.000,-48000000.000,115000000.000,120000000.000,108000000.000,122000000.000,114000000.000
OperatingIncomeLoss,138000000.000,152000000.000,104000000.000,93000000.000,-975000000.000,66000000.000,103000000.000,57000000.000,139000000.000,86000000.000,140000000.000
OtherComprehensiveIncomeLossNetOfTax,0.000,,,,,,,,,,
OtherNonoperatingIncomeExpense,-5000000.000,3000000.000,1000000.000,1000000.000,0.000,0.000,0.000,0.000,0.000,0.000,1000000.000
PartnersCapitalAccountDistributions,,,130000000.000,,,,134000000.000,,,,147000000.000
PartnersCapitalAccountPrivatePlacementOfUnits,,,,,,,362000000.000,,,,
PartnersCapitalAccountUnitBasedCompensation,6000000.000,5000000.000,3000000.000,3000000.000,,,2000000.000,,,,4000000.000
PaymentsOfDividendsMinorityInterest,,,130000000.000,,,,134000000.000,,,,147000000.000
PaymentsToAcquireEquityMethodInvestments,,,6000000.000,,,,0.000,,,,
