,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,,0.000,551.000,25000.000,,1422.000,,196.000,,10000.000,86000.000,11572.000,26466.000,118272.000,21500.000,22678.000,21370.000,146114.000,31753.000,30351.000,100.000
AccountsPayableRelatedPartiesCurrent,,3131.000,,,,,,,,,,,,,,,,,,,
AccountsReceivableNet,,0.000,,80085.000,227059.000,127059.000,124085.000,208085.000,,108085.000,190000.000,230000.000,150000.000,220000.000,41800.000,167513.000,295000.000,430552.000,6867.000,,
AccountsReceivableNetCurrent,,,,,,,,,,,190000.000,230000.000,,,,,,,,,
AccruedLiabilitiesCurrent,,,80000.000,,,,,,,,2119.000,1853.000,1801.000,1790.000,1795.000,3949.000,8024.000,8030.000,7567.000,7365.000,7421.000
AccruedPayrollTaxes,,,,,1918.000,,,,,,,,,,,,,,,,
AccruedPayrollTaxesCurrent,,,,,,1382.000,1382.000,1383.000,,1382.000,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,1360.000,2721.000,4081.000,5441.000,,8162.000,9522.000,1360.000,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,207.000,207.000,207.000,307.000,307.000,307.000,307.000,307.000,,288.000,288.000,288.000,288.000,-1092.000,-1249.000,-1451.000,-1241.000,-1241.000,-1486.000,-2308.000,-2414.000
AdditionalPaidInCapitalCommonStock,34450.000,34450.000,34625.000,808650.000,821100.000,824088.000,824088.000,873838.000,,873838.000,873838.000,873838.000,885718.000,885718.000,885718.000,885718.000,885718.000,885718.000,1281718.000,984718.000,984718.000
Assets,383344.000,353572.000,436879.000,695028.000,666709.000,616334.000,599639.000,575377.000,,501733.000,548822.000,447523.000,410933.000,503666.000,366870.000,401076.000,392712.000,499064.000,876684.000,438494.000,317615.000
