,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentForAmortization,,,12346.000,,,,,,,,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,,,,,,,,111000.000,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,,,4500.000,4400.000,,,,,,,,,,,,,,5000.000,,,,5000.000
AmortizationOfDeferredCharges,,,,,,,,,,,,,,,,,,,,,,,9574.000
AmortizationOfIntangibleAssets,,,,,,,13537.000,,,,6443.000,,,,6443.000,,,,6047.000,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,0.000,0.000,,,,,,,,,,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfNetIncomePerOutstandingUnitAmount,,,,,0.000,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,123201.000,,,,,,,,,,,,,,,,,,,,
ConstructionInProgressExpendituresIncurredButNotYetPaid,,,,,,,,,,,,,,,,,,,96166.000,,,,
CostOfGoodsSold,2733442.000,2681509.000,2504064.000,2743794.000,2478358.000,2641347.000,2558013.000,2770787.000,2575557.000,2649196.000,2705424.000,3213875.000,2850049.000,3017260.000,2497214.000,3013806.000,2925062.000,2981392.000,2716536.000,2674367.000,2940027.000,3002061.000,2538764.000
DeferredIncomeTaxExpenseBenefit,,,,,,,65000.000,,,,,,,,,,,,,,,,
Depreciation,,,115997.000,,,,135123.000,,,,158576.000,,,,160843.000,,,,162751.000,,,,212302.000
EarningsPerShareBasic,0.160,0.110,-0.030,0.120,0.110,0.150,-0.040,0.150,0.060,0.170,0.100,0.100,0.070,0.050,-0.110,0.010,0.060,0.110,-0.100,0.020,0.040,0.010,-0.190
EarningsPerShareDiluted,0.160,0.110,-0.030,0.120,0.110,0.150,-0.040,0.150,0.060,0.170,0.100,0.100,0.070,0.050,-0.110,0.010,0.060,0.110,-0.100,0.020,0.040,0.010,-0.190
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,,0.000,0.000,,0.000,0.000,0.000,,0.000,0.000,,,,,,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,,,,,,,,,,,,,,,,,,,-8001.000,,,,
GrossProfit,1853989.000,1679803.000,1505560.000,1803286.000,1752877.000,1883121.000,1464259.000,1883958.000,1641568.000,1948070.000,1759153.000,1710872.000,1627965.000,1605239.000,1100675.000,1639742.000,1617668.000,1786507.000,1296674.000,1522211.000,1667474.000,1750551.000,1090228.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,-171587.000,403234.000,162877.000,532649.000,317131.000,294532.000,176762.000,130345.000,-469070.000,196192.000,190213.000,307672.000,-320192.000,36965.000,142491.000,71675.000,-601820.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,453585.000,300274.000,-92625.000,367729.000,340977.000,,,,,,,,,,,,,,,,,,
IncomeTaxExpenseBenefit,144039.000,85597.000,-30219.000,124646.000,112865.000,143708.000,-83837.000,110122.000,46715.000,172000.000,112216.000,96100.000,37791.000,23893.000,-240123.000,168468.000,73457.000,88198.000,-127380.000,-2260.000,60225.000,65415.000,-222923.000
IncomeTaxesPaid,,,,,,,10671.000,,,,,,,,,,,,,,,,
IncomeTaxesPaidNet,,,4846.000,,,,2355.000,,,,-9876.000,,,,10802.000,,,,11740.000,,,,-8564.000
IncreaseDecreaseInAccountsPayable,,,111116.000,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayableTrade,,,276935.000,,,,148885.000,,,,346398.000,,,,486526.000,,,,170805.000,,,,111754.000
IncreaseDecreaseInAccountsReceivable,,,38098.000,,,,124341.000,,,,162220.000,,,,-345897.000,,,,56062.000,,,,-405542.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,,,,,,,-74275.000,,,,85940.000,,,,,,,,,,,,
IncreaseDecreaseInAccruedLiabilities,,,,,,,59925.000,,,,87351.000,,,,258891.000,,,,110076.000,,,,-120476.000
IncreaseDecreaseInIncomeTaxesReceivable,,,35065.000,,,,72207.000,,,,-16400.000,,,,250925.000,,,,139119.000,,,,214359.000
IncreaseDecreaseInInventories,,,177801.000,,,,286326.000,,,,333655.000,,,,112712.000,,,,134229.000,,,,246362.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,70769.000,,,,27766.000,,,,58704.000,,,,179665.000,,,,96474.000,,,,29930.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,4947.000,4122.000,,,4929.000,6289.000,,3227.000,2836.000,1394.000,-6267.000,,539.000,321.000,,,80.000,89.000,,
InterestExpense,,,,,,,,,,,,,,,,,,,,14999.000,21721.000,,20817.000
InterestPaid,,,,,,,,,,,,,,,,,,,,,,,17786.000
InvestmentIncomeInterest,4781.000,4028.000,3726.000,3079.000,2572.000,2673.000,2215.000,1744.000,1372.000,1712.000,1958.000,1552.000,103.000,1691.000,1696.000,1510.000,825.000,158.000,114.000,2048.000,4519.000,4484.000,5153.000
NetCashProvidedByUsedInContinuingOperations,,,,,,,-451197.000,,,,438945.000,,,,2066.000,,,,-1183102.000,,,,-440373.000
NetCashProvidedByUsedInFinancingActivities,,,,,,,,,,,,,,,,,,,,,,,-34883.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,,,,,,,,,,,,,,,,,,,-34883.000
NetCashProvidedByUsedInInvestingActivities,,,-39544.000,,,,-244616.000,,,,71898.000,,,,-489063.000,,,,-1031099.000,,,,-160099.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-39544.000,,,,-244616.000,,,,71898.000,,,,-489063.000,,,,-1031099.000,,,,-160099.000
NetCashProvidedByUsedInOperatingActivities,,,158995.000,,,,-247578.000,,,,353997.000,,,,491129.000,,,,-155768.000,,,,-245391.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,158995.000,,,,-247578.000,,,,353997.000,,,,491129.000,,,,-155768.000,,,,-245391.000
NetIncomeLoss,309546.000,214677.000,-62406.000,243083.000,228112.000,,-87750.000,293112.000,116162.000,360649.000,204915.000,198432.000,138971.000,106452.000,-228947.000,27724.000,116756.000,219474.000,-192812.000,39225.000,82266.000,6260.000,-378897.000
OperatingIncomeLoss,448804.000,296246.000,-96351.000,364650.000,338405.000,426177.000,-173802.000,401490.000,161505.000,530937.000,315173.000,292980.000,176659.000,128654.000,-470766.000,194682.000,189388.000,307514.000,-320306.000,49916.000,159693.000,88693.000,-586156.000
PaymentsToAcquireIntangibleAssets,,,7563.000,,,,35840.000,,,,16648.000,,,,17996.000,,,,14242.000,,,,7682.000
PaymentsToAcquirePropertyPlantAndEquipment,,,229897.000,,,,207453.000,,,,123852.000,,,,376067.000,,,,1017857.000,,,,60417.000
PaymentsToAcquireShortTermInvestments,,,410833.000,,,,204806.000,,,,350000.000,,,,650000.000,,,,,,,,1225000.000
ProceedsFromIncomeTaxRefunds,,,1341.000,,,,,,,,,,,,,,,,,,,,
ProceedsFromMaturitiesPrepaymentsAndCallsOfShorttermInvestments,,,,,,,,,,,554807.000,,,,,,,,,,,,
ProceedsFromSaleOfPropertyPlantAndEquipment,,,,,,,,,,,7591.000,,,,,,,,1000.000,,,,
ProceedsFromSaleOfShortTermInvestments,,,608749.000,,,,203483.000,,,,,,,,555000.000,,,,,,,,1133000.000
ProceedsFromStockOptionsExercised,,,3750.000,,,,40997.000,,,,13050.000,,,,,,,,3765.000,,,,
RepaymentsOfLongTermDebt,,,,,,,,,,,,,,,,,,,,,,,34883.000
ResearchAndDevelopmentExpense,137488.000,129541.000,175714.000,153265.000,141186.000,159611.000,172515.000,153412.000,149864.000,173534.000,143330.000,177479.000,169145.000,175045.000,155844.000,192539.000,157814.000,154205.000,177864.000,147125.000,150176.000,171900.000,165770.000
SalesRevenueGoodsNet,4587431.000,4361312.000,4009624.000,4547080.000,4231235.000,4524468.000,4022272.000,4654745.000,4217125.000,4597266.000,4464577.000,4924747.000,4478014.000,4622499.000,3597889.000,4653548.000,4542730.000,4767899.000,4013210.000,4196578.000,4607501.000,4752612.000,3628992.000
SellingGeneralAndAdministrativeExpense,1267697.000,1254016.000,1426197.000,1285371.000,1273286.000,1297333.000,1465546.000,1329056.000,1330199.000,1243599.000,1300650.000,1240413.000,1282161.000,1301540.000,1415597.000,1252521.000,1270466.000,1324788.000,1439116.000,1325170.000,1357605.000,1489958.000,1510614.000
ShareBasedCompensation,,,4416.000,,,,2617.000,,,,2553.000,,,,4778.000,,,,5248.000,,,,5461.000
WeightedAverageNumberOfDilutedSharesOutstanding,1987662.000,1987945.000,1984695.000,1991311.000,1993429.000,-3978588.000,2000555.000,2012552.000,2015125.000,-4017573.000,2015992.000,2019721.000,2019806.000,-4037185.000,2018253.000,2018792.000,2018574.000,-4037028.000,2018335.000,2018833.000,2018842.000,-4037361.000,2018753.000
WeightedAverageNumberOfSharesOutstandingBasic,1982869.000,1983613.000,1984695.000,1986364.000,1989307.000,-3972300.000,2000555.000,2007623.000,2008836.000,-4010171.000,2012765.000,2016885.000,2018412.000,-4030918.000,2018253.000,2018253.000,2018253.000,-4036506.000,2018335.000,2018753.000,2018753.000,-4037192.000,2018753.000
