,2014-06-30,2015-03-31,2015-06-30,2016-03-31,2016-09-30,2017-03-31
AmortizationOfDeferredSalesCommissions,,,,,,-677645.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,-64056.000,,-628189.000
ComprehensiveIncomeNetOfTax,-529477.000,-694238.000,-521922.000,-150917.000,-152920.000,-71421.000
CostOfRevenue,,,,-13618.000,-6615.000,-3407.000
EarningsPerShareBasicAndDiluted,0.000,,,0.000,0.000,0.000
EffectOfExchangeRateOnCashAndCashEquivalents,,268258.000,,6539.000,,-12473.000
FinancialServicesCosts,,,,-80.000,-35.000,-43.000
ForeignCurrencyTransactionGainLossBeforeTax,-13639.000,97748.000,52641.000,10207.000,33.000,
GeneralAndAdministrativeExpense,-5000.000,-7155.000,-9787.000,-141048.000,-158691.000,-42486.000
GrossProfit,,,,7279.000,735.000,2459.000
IncomeLossFromContinuingOperations,-45000.000,-47155.000,-49787.000,-173384.000,-197768.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-5000.000,-7155.000,-9787.000,-133769.000,-157956.000,-40027.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,0.000,0.000,0.000,0.000,0.000,
IncomeLossFromDiscontinuedOperationsNetOfTax,-729495.000,-1293660.000,-891273.000,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToNoncontrollingInterest,-268456.000,-476067.000,-464933.000,-26135.000,-44825.000,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,0.000,0.000,0.000,0.000,0.000,
IncreaseDecreaseInAccountsPayable,,,,-6273.000,,
IncreaseDecreaseInAccountsReceivable,,,,6970.000,,-5873.000
IncreaseDecreaseInCustomerAdvancesAndDeposits,,3960.000,,34879.000,,-1517.000
IncreaseDecreaseInDerivativeAssetsAndLiabilities,,1028042.000,,,,
IncreaseDecreaseInDueFromRelatedParties,,,,-93918.000,,-200458.000
IncreaseDecreaseInDueToRelatedParties,,40000.000,,143043.000,,
IncreaseDecreaseInPrepaidExpensesOther,,555.000,,18088.000,,185959.000
InterestExpense,-40000.000,-40000.000,-40000.000,,,
InterestIncomeExpenseNet,,,,-40000.000,-40000.000,-40000.000
NetCashProvidedByUsedInFinancingActivities,,,,143043.000,,142766.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,143043.000,,142766.000
NetCashProvidedByUsedInInvestingActivities,,,,,,-677645.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,-677645.000
NetCashProvidedByUsedInOperatingActivities,,-268258.000,,-213638.000,,-80837.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-268258.000,,-213638.000,,-80837.000
NetIncomeLoss,-506039.000,-864748.000,-476127.000,-147249.000,-152943.000,-58948.000
NetIncomeLossAttributableToNoncontrollingInterest,-268456.000,-476067.000,-327988.000,-26135.000,-44825.000,
OperatingExpenses,-5000.000,-7155.000,-9787.000,-141048.000,-158691.000,-42486.000
OperatingIncomeLoss,-774495.000,-1340815.000,-941060.000,-173384.000,-197768.000,-58948.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,-37077.000,268258.000,143791.000,6539.000,56.000,-12473.000
OtherComprehensiveIncomeLossNetOfTax,-811572.000,-1072557.000,-797269.000,-166845.000,-197712.000,-12473.000
OtherIncome,,,,465.000,223.000,21122.000
OtherNonoperatingIncomeExpense,,,,,,-71421.000
ProceedsFromRelatedPartyDebt,,,,,,142766.000
ProfitLoss,,-1340815.000,,-173384.000,,-58948.000
Revenues,,,,21362.000,7573.000,26988.000
SalesRevenueNet,,,,20897.000,7350.000,5866.000
TemporaryEquityForeignCurrencyTranslationAdjustments,,268258.000,,6539.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,11307232960.000,11307232960.000,11307232960.000,11307232960.000,11307232960.000,11427232960.000
