,2015-06-30,2015-09-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,1107000.000,,,,1038000.000
AllocatedShareBasedCompensationExpense,,100000.000,1100000.000,900000.000,600000.000,1000000.000,1000000.000
AmortizationOfFinancingCostsAndDiscounts,,,893000.000,,,,427000.000
AmortizationOfIntangibleAssets,,,,1000000.000,900000.000,,1200000.000
AssetRetirementObligationAccretionExpense,,,0.000,,,,
AssetRetirementObligationForeignCurrencyTranslationGainLoss,,,0.000,,,,
AssetRetirementObligationLiabilitiesIncurred,,,0.000,,,,
BusinessCombinationAcquisitionRelatedCosts,,14829000.000,10005000.000,83000.000,139000.000,645000.000,0.000
CashPeriodIncreaseDecreaseExcludingExchangeRateEffect,,,-5943000.000,,,,-16835000.000
ComprehensiveIncomeNetOfTax,,-64796000.000,-6688000.000,22575000.000,-12960000.000,-32659000.000,4333000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,-39611000.000,-9463000.000,19470000.000,-2049000.000,-22046000.000,4519000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,-111845000.000,-16151000.000,42045000.000,-15009000.000,-54705000.000,8852000.000
CostsAndExpensesRelatedParty,,2417000.000,5030000.000,4683000.000,3853000.000,,3800000.000
DeferredIncomeTaxesAndTaxCredits,,,-1175000.000,,,,1524000.000
Depreciation,,5900000.000,,,,,
DepreciationDepletionAndAmortization,,6756000.000,14572000.000,13025000.000,13374000.000,14217000.000,15101000.000
DividendsCash,,,30674000.000,0.000,0.000,0.000,0.000
DividendsCommonStockCash,,,30674000.000,,,,
EarningsPerShareBasicAndDiluted,,-0.480,-0.040,0.010,-0.120,-0.320,-0.020
EarningsPerShareBasicDistributed,,,0.280,0.000,0.000,-0.010,0.000
EarningsPerShareBasicUndistributed,,,-0.320,0.010,-0.120,-0.310,-0.020
EarningsPerShareDilutedDistributed,,,,0.000,0.000,,
