,2011-09-30,2011-12-31,2012-03-31
AccountsPayableCurrent,187258000.000,119305000.000,84654000.000
AccountsReceivableNetCurrent,143971000.000,127122000.000,121657000.000
AccruedIncomeTaxesCurrent,32414000.000,39273000.000,33056000.000
AccruedLiabilitiesCurrent,131694000.000,125875000.000,104416000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-9345000.000,-11354000.000,-8717000.000
AdditionalPaidInCapitalCommonStock,286257000.000,286451000.000,271676000.000
Assets,1866771000.000,1750338000.000,1731685000.000
AssetsCurrent,765346000.000,658678000.000,647088000.000
CashAndCashEquivalentsAtCarryingValue,19484000.000,22053000.000,16976000.000
DeferredTaxLiabilitiesNoncurrent,93947000.000,100183000.000,101082000.000
FiniteLivedIntangibleAssetsNet,,47084000.000,44548000.000
Goodwill,685448000.000,681760000.000,682933000.000
IndefiniteLivedTradeNames,133370000.000,132722000.000,132793000.000
InventoryNet,523135000.000,434983000.000,429052000.000
Liabilities,1573214000.000,1387308000.000,1363069000.000
LiabilitiesAndStockholdersEquity,1866771000.000,1750338000.000,1731685000.000
LiabilitiesCurrent,623609000.000,432401000.000,407280000.000
LinesOfCreditCurrent,,139282000.000,176939000.000
LongTermDebtCurrent,8845000.000,8666000.000,8215000.000
LongTermDebtNoncurrent,834910000.000,834310000.000,832746000.000
MinorityInterest,2392000.000,2277000.000,2440000.000
OtherAssetsNoncurrent,26528000.000,25765000.000,23100000.000
OtherIntangibleAssetsNet,47931000.000,,
OtherLiabilitiesNoncurrent,,20414000.000,21961000.000
PrepaidExpenseAndOtherAssetsCurrent,78756000.000,74520000.000,79403000.000
PropertyPlantAndEquipmentNet,208148000.000,204329000.000,201223000.000
RetainedEarningsAccumulatedDeficit,-21512000.000,48717000.000,50761000.000
ShortTermBankLoansAndNotesPayable,263398000.000,,
StockholdersEquity,255400000.000,323814000.000,313720000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,257792000.000,326091000.000,316160000.000
TemporaryEquityCarryingAmount,,36939000.000,52456000.000
TemporaryEquityRedemptionValue,35765000.000,,
TemporaryEquitySharesIssued,,1210.490,1210.490
TemporaryEquitySharesOutstanding,,1210.490,1210.490
