,2011-11-30,2012-02-29,2012-05-31,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30,2017-02-28,2017-05-31
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,,,453600.000,,,,,,,,,,,,,,,,,
AccountsPayableCurrent,67761.000,32609.000,59953.000,116223.000,155483.000,121792.000,167775.000,416555.000,490279.000,945534.000,438558.000,235066.000,551712.000,198338.000,146740.000,118769.000,99731.000,160390.000,329606.000,1258983.000,445485.000
AccountsReceivableNet,,,,,,,57303.000,,,,,,,,,,,,,,
AccountsReceivableNetCurrent,72627.000,46147.000,54103.000,312181.000,304018.000,271491.000,584803.000,466216.000,664648.000,600397.000,945104.000,732945.000,521351.000,707838.000,865346.000,92464.000,151194.000,181006.000,199407.000,78336.000,61554.000
AccountsReceivableNetNoncurrent,,,,,,,,,,,,,,0.000,,,,,,,
AccrualForTaxesOtherThanIncomeTaxesCurrent,,,,,,98600.000,156200.000,191200.000,46200.000,59600.000,139800.000,23600.000,59500.000,95500.000,131400.000,1400.000,3600.000,5700.000,7900.000,10000.000,4000.000
AccruedBonusesCurrentAndNoncurrent,,,,,,,,,,,,,,400000.000,,,,160000.000,,,
AccruedIncomeTaxesCurrent,,,,,,,,,,,,,,292729.000,0.000,0.000,0.000,0.000,,,
AccruedLiabilitiesCurrent,117377.000,100404.000,169071.000,453588.000,395250.000,196217.000,264740.000,250853.000,174952.000,169112.000,197326.000,97254.000,145696.000,590533.000,194167.000,61923.000,86542.000,242624.000,63685.000,100027.000,70807.000
AccruedProfessionalFeesCurrent,,,,,,44500.000,56700.000,30100.000,38700.000,47900.000,,0.000,42300.000,52500.000,18100.000,34800.000,51400.000,18000.000,24500.000,49500.000,39500.000
