,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-12-31,2015-03-31,2015-06-30,2015-12-14,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,,,,62993663.000,,,,,,,,,16975664.000,16845664.000,,54143914.000,53197877.000,,52947877.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,,,,0.300,,,,,,,,,0.270,0.270,,0.240,0.240,,0.230,
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfExercisableOptions,,,,,,,,,,,,,,,,,12135089.000,,12041498.000,11985498.000,
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfOutstandingOptions,,,,,,,,,,,,,,,,,12572591.000,,12204000.000,12423000.000,
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedNumberOfShares,,,,,,,,,1482286.000,,,,,,,,,,162502.000,,
SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeExercisableOptionsWeightedAverageExercisePrice1,,,,,,,,,,,,,,,,,0.410,,0.390,0.380,
SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeOutstandingOptionsWeightedAverageExercisePriceBeginningBalance1,,,,,,,,,,,,,,,,,0.410,,0.380,0.370,
ShortTermBorrowings,0.000,,,,,,,,,,,,,,,,,,,,
StockholdersEquity,-23259000.000,-20085000.000,-16658000.000,-13291000.000,-20335000.000,-16235000.000,1606000.000,1095000.000,705000.000,278000.000,37000.000,1636000.000,1078000.000,434000.000,-289000.000,,5617000.000,4185000.000,3195000.000,2135000.000,1127000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-23259000.000,-20085000.000,-16658000.000,-13291000.000,-20335000.000,-16235000.000,1606000.000,1095000.000,705000.000,278000.000,37000.000,1636000.000,1078000.000,434000.000,-289000.000,,5617000.000,4185000.000,3195000.000,2135000.000,1127000.000
UnbilledContractsReceivable,,,,,,,418000.000,,,,,802000000.000,1232000000.000,617000000.000,623000.000,,687000.000,495000.000,,493000000.000,496000.000
UnrecognizedTaxBenefits,,,,,,,,,4397.000,,,,,,,,,,5208000.000,,
WarrantsAndRightsOutstanding,23405000.000,19717000.000,16393000.000,12710000.000,19319000.000,14809000.000,,0.000,0.000,,,,,,,,,,0.000,,
