,2011-03-31,2011-06-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,,,,,,,,,,,,,,6000000.000,,,,6000000.000,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,,,,,,,,,,,,,,,,3000000.000,,,,,,
AmortizationOfIntangibleAssets,,,10000000.000,,10000000.000,,8000000.000,7000000.000,8000000.000,8000000.000,7000000.000,16000000.000,14000000.000,11000000.000,12000000.000,13000000.000,15000000.000,13000000.000,14000000.000,17000000.000,15000000.000,14000000.000,12000000.000,13000000.000,61000000.000
AssetImpairmentCharges,,,,,,,,,,,,,,,,,,,6000000.000,,,,,,
BusinessCombinationAcquisitionRelatedCosts,,,,,,,,,,,12000000.000,1000000.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,11000000.000,5000000.000,64000000.000
BusinessCombinationIntegrationRelatedCosts,,,,,,,,,,,,,,,,,,,,,,,,,64000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-244000000.000,,,,2000000.000,,,,48000000.000,,,,-8000000.000,,,,82000000.000,,,,-32000000.000,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,,,,,,,,,-1000000.000,,,,0.000,,,,,,
CommonStockDividendsPerShareCashPaid,0.240,0.240,0.240,0.240,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.330,0.330,0.330,0.330,0.330,0.330,0.330,0.330,0.330
ComprehensiveIncomeNetOfTax,,,,,,,,,,,143000000.000,154000000.000,172000000.000,56000000.000,160000000.000,148000000.000,198000000.000,-153000000.000,141000000.000,194000000.000,212000000.000,-18000000.000,137000000.000,201000000.000,246000000.000
CostOfGoodsSold,770000000.000,741000000.000,681000000.000,,,,,,,,,744000000.000,743000000.000,,718000000.000,794000000.000,754000000.000,798000000.000,691000000.000,760000000.000,772000000.000,822000000.000,668000000.000,779000000.000,1352000000.000
CostOfRevenue,,,,810000000.000,846000000.000,,750000000.000,804000000.000,795000000.000,875000000.000,756000000.000,,,,,,,,,,,,,,
CostOfServices,100000000.000,92000000.000,93000000.000,,,,,,,,,150000000.000,134000000.000,,139000000.000,143000000.000,134000000.000,150000000.000,145000000.000,147000000.000,143000000.000,162000000.000,148000000.000,151000000.000,172000000.000
CostsAndExpenses,1004000000.000,963000000.000,900000000.000,948000000.000,975000000.000,1046000000.000,874000000.000,934000000.000,931000000.000,1003000000.000,891000000.000,1058000000.000,1035000000.000,1113000000.000,1008000000.000,1100000000.000,1056000000.000,1118000000.000,1012000000.000,1076000000.000,1087000000.000,1149000000.000,990000000.000,1109000000.000,1873000000.000
DeferredIncomeTaxExpenseBenefit,,,16000000.000,,,,7000000.000,,,,7000000.000,,,,13000000.000,,,,15000000.000,,,,11000000.000,,
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostExpectedLongTermReturnOnAssets,,,,,,,0.083,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanContributionsByEmployer,,,,,,,,,,,,,,,55000000.000,,,,,,,,,,
DefinedBenefitPlanNetPeriodicBenefitCost,,,,,,,,,,,,,,,2000000.000,,,,,,,,,,
DefinedBenefitPlanTransfersBetweenMeasurementLevels,,,0.000,,,,0.000,0.000,0.000,0.000,0.000,,,,0.000,,,,,,,,,,
DefinedBenefitPlansEstimatedFutureEmployerContributionsInNextFiscalYear,,,,,,,,,,,,,,,14000000.000,,,,,,,,,,
Depreciation,,,27000000.000,,,,30000000.000,,,,32000000.000,,,,38000000.000,,,,35000000.000,,,,37000000.000,,
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,10000000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,,,,,,,10000000.000,0.000,0.000,,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,1000000.000,0.000,0.000,0.000,0.000,,,,,,,-13000000.000,,-3000000.000,-10000000.000,0.000,0.000,3000000.000,-1000000.000,0.000,0.000,0.000,0.000,
DiscontinuedOperationTaxEffectOfIncomeLossFromDisposalOfDiscontinuedOperation,,,,,,,,,,,,,,,1000000.000,-4000000.000,0.000,-2000000.000,1000000.000,0.000,0.000,,0.000,0.000,
DisposalGroupIncludingDiscontinuedOperationRevenue,,6000000.000,0.000,0.000,0.000,0.000,,,,,,,31000000.000,,8000000.000,10000000.000,0.000,0.000,0.000,0.000,0.000,0.000,,,
DividendsCash,,,,,,,,,,,,,,,,,,,,,,,43000000.000,,
EarningsPerShareBasic,0.970,1.030,0.870,1.100,1.160,1.060,0.950,1.180,1.210,1.290,0.970,1.090,1.170,1.240,1.260,1.190,1.350,1.390,1.030,1.310,1.650,1.590,1.110,1.280,1.130
EarningsPerShareDiluted,0.960,1.010,0.860,1.090,1.140,1.060,0.940,1.170,1.200,1.270,0.960,1.080,1.150,1.230,1.240,1.170,1.330,1.390,1.020,1.290,1.630,1.570,1.100,1.270,1.120
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,,,-5000000.000,,,,4000000.000,,,,3000000.000,,,,-9000000.000,,,,-2000000.000,,,,-14000000.000,,
