,2013-12-31,2014-03-31,2014-09-30,2014-12-31,2015-03-31,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AllocatedShareBasedCompensationExpense,,,138000.000,205000.000,115000.000,86000.000,85000.000,102000.000,102000.000,95000.000,56000.000,-51000.000
AllowanceForDoubtfulAccountsReceivablePeriodIncreaseDecrease,,,,,,,,,,2000.000,,
AmortizationOfIntangibleAssets,30000.000,40000.000,50000.000,50000.000,50000.000,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-815000.000,,,1090000.000,,,,281000.000,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,,,,0.000,,
CostOfRevenue,3875000.000,3408000.000,4047000.000,4565000.000,3723000.000,4471000.000,5866000.000,3186000.000,3973000.000,4056000.000,3700000.000,3318000.000
DeferredIncomeTaxExpenseBenefit,,,,,,0.000,,,,,,
DepreciationAndAmortization,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,400000.000,200000.000,200000.000,200000.000
DepreciationDepletionAndAmortization,,,154000.000,,,155000.000,,,,200000.000,,
EarningsPerShareBasic,0.010,,,-0.130,,,0.060,,,0.070,-0.010,0.010
EarningsPerShareBasicAndDiluted,,-0.060,-0.030,-0.130,-0.070,-0.050,,-0.020,,,,
EarningsPerShareDiluted,0.010,,,-0.130,,,0.030,,,0.040,-0.010,0.000
EffectiveIncomeTaxRateContinuingOperations,,,0.000,0.000,0.000,0.000,,,,0.010,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.165,0.146,,,,,,,,,,
ExciseAndSalesTaxes,,,132000.000,168000.000,126000.000,163000.000,242000.000,184000.000,145000.000,216000.000,221000.000,87000.000
ForeignCurrencyTransactionGainLossBeforeTax,-4000.000,,,,,,,,,,,
GainLossOnContractTermination,,,,,,,,,,844000.000,,
GainLossOnDispositionOfAssets1,,,-2000.000,0.000,-10000.000,1000.000,0.000,-11000.000,-7000.000,-17000.000,-26000.000,-4000.000
GainLossOnSaleOfDerivatives,,,5000.000,,,-72000.000,,,,23000.000,,
GainLossOnSaleOfOtherAssets,1000.000,0.000,,0.000,0.000,,,,,,,
GainsLossesOnExtinguishmentOfDebt,51000.000,,,,,,,,,,,
GeneralAndAdministrativeExpense,707000.000,738000.000,943000.000,812000.000,855000.000,910000.000,719000.000,635000.000,798000.000,812000.000,706000.000,641000.000
GrossProfit,2121000.000,1752000.000,2435000.000,1999000.000,2429000.000,2344000.000,2640000.000,1720000.000,1583000.000,1830000.000,2037000.000,2022000.000
IncomeLossFromContinuingOperations,,,,,,,,,,-554000.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,-148000.000,-817000.000,-463000.000,-322000.000,476000.000,-182000.000,-518000.000,555000.000,-70000.000,56000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,143000.000,-736000.000,,,,,,,,,,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,-183000.000,,554000.000,-71000.000,55000.000
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,30000.000,0.000,,0.000,0.000,0.000
IncomeTaxExpenseBenefit,32000.000,-111000.000,2000.000,0.000,2000.000,0.000,-1000.000,1000.000,2000.000,1000.000,1000.000,1000.000
IncomeTaxesPaidNet,,,2000.000,,,0.000,,,,1000.000,,
IncreaseDecreaseInAccountsPayable,,,,,,,,,,2704000.000,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,4938000.000,,,2285000.000,,,,,,
IncreaseDecreaseInAccountsReceivable,,,659000.000,,,790000.000,,,,1212000.000,,
IncreaseDecreaseInAccruedLiabilities,,,,,,,,,,179000.000,,
IncreaseDecreaseInDepositOtherAssets,,,-1424000.000,,,-320000.000,,,,-271000.000,,
