,2015-12-31,2016-12-31
AcquisitionCosts,496165.000,
AmortizationOfFinancingCosts,6932.000,876352.000
BusinessCombinationConsiderationTransferred1,,101600000.000
BusinessCombinationSeparatelyRecognizedTransactionsExpensesAndLossesRecognized,,2407445.000
CashAndCashEquivalentsPeriodIncreaseDecrease,1382343.000,17996345.000
CommonStockDividendsPerShareDeclared,,1.750
DeferredIncomeTaxExpenseBenefit,-6000.000,-4000.000
DepreciationAndAmortization,135540.000,1711145.000
DepreciationDepletionAndAmortization,135540.000,1711145.000
DirectCostsOfHotels,522586.000,7496095.000
DistributionsPayableToRealEstatePartnerships,,2668.000
Dividends,,-3180547.000
DividendsCommonStock,-217365.000,
EarningsPerShareBasicAndDiluted,10.930,-1.260
FederalIncomeTaxExpenseBenefitContinuingOperations,-6000.000,-4000.000
GainLossOnSaleOfBusiness,2000000.000,
GeneralAndAdministrativeExpense,171461.000,1590687.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1478697.000,-2277471.000
IncomeTaxExpenseBenefit,-6000.000,-4000.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,191000.000,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,560000.000,-774000.000
IncomeTaxReconciliationOtherAdjustments,-757000.000,770000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,552285.000,879250.000
IncreaseDecreaseInAccountsReceivable,46759.000,232037.000
IncreaseDecreaseInDueFromRelatedParties,,70965.000
IncreaseDecreaseInDueToRelatedParties,42500.000,-42500.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,42853.000,156682.000
IncreaseDecreaseInRestrictedCash,254566.000,86588.000
IncreaseInRestrictedCash,33518.000,1495632.000
IncrementalCommonSharesAttributableToNonvestedSharesWithForfeitableDividends,7500.000,5000.000
InterestExpense,171411.000,3137208.000
InterestPaid,99109.000,2091131.000
NetCashProvidedByUsedInFinancingActivities,27084854.000,105741116.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,27084854.000,105741116.000
NetCashProvidedByUsedInInvestingActivities,-25683518.000,-88665861.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-25683518.000,-88665861.000
NetCashProvidedByUsedInOperatingActivities,-18993.000,921090.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-18993.000,921090.000
NetIncomeLoss,1484697.000,
NetIncomeLossAttributableToNoncontrollingInterest,,-15560.000
NetIncomeLossAvailableToCommonStockholdersBasic,,-2257911.000
NonoperatingIncomeExpense,1828589.000,-3137208.000
OccupancyRevenue,1053476.000,13853608.000
OperatingExpenses,1426966.000,13999135.000
OperatingIncomeLoss,-349892.000,859737.000
OtherHotelOperatingRevenue,23598.000,857799.000
PaymentOfFinancingAndStockIssuanceCosts,326234.000,
PaymentsForConstructionInProcess,150000.000,100000.000
PaymentsForOriginationOfMortgageLoansHeldForSale,,11200000.000
PaymentsForRepurchaseOfCommonStock,,422832.000
PaymentsOfCapitalDistribution,1586093.000,9358377.000
PaymentsOfDebtIssuanceCosts,,1488548.000
PaymentsOfDistributionsToAffiliates,,16439.000
PaymentsOfDividends,103411.000,1990961.000
PaymentsToAcquireCommercialRealEstate,25500000.000,220769.000
PaymentsToAcquireRealEstate,,73649460.000
ProceedsFromIssuanceOfCommonStock,12525592.000,65654316.000
ProceedsFromNotesPayable,16575000.000,109650000.000
ProfitLoss,,-2273471.000
RealEstateImprovements,,220769.000
RealEstateOtherAcquisitions,27500000.000,74100000.000
RealEstateTaxesAndInsurance,101214.000,793763.000
RepaymentsOfNotesPayable,,56250000.000
RevenueFromLeasedAndOwnedHotels,1077074.000,14858872.000
RevenueFromOwnedHotels,,14711407.000
SECScheduleIIIRealEstateAccumulatedDepreciationDepreciationExpense,133840.000,1697189.000
ShareBasedCompensation,109231.000,320586.000
StockGrantedDuringPeriodValueSharebasedCompensation,109231.000,320586.000
StockIssued1,46200.000,786602.000
StockIssuedDuringPeriodValueDividendReinvestmentPlan,46200.000,786602.000
StockIssuedDuringPeriodValueNewIssues,10639824.000,56923392.000
StockRedeemedOrCalledDuringPeriodValue,,-422832.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,135854.000,1798364.000
