,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AcquisitionCosts,,,,,1468670.000,,,,1468670.000,,,,1468670.000,,,,,,,,,,,
AdjustmentForAmortization,17175.000,17175.000,17175.000,17175.000,17175.000,17175.000,17175.000,17175.000,17175.000,1630.000,,,1630.000,1241.000,1225.000,1257.000,1241.000,462.000,462.000,462.000,463.000,0.000,0.000,0.000
AmortizationOfAcquisitionCosts,,,,,,,,,17166.000,,,,1630.000,,,,1241.000,,,,463.000,,,
AssetImpairmentCharges,215952.000,,,,339689.000,,,,1876679.000,,,,728957.000,0.000,0.000,0.000,1052460.000,0.000,0.000,0.000,702972.000,0.000,0.000,0.000
AssetManagementCosts,329.000,345.000,,,320.000,692.000,274.000,974.000,1144.000,246.000,14702.000,17052.000,7256.000,7396.000,5785.000,5163.000,2562.000,827.000,1677.000,1314.000,0.000,0.000,364.000,376.000
AssetManagementFees,,,,,-40901.000,-40901.000,,,,,,,,,,,,,,,,,,
BusinessCombinationAcquisitionRelatedCosts,,,,,,,,,141131.000,,,,101722.000,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-2023654.000,,,,-880.000,,,,-7723.000,,,,-2270.000,,,,-43373.000,,,,-19694.000,,,
CostsAndExpenses,,,,,,,,,1802000.000,,,,,,,,,,,,,,,
DepreciationAndAmortization,,,,,,,,,492000.000,,,,,,,,,,,,,,,
FinancingInterestExpense,,,,,,,,,267.000,,,,267.000,,,,267.000,,,,267.000,,,
GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,6460.000,,,,0.000,
IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,,,,,25000.000,,,,25000.000,,,,25000.000,,,,,,,,,,,
IncomeLossFromEquityMethodInvestments,-88373.000,-88373.000,-88373.000,-88373.000,-88373.000,-88373.000,-88373.000,-8320.000,-68361.000,-68361.000,-55815.000,-148484.000,-73839.000,-73839.000,-73838.000,206969.000,-3637.000,-3637.000,-3637.000,-268236.000,-69786.000,-69787.000,-69786.000,-36322.000
IncomeTaxCreditsAndAdjustments,,,,,,,,,,,,,,,,,-77961.000,,,,0.000,,,
IncomeTaxesPaidNet,,,,,,,,,,,,,,,,,0.000,,,,0.000,,,
IncreaseDecreaseInDueToRelatedParties,55659.000,,,,70860.000,,,,41019.000,,,,106566.000,,,,89651.000,,,,90475.000,,,
IncreaseDecreaseInOtherOperatingAssets,,,,,,,,,,,,,-1800.000,,,,5043.000,,,,-2643.000,,,
InterestExpense,,,,,,,,,374000.000,,,,,,,,,,,,,,,
InvestmentIncomeInterest,345.000,27.000,37.000,32.000,30.000,31.000,30.000,29.000,28.000,17.000,4.000,3.000,3.000,52.000,3.000,3.000,19.000,45.000,32.000,76.000,78.000,50.000,100.000,78.000
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPMembersOrLimitedPartnersOwnershipInterest,,,,,,,,,1.000,,,,1.000,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,,,,,,,,,,,512376.000,,,,0.000,,,,-120522.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,,,,,,,,,512376.000,,,,0.000,,,,-120522.000,,,
NetCashProvidedByUsedInInvestingActivities,-2024000.000,,,,-1126.000,,,,2249.000,,,,-514649.000,,,,-146644.000,,,,0.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-2024000.000,,,,-1126.000,,,,2249.000,,,,-514649.000,,,,-146644.000,,,,0.000,,,
NetCashProvidedByUsedInOperatingActivities,346.000,,,,246.000,,,,-9972.000,,,,3.000,,,,103271.000,,,,100828.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,346.000,,,,246.000,,,,-9972.000,,,,3.000,,,,103271.000,,,,100828.000,,,
NetIncomeLoss,-376813.000,-150442.000,-160027.000,-151311.000,-515851.000,-163496.000,-150940.000,-121938.000,-2013206.000,-334135.000,-1232033.000,937782.000,-909189.000,-1361929.000,-361839.000,225278.000,-1175675.000,1011705.000,-101524.000,690211.000,-765781.000,-226374.000,-93605.000,-106469.000
NetIncomeLossAllocatedToGeneralPartners,-377.000,-150.000,-160.000,-152.000,-516.000,-163.000,-151.000,-122.000,-2013.000,-334.000,-1232.000,937.000,-909.000,-1362.000,-362.000,225.000,-1176.000,1012.000,-102.000,691.000,-766.000,-226.000,-94.000,-106.000
NetIncomeLossAllocatedToLimitedPartners,-376436.000,-150292.000,-159867.000,-151159.000,-515335.000,-163333.000,-150789.000,-121816.000,-2011193.000,-333801.000,-1230801.000,936845.000,-908280.000,-1360567.000,-361477.000,225053.000,-1174499.000,1010693.000,-101422.000,689520.000,-765015.000,-226148.000,-93511.000,-106363.000
NetIncomeLossPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasic,-18.000,-7.000,-8.000,-6.930,-25.000,-8.000,-7.000,-5.360,-96.000,,,,,,,,,,,,,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,,,,,,,,-16.000,-59.000,,-43.000,-65.000,-17.000,10.200,-56.000,48.000,-5.000,33.270,-37.000,-11.000,-4.000,-5.240
OperatingCostsAndExpenses,,,,,,,,,936000.000,,,,,,,,,,,,,,,
OperatingExpenses,288785.000,65655.000,71691.000,62969.000,427724.000,75154.000,62597.000,122595.000,1944873.000,265791.000,1179780.000,-1084014.000,835353.000,1288142.000,291562.000,346812.000,1275308.000,284703.000,107937.000,328359.000,785048.000,160195.000,23919.000,-17483.000
OperatingIncomeLoss,-288785.000,-62096.000,-71691.000,-62970.000,-427508.000,-75154.000,-62597.000,-113647.000,-1944873.000,-265791.000,-1176222.000,1086263.000,-835353.000,-1288142.000,-288004.000,-343559.000,-1275308.000,-284703.000,-104379.000,-277669.000,-785048.000,-156637.000,-23919.000,18750.000
OtherCostAndExpenseOperating,3991.000,4199.000,2260.000,3756.000,3621.000,3228.000,3596.000,7972.000,4640.000,5507.000,16679.000,28675.000,16836.000,20748.000,4954.000,17129.000,15339.000,4965.000,1539.000,241708.000,37178.000,7596.000,-6446.000,19836.000
OtherIncome,,,,,,,,,,,,,,,,,103251.000,1300000.000,0.000,82789.000,88975.000,0.000,0.000,-88975.000
PartnersCapitalAccountPublicSaleOfUnits,,,,,,,,,,,,,20965400.000,,,,,,,,,,,
PartnersCapitalAccountUnitsSoldInPublicOffering,,,,,,,,,,,,,20981.000,,,,,,,,,,,
PaymentsForAdvanceToAffiliate,,,,,,,,,,,,,514649.000,,,,137000.000,,,,0.000,,,
PaymentsOfFinancingCosts,,,,,,,,,772.000,,,,772.000,,,,772.000,,,,772.000,,,
PaymentsToAcquireEquityMethodInvestments,2024000.000,,,,5500.000,,,,,,,,,,,,,,,,,,,
ProceedsFromContributionsFromAffiliates,,,,,4374.000,,,,2249.000,,,,,,,,,,,,,,,
ProceedsFromRelatedPartyDebt,,,,,,,,,,,,,512376.000,,,,0.000,,,,,,,
ProfessionalFees,10437.000,3035.000,11355.000,860.000,26018.000,13158.000,651.000,40753.000,4334.000,77134.000,43821.000,30147.000,39773.000,159346.000,67817.000,182294.000,37599.000,209342.000,75152.000,8675.000,24676.000,135483.000,12885.000,-54811.000
RevenueFromRelatedParties,,3559.000,,,216.000,,,,,,3558.000,,,,3558.000,,,,3558.000,,,3558.000,0.000,
Revenues,,,,,,,,,1111000.000,,,,,,,,,,,,,,,
SalesRevenueNet,,,,,,,,,1111000.000,,,,,,,,,,,,,,,
SubsidiaryOfLimitedLiabilityCompanyOrLimitedPartnershipOwnershipInterest,,,,,1.000,,,,,,,,,,,,,,,,,,,
WeightedAverageLimitedPartnershipUnitsOutstanding,20981.000,20981.000,20981.000,-41962.000,20981.000,20981.000,20981.000,-41972.000,20971.000,20971.000,20971.000,-41942.000,20971.000,20971.000,20951.000,-41942.000,20951.000,20951.000,20951.000,-41922.000,20857.000,20857.000,20807.000,-41714.000
