,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,100000.000,0.000,100000.000,500000.000,200000.000,200000.000,1400000.000,2600000.000,1500000.000,1500000.000,800000.000
AccountsPayableRelatedPartiesCurrent,4900000.000,10600000.000,4300000.000,4800000.000,5900000.000,9300000.000,8500000.000,4100000.000,5700000.000,5200000.000,5700000.000
AccountsReceivableGrossCurrent,8800000.000,16300000.000,,,,18800000.000,,,,,
AccountsReceivableNetCurrent,8800000.000,16300000.000,16300000.000,14700000.000,16200000.000,18800000.000,18500000.000,17700000.000,13300000.000,18400000.000,16100000.000
AccountsReceivableRelatedPartiesCurrent,13500000.000,10300000.000,4200000.000,7700000.000,3800000.000,9800000.000,8100000.000,6700000.000,7200000.000,10100000.000,13300000.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,1000000.000,200000.000,2900000.000,5800000.000,6000000.000,300000.000,2800000.000,4200000.000,4900000.000,600000.000,2100000.000
AccruedLiabilitiesCurrent,2200000.000,900000.000,4100000.000,10200000.000,11100000.000,6800000.000,6300000.000,6800000.000,7900000.000,5600000.000,12700000.000
AccruedProfessionalFeesCurrent,,,,,,1200000.000,300000.000,300000.000,1200000.000,300000.000,400000.000
AccruedUtilitiesCurrent,,,,,,1700000.000,0.000,0.000,0.000,0.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,63200000.000,66500000.000,69900000.000,73400000.000,77000000.000,216200000.000,222100000.000,227900000.000,233900000.000,239500000.000,245700000.000
AllowanceForDoubtfulAccountsReceivableCurrent,0.000,0.000,,,,0.000,,,,,
AssetRetirementObligation,,0.000,,,,1300000.000,,,,1400000.000,
AssetRetirementObligationsNoncurrent,,,,,,1300000.000,1400000.000,1400000.000,1400000.000,1400000.000,1400000.000
Assets,320800000.000,623700000.000,618300000.000,575000000.000,608700000.000,715500000.000,752800000.000,783100000.000,797200000.000,865600000.000,898800000.000
AssetsCurrent,51500000.000,183800000.000,183000000.000,140100000.000,143400000.000,130800000.000,172600000.000,199800000.000,189800000.000,165400000.000,198400000.000
BuildingsAndImprovementsGross,8200000.000,10500000.000,10500000.000,10500000.000,10500000.000,19500000.000,19600000.000,19500000.000,19500000.000,20200000.000,20700000.000
BusinessAcquisitionCostOfAcquiredEntityTransactionCosts,,,,,,,,500000.000,,,
CapitalLeaseObligationsNoncurrent,,,,,,22800000.000,23700000.000,24500000.000,25000000.000,24900000.000,24700000.000
CapitalLeasedAssetsGross,,,,,,,22800000.000,22800000.000,22800000.000,22800000.000,22800000.000
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation,,,,,,,500000.000,800000.000,1200000.000,1600000.000,1900000.000
CashAndCashEquivalentsAtCarryingValue,21900000.000,150200000.000,156900000.000,113000000.000,117500000.000,93000000.000,138000000.000,168600000.000,160800000.000,121900000.000,154600000.000
CashUninsuredAmount,,149700000.000,,,,92500000.000,,,,121400000.000,
ConstructionInProgressGross,23400000.000,10800000.000,6100000.000,8600000.000,3100000.000,10200000.000,15100000.000,23100000.000,23700000.000,20200000.000,29300000.000
ContractualObligation,,,,,,65600000.000,,,,63700000.000,
ContractualObligationDueAfterFifthYear,,,,,,44700000.000,,,,41500000.000,
ContractualObligationDueInFifthYear,,,,,,4300000.000,,,,4300000.000,
ContractualObligationDueInFourthYear,,,,,,4300000.000,,,,4300000.000,
ContractualObligationDueInNextTwelveMonths,,,,,,3000000.000,,,,4800000.000,
ContractualObligationDueInSecondYear,,,,,,4800000.000,,,,4500000.000,
ContractualObligationDueInThirdYear,,,,,,4500000.000,,,,4300000.000,
CostMethodInvestments,,,,,,,,,,39800000.000,
CustomerRefundableFees,,0.000,,,,0.000,,,,0.000,
DeferredFinanceCostsNet,,,,,,,,,,600000.000,
DeferredRevenueAndCreditsCurrent,,20000000.000,,,,6200000.000,,,,13900000.000,
DeferredRevenueCurrent,6900000.000,15300000.000,17600000.000,17800000.000,6500000.000,2600000.000,2400000.000,2300000.000,4300000.000,6000000.000,7800000.000
DeferredRevenueNoncurrent,,,,,,,,,,2100000.000,2500000.000
DividendsPayableCurrent,,,,15800000.000,,,,,,,
DueFromOtherRelatedPartiesCurrent,,500000.000,500000.000,,,,,,,,
DueFromOtherRelatedPartiesNoncurrent,,,,700000.000,600000.000,600000.000,,,,,
DueFromRelatedParties,,,,9100000.000,5200000.000,13200000.000,,,,,
DueFromRelatedPartiesCurrent,13500000.000,12600000.000,6000000.000,,,,,,,,
DueToRelatedPartiesCurrent,8200000.000,28600000.000,15700000.000,102000000.000,434200000.000,474700000.000,,,,,
EnvironmentalCostsRecognizedCapitalized,700000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
EquityMethodInvestmentDifferenceBetweenCarryingAmountAndUnderlyingEquity,,,,,,15400000.000,,,,,29800000.000
EquityMethodInvestmentSummarizedFinancialInformationAssets,,434900000.000,,,,,,,,,
EquityMethodInvestmentSummarizedFinancialInformationCurrentAssets,,74200000.000,,,,,,,,,
EquityMethodInvestmentSummarizedFinancialInformationCurrentLiabilities,,25100000.000,,,,,,,,,
EquityMethodInvestmentSummarizedFinancialInformationEquity,,408600000.000,,,,,,,,,
EquityMethodInvestmentSummarizedFinancialInformationLiabilitiesAndEquity,,434900000.000,,,,,,,,,
EquityMethodInvestmentSummarizedFinancialInformationNoncurrentAssets,,360700000.000,,,,,,,,,
