,2011-11-30,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,-4369.000,,,,3851.000,,,,,,,,,,
EarningsPerShareBasicAndDiluted,0.000,0.000,0.000,0.000,-0.010,-0.000,0.000,0.000,-0.010,-0.000,0.000,0.000,-0.010,0.000,0.000,0.000
GeneralAndAdministrativeExpense,8082.000,12621.000,14335.000,7223.000,6987.000,9174.000,7449.000,4942.000,4826.000,1625.000,10852.000,4653.000,3894.000,3073.000,10455.000,4100.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,3252.000,,,,8025.000,,,,-3484.000,,,,3073.000,,
IncreaseDecreaseInInterestPayableNet,,783.000,,,,1876.000,,,,2473.000,,,,3264.000,,
InterestAndDebtExpense,300.000,783.000,1114.000,1456.000,1743.000,1876.000,1966.000,1966.000,1966.000,2473.000,2702.000,3227.000,2890.000,3264.000,3377.000,3264.000
NetCashProvidedByUsedInFinancingActivities,,5000.000,,,,5000.000,,,,5109.000,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,5000.000,,,,5000.000,,,,5109.000,,,,,,
NetCashProvidedByUsedInOperatingActivities,,-9369.000,,,,-1149.000,,,,-5109.000,,,,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-9369.000,,,,-1149.000,,,,-5109.000,,,,,,
NetIncomeLoss,-8382.000,-13404.000,-15449.000,-8679.000,-8730.000,-11050.000,-9415.000,-6908.000,-6792.000,-4098.000,-13554.000,-7880.000,-6784.000,-6337.000,-13832.000,-7364.000
NonoperatingIncomeExpense,-300.000,-783.000,-1114.000,-1456.000,-1743.000,-1876.000,-1966.000,-1966.000,-1966.000,-2473.000,-2702.000,-3227.000,-2890.000,-3264.000,-3377.000,-3264.000
OperatingExpenses,8082.000,12621.000,14335.000,7223.000,6987.000,9174.000,7449.000,4942.000,4826.000,1625.000,10852.000,4653.000,3894.000,3073.000,10455.000,4100.000
OperatingIncomeLoss,-8082.000,-12621.000,-14335.000,-7223.000,-6987.000,-9174.000,-7449.000,-4942.000,-4826.000,-1625.000,-10852.000,-4653.000,-3894.000,-3073.000,-10455.000,-4100.000
ProceedsFromLinesOfCredit,,5000.000,,,,5000.000,,,,,,,,,,
ProceedsFromRepaymentsOfRelatedPartyDebt,,,,,,,,,,5109.000,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,5595000.000,,5595000.000,5595000.000,5595000.000,-11190000.000,5595000.000,5595000.000,5595000.000,-11190000.000,5595000.000,5595000.000,5595000.000
