,2011-07-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,-47836.000,,,,-253.000,,,,,,,,,
CurrentStateAndLocalTaxExpenseBenefit,,,400.000,,,,700.000,,,,,,,750.000,,,,,750.000
EarningsPerShareBasicAndDiluted,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.380,-0.000,0.020,-0.010,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,0.000,0.000
EffectiveIncomeTaxRateContinuingOperations,,,,,,,,,,0.400,,,0.000,,,,,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,,,,,,0.310,,,0.310,,,,,,
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,,,,,,,,,,0.310,,,,,,,,,
EffectiveIncomeTaxRateReconciliationOtherAdjustments,,,,,,,,,,,,,0.400,0.400,,,0.400,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,,,,,,,,,0.088,,,0.088,,,,,,
EffectiveIncomeTaxRateReconciliationTaxCredits,,,,,,,,,,0.000,,,,,,,,,
EquityIssuancePerShareAmount,,,,,,,,,,2.000,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-725.000,-1356.000,-1750.000,-1088.000,-1049.000,-7290.000,-2116363.000,-12023.000,-1461.000,-55316.000,-2034.000,-1826.000,-1290.000,-895.000,-770.000,-545.000,-1825.000,-1225.000,
IncomeTaxExpenseBenefit,,,,,,,,,,0.000,,,,,,,,,
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,,,,,,,,22038.000,,,514.000,,,,,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,,,,,,,,,-17148.000,,,-400.000,,,,,,
IncomeTaxReconciliationStateAndLocalIncomeTaxes,,,,,,,,,,-4890.000,,,-114.000,,,,,,
IncreaseDecreaseInAccruedLiabilities,,1356.000,,,,6954.000,,,,53865.000,,,250.000,,,,85.000,,
InterestExpense,,,,,,,,,,,,0.000,,,,,,,
LegalFees,,,,,,,,,,,1998.000,1790.000,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,,,,-47500.000,,,,1198.000,,,1040.000,,,,1740.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,,-47500.000,,,,1198.000,,,1040.000,,,,1740.000,,
NetCashProvidedByUsedInOperatingActivities,,,,,,-336.000,,,,-1451.000,,,-1040.000,,,,-1740.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,,,,-336.000,,,,-1451.000,,,-1040.000,,,,-1740.000,,
NetIncomeLoss,-725.000,-1356.000,-2150.000,-1088.000,-1049.000,-7290.000,-2117063.000,-12023.000,-1461.000,-55316.000,-2784.000,-1826.000,-1290.000,-1645.000,-770.000,-545.000,-1825.000,-1225.000,-2100.000
OperatingExpenses,725.000,1356.000,1750.000,1088.000,1049.000,7290.000,2116363.000,12023.000,1461.000,55316.000,2034.000,1826.000,1290.000,895.000,770.000,545.000,1825.000,1225.000,1350.000
OperatingIncomeLoss,,,,,,,,,,,,,,,,,,,-1350.000
OtherCostOfServices,,,,,,,,,,,,0.000,,,,,,,
OtherGeneralAndAdministrativeExpense,,,,,,336.000,130.000,30.000,0.000,36.000,36.000,36.000,,,,,,,
OtherGeneralExpense,,,,,,,,,,,,0.000,,,,,,,
OtherSellingGeneralAndAdministrativeExpense,,,,,,,,,,,,0.000,,,,,,,
OtherTaxExpenseBenefit,,,,,,,,,,,750.000,0.000,,,,,,,
PaymentsForMergerRelatedCosts,,,,,,,-907418.000,,,-52253.000,,,,,,,,,
ProceedsFromIssuanceOfCommonStock,,,,,,560000.000,,,,,,,,,,,0.000,,
ProceedsFromIssuanceOfPrivatePlacement,,,,,,,,,,1815700.000,,,,,,,,,
ProceedsFromPaymentsForLongTermLoansForRelatedParties,,,,,,,,,,,,,9523.000,10593.000,,,14364.000,,
ProceedsFromStockPlans,,,,,,100000.000,,,,,,,,,,,,,
ProfessionalAndContractServicesExpense,,,,,,,,,,,,,1200000.000,1200000.000,,,,,
ProfessionalFees,725.000,1356.000,1750.000,1088.000,1038.000,6954.000,8815.000,11993.000,1461.000,3027.000,,,1290.000,895.000,770.000,545.000,1825.000,1225.000,1350.000
ProfitLoss,,-1356.000,,,,,,,,,,,,,,,,,
RepaymentsOfRelatedPartyDebt,,,,,,707500.000,,,,-1198.000,,,-1040.000,,,,1740.000,,
StockIssuedDuringPeriodValueIssuedForCash,,,,,,560000.000,,,,,,,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,5000000.000,5000000.000,,5174470.000,5618270.000,5000000.000,-9845040.000,6483218.000,6483218.000,6483218.000,6483218.000,6483218.000,6483218.000,-12966436.000,6483218.000,6483218.000,6483218.000
