,2011-06-30,2011-12-31,2012-03-31,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2016-03-31
AccountsPayableCurrent,635085.000,464654.000,424775.000,305855.000,169120.000,239152.000,197716.000,187443.000,74676.000,96571.000,102275.000,404319.000,341102.000,194085.000,218535.000,44652.000
AccountsPayableOtherCurrent,,,,4089.000,8064.000,,,,,,,,,,,
AccountsReceivableNet,221949.000,,,,,,,,,,,,,,,
AccountsReceivableNetCurrent,,299050.000,274888.000,189468.000,172391.000,155906.000,181339.000,126025.000,83065.000,103847.000,101419.000,164722.000,,153001.000,247901.000,78733.000
AccruedInsuranceCurrent,,,,,,6198.000,4942.000,11959.000,4240.000,4513.000,4932.000,4841.000,8373.000,5046.000,4396.000,4013.000
AccruedLiabilitiesCurrent,48660.000,49075.000,29665.000,27578.000,35542.000,33319.000,27840.000,20913.000,51947.000,17320.000,16025.000,21366.000,19357.000,16130.000,13320.000,13154.000
AccruedSalariesCurrent,,,,,,,,,,,,,,11084.000,8924.000,9141.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,157825.000,,,,184325.000,,,,189694.000,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,363724.000,226527.000,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,298664.000,332722.000,264118.000,268123.000,375722.000,261108.000,254447.000,286528.000,254206.000,198581.000,216548.000,253532.000,152305.000,218134.000
AdditionalPaidInCapital,3112230.000,3112230.000,3112230.000,3112230.000,3112230.000,3112230.000,3112230.000,3112230.000,3112230.000,3112230.000,3112230.000,3112230.000,3112230.000,3112230.000,3112230.000,3112230.000
AllowanceForDoubtfulAccountsReceivableCurrent,,11624.000,16173.000,42227.000,43497.000,66487.000,68411.000,59307.000,54755.000,59052.000,59140.000,53327.000,51465.000,57071.000,57428.000,91293.000
Assets,4065889.000,3658508.000,3519945.000,2273763.000,1937882.000,1938010.000,1876407.000,1548967.000,1416458.000,1377127.000,1383926.000,1483868.000,1428300.000,1198430.000,1164363.000,759370.000
AssetsCurrent,2563961.000,2275809.000,2070693.000,1522520.000,1335480.000,1385130.000,1362458.000,1171776.000,1108277.000,1059843.000,1094696.000,1237647.000,1181847.000,942590.000,973978.000,565555.000
