,2011-12-31,2012-12-31
AccretionOfDiscount,,63932.000
AssetRetirementObligationAccretionExpense,10955.000,12181.000
CostsAndExpenses,-3613608.000,407126.000
DepreciationDepletionAndAmortization,149772.000,105530.000
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReserves10PercentAnnualDiscountForEstimatedTimingOfCashFlows,,630.000
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureCashInflows,,78360.000
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureNetCashFlows,,22470.000
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureProductionCosts,,55890.000
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesStandardizedMeasure,,21840.000
FederalIncomeTaxExpenseBenefitContinuingOperations,,0.000
GainLossOnSaleOfOilAndGasProperty,4290217.000,0.000
GeneralAndAdministrativeExpense,196633.000,118140.000
ImpairmentOfOilAndGasProperties,,82616.000
IncomeLossAttributableToParent,4697482.000,-148866.000
IncreaseDecreaseInAccountsPayable,9824.000,-18966.000
IncreaseDecreaseInAccountsReceivable,-19.000,4241.000
IncreaseDecreaseInDueFromAffiliatesCurrent,-49126.000,-110741.000
InterestIncomeDomesticDeposits,56.000,4.000
LeaseOperatingExpense,236380.000,69363.000
NaturalGasProductionRevenue,,36005.000
NetCashProvidedByUsedInContinuingOperations,30565.000,16795.000
NetCashProvidedByUsedInFinancingActivities,-5013640.000,-122200.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-5013640.000,-122200.000
NetCashProvidedByUsedInInvestingActivities,4417244.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,4417244.000,
NetCashProvidedByUsedInOperatingActivities,626961.000,138995.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,626961.000,138995.000
NetIncomeLossPerOutstandingGeneralPartnershipUnit,23660.870,-179.860
NetIncomeLossPerOutstandingLimitedPartnershipUnit,6379.530,-232.170
NetIncreaseDecreaseInSalesAndTransferPricesAndProductionCosts,,-162925.000
NonoperatingIncomeExpense,,323.000
OilAndCondensateRevenue,,221932.000
OilAndGasProductionExpense,,88659.000
OilAndGasSalesRevenue,1083818.000,257937.000
OperatingIncomeLoss,4697426.000,-149189.000
OtherNonoperatingIncomeExpense,,319.000
PartnersCapitalAccountDistributions,-5013640.000,-122200.000
ProceedsFromSaleOfOilAndGasPropertyAndEquipment,4429473.000,
ProductionBarrelsOfOilEquivalents,,6.000
ProductionTaxExpense,82869.000,19296.000
ResultsOfOperationsIncomeBeforeIncomeTaxes,,-31049.000
RevisionsOfPreviousQuantityEstimates,,-194844.000
SalesAndTransfersOfOilAndGasProducedNetOfProductionCosts,,157097.000
SettlementOfAssetRetirementObligationsThroughNoncashPaymentsAmount,,2797.000
StandardizedMeasureOfDiscountedFutureNetCashFlowOfProvedOilAndGasReservesPeriodIncreaseDecrease,,-617480.000
