,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2015-03-31,2015-06-30,2015-09-30
AccountsPayableCurrent,,,,,926396.000,819429.000,742482.000,1100127.000,1109707.000,831916.000,1309817.000,2082826.000,1465105.000
AccountsPayableRelatedPartiesCurrent,,,,,51152.000,,,,,,,,
AccountsPayableRelatedPartiesNoncurrent,,,,,51152.000,,,,,,,,
AccountsPayableTradeCurrent,5944.000,3119.000,3119.000,18391.000,,,,,,,,,
AccountsReceivableGross,,,,,,,,,,,,,331568.000
AccountsReceivableGrossCurrent,,,,,,,,,,,1121526.000,763073.000,331566.000
AccountsReceivableNetCurrent,,,,,95006.000,109780.000,401549.000,662281.000,417351.000,483933.000,10923124.000,737073.000,305566.000
AccountsReceivableRelatedPartiesCurrent,,,13063.000,,,,,,,,,,
AccruedLiabilitiesAndOtherLiabilities,,,,,,,789338.000,,,,,,
AccruedLiabilitiesCurrent,,,,,740289.000,716950.000,789338.000,907429.000,926505.000,917456.000,1142933.000,1464603.000,1702971.000
AccruedPayrollTaxesCurrentAndNoncurrent,,,,,,,66313.000,,,,,,
AccruedSalariesCurrent,,,,,,,,84225.000,481206.000,352180.000,,,
AccumulatedAmortizationDeferredFinanceCosts,,,,,,,,,,,,0.000,0.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,285995.000,325592.000,338078.000,-369186.000,-400295.000,-431403.000,-495129.000,-528763.000,-566391.000
AdditionalPaidInCapital,58052.000,58052.000,55157.000,55157.000,4733399.000,6372856.000,8184557.000,8441212.000,9583286.000,,16268315.000,,
AdditionalPaidInCapitalCommonStock,,,,,,,,,,10208465.000,,18406790.000,19225521.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,,,,,,,-28402.000,-26000.000,-26000.000
Assets,8413.000,13063.000,13063.000,,998805.000,2021252.000,2136688.000,2538588.000,2646614.000,2973923.000,5027850.000,5771927.000,4609775.000
AssetsCurrent,8413.000,13063.000,13063.000,8413.000,580838.000,1642481.000,1776758.000,2209766.000,2348901.000,2690598.000,4727845.000,5407366.000,4206068.000
Cash,,,,,,,,,,,,147667.000,177338.000
