,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdministrativeFeesExpense,,,,,,,,,,,,,,,,,,,,27394.000,25284.000,,23593.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,0.000,,,,0.000,,,,0.000,,,,0.000,,,,0.000,,,,0.000
FloorBrokerage,,,,,,,,,,,,,,,,,,,,118677.000,102309.000,,102910.000
IncentiveFeeExpense,,,,,,,,,,,,,,,1550824.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
IncomeLossAttributableToParent,-15074548.000,-7120985.000,6549028.000,-17009500.000,-3446952.000,-6085978.000,12213534.000,-346509.000,-4235561.000,7406088.000,-10775378.000,653498.000,11453464.000,11072427.000,6203516.000,-6481873.000,540440.000,-2116781.000,-2156650.000,501526.000,-3482875.000,4031557.000,-1396402.000
InterestExpenseOther,49580.000,48654.000,29961.000,6987.000,29289.000,5991.000,,,,,,,,,,,,,,,,,
InterestIncomeOperating,,,,144786.000,136648.000,,,,,,,48352.000,44077.000,,59052.000,70137.000,78260.000,82767.000,93237.000,92637.000,96714.000,86158.000,113669.000
NetCashProvidedByUsedInFinancingActivities,,,-18566942.000,,,,-41818725.000,,,,-2186961.000,,,,-1523268.000,,,,-4793778.000,,,,-2615830.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-18566942.000,,,,-41818725.000,,,,-2186961.000,,,,-1523268.000,,,,-4793778.000,,,,-2615830.000
NetCashProvidedByUsedInOperatingActivities,,,18566942.000,,,,41818725.000,,,,2186961.000,,,,1523268.000,,,,4793778.000,,,,2615830.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,18566942.000,,,,41818725.000,,,,2186961.000,,,,1523268.000,,,,4793778.000,,,,2615830.000
NetRealizedOrUnrealizedGainLossOnTradingSecurities,,,,-13294069.000,39947.000,,,,,,,,,,,,,,,1124788.000,-2897166.000,,-874690.000
NoninterestExpenseInvestmentAdvisoryFees,,,,1435515.000,,,,,,,,,,,,,,,,348452.000,341242.000,,306401.000
NoninterestExpenseRelatedToPerformanceFees,32173.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
OperatingExpenses,5412577.000,5431758.000,4192176.000,3860217.000,3623547.000,2900040.000,1639259.000,1120299.000,852343.000,622097.000,732479.000,729902.000,719911.000,2747435.000,2369716.000,814317.000,783653.000,773918.000,711630.000,715899.000,682423.000,691963.000,635381.000
PartnersCapitalAccountRedemptions,,,21363294.000,,,,33535462.000,,,,4503624.000,,,,1317947.000,,,,2819472.000,,,,4024273.000
PaymentsForCommissions,,,,,,,-309040.000,-209923.000,-111470.000,-99036.000,-138075.000,-118873.000,-126896.000,-105161.000,-116794.000,-145457.000,-150503.000,-131293.000,-137117.000,,,,
SponsorFees,994059.000,1004372.000,774035.000,717758.000,669003.000,537266.000,509793.000,400724.000,315823.000,219540.000,268714.000,273458.000,275934.000,301315.000,317468.000,311339.000,314964.000,305744.000,293089.000,275133.000,271441.000,263024.000,246540.000
TradingSecuritiesRealizedGainLoss,,,,-9079011.000,2303408.000,,,,,,,,,,,,,,,-599409.000,-660454.000,,391322.000
TradingSecuritiesUnrealizedHoldingGainLoss,,,,-4215058.000,-2263461.000,,,,,,,1470361.000,4288027.000,,-2249034.000,-2585632.000,2684579.000,-2006156.000,612671.000,1842874.000,-2134403.000,366018.000,-1163102.000
