,2016-11-30
CostOfRevenue,14862.000
Depreciation,1406.000
EarningsPerShareBasicAndDiluted,0.000
GeneralAndAdministrativeExpense,113728.000
GrossProfit,126860.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,11939.000
IncomeTaxExpenseBenefit,0.000
InterestExpense,362.000
InvestmentIncomeInterest,575.000
NetIncomeLoss,11939.000
OperatingExpenses,115134.000
OperatingIncomeLoss,11726.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,1927.000
OtherComprehensiveIncomeLossNetOfTax,13866.000
Revenues,141722.000
SalesRevenueNet,141722.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,23815310.000
