,2014-06-30,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccretionExpense,,,,,,,,,,,32000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,708000.000,,,,713000.000,,,,419000.000
AllocatedShareBasedCompensationExpense,,,708000.000,712000.000,838000.000,757000.000,713000.000,635000.000,93000.000,670000.000,268000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,911148.000,886401000.000,982766.000,-887328165.000,1082314.000,1578856.000,1481819.000,-4089274.000,
CashAcquiredFromAcquisition,,,,,,,,,,,1280000.000
CashPeriodIncreaseDecrease,,,8149000.000,,,,-2272000.000,,,,32169000.000
CostOfRevenue,675731.000,871522.000,760000.000,678000.000,577000.000,457000.000,629000.000,628000.000,599000.000,692000.000,
CostsAndExpenses,,,,,,,,,2705000.000,,
DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction,,,,,,,,,,,184000.000
DepreciationDepletionAndAmortization,36000.000,34000.000,45000.000,,,,47000.000,,,,
EarningsPerShareBasicAndDiluted,-1.130,-0.430,-0.450,-0.330,-0.390,-0.230,-0.260,-0.230,-0.170,-16.920,-0.600
EmployeeServiceShareBasedCompensationTaxBenefitRealizedFromExerciseOfStockOptions,,,0.000,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityTransfersNet,,,,,,,,,,,51000.000
GeneralAndAdministrativeExpense,451711.000,1103762.000,1963000.000,1778000.000,2003000.000,1948000.000,2107000.000,1841000.000,1507000.000,2451000.000,3281000.000
IncreaseDecreaseInAccountsPayable,,,,,,,,,,,118000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,401000.000,,,,-36000.000,,,,
IncreaseDecreaseInAccountsReceivable,,,-490000.000,,,,96000.000,,,,257000.000
IncreaseDecreaseInAccruedLiabilities,,,,,,,,,,,-1054000.000
IncreaseDecreaseInDeferredRevenue,,,,,,,,,,,0.000
IncreaseDecreaseInInventories,,,151000.000,,,,82000.000,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,-104000.000,,,,32000.000,,,,534000.000
InterestAndDebtExpense,,,,,,,,,,,71000.000
InterestExpense,477561.000,4154.000,22000.000,72000.000,24000.000,23000.000,23000.000,23000.000,23000.000,26000.000,
InterestExpenseRelatedParty,476000.000,,19000.000,,,,,,,,
InterestPaid,,,,,,,,,,,38000.000
LeaseAndRentalExpense,,,,,,,,,,,100000.000
LicenseAndServicesRevenue,,,,,,,,,,,10000.000
NetCashProvidedByUsedInFinancingActivities,,,9302000.000,,,,-47000.000,,,,39116000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,9302000.000,,,,-47000.000,,,,39116000.000
NetCashProvidedByUsedInInvestingActivities,,,-44000.000,,,,-3000.000,,,,1236000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-44000.000,,,,-3000.000,,,,1236000.000
NetCashProvidedByUsedInOperatingActivities,,,-1109000.000,,,,-2222000.000,,,,-8183000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-1109000.000,,,,-2222000.000,,,,-8183000.000
NetIncomeLoss,-3288949.000,-1637203.000,-2634000.000,-2562000.000,-3152000.000,-2980000.000,-2758000.000,-2507000.000,-1839000.000,-5570000.000,-6980000.000
NetIncomeLossAvailableToCommonStockholdersBasic,,,,,,,,,,,-6985000.000
NoncashOrPartNoncashAcquisitionValueOfLiabilitiesAssumed1,,,,,,,,,,,1076000.000
NonoperatingIncomeExpense,,,,,,,,,,,30000.000
OperatingExpenses,4084959.000,2934039.000,3257000.000,3224000.000,3629000.000,3615000.000,3553000.000,3358000.000,,,7401000.000
OperatingIncomeLoss,-2811388.000,-1633049.000,-2612000.000,-2490000.000,-3128000.000,-2957000.000,-2735000.000,-2484000.000,-1816000.000,-5473000.000,-6939000.000
PaidInKindInterest,,,20000.000,,,,22000.000,,,,
PaymentsOfStockIssuanceCosts,,,,,,,,,,,1176000.000
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,,,27000.000,,,,26000.000,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,44000.000,,,,3000.000,,,,44000.000
PreferredStockAccretionOfRedemptionDiscount,,,,,,,,,,,5000.000
ProceedsFromIssuanceOfCommonStock,,,9346000.000,,,,,,,,40703000.000
ProceedsFromStockOptionsExercised,,,,,,,,,,,89000.000
ProfitLoss,-3288949.000,-1637203.000,,,,,,,,,
ProvisionForDoubtfulAccounts,,,24000.000,4000.000,4000.000,1000.000,2000.000,0.000,7000.000,65000.000,
ReclassificationsOfTemporaryToPermanentEquity,,,,,,,,,,,76981000.000
RepaymentsOfDebtAndCapitalLeaseObligations,,,17000.000,,,,21000.000,,,,
RepaymentsOfNotesPayable,,,,,,,,,,,500000.000
ResearchAndDevelopmentExpense,9023.000,76214.000,100000.000,194000.000,253000.000,455000.000,307000.000,334000.000,226000.000,21000.000,4120000.000
RestrictedStockSharesIssuedNetOfSharesForTaxWithholdings,,,25934.000,,,,73626.000,,,,
RestrictedStockValueSharesIssuedNetOfTaxWithholdings,,,-27000.000,,,,-26000.000,,,,
RevenueFromGrants,,,,,,,,,,,452000.000
Revenues,1525443.000,1671108.000,1317000.000,1457000.000,1335000.000,1597000.000,2050000.000,2109000.000,889000.000,756000.000,462000.000
SalesRevenueNet,1273571.000,1300990.000,645000.000,734000.000,501000.000,658000.000,818000.000,874000.000,889000.000,756000.000,462000.000
SellingAndMarketingExpense,73754.000,178816.000,434000.000,574000.000,796000.000,755000.000,510000.000,555000.000,373000.000,231000.000,
ShareBasedCompensation,2874740.000,703725.000,708000.000,,,,713000.000,,,,419000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,,0.000,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,,,1000.000,,,,65407.000,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,54000.000,29000.000,,,,14800.000,,,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,,,5.600,,,,2.760,,,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,,2.440,,,,0.530,,,,
ShareBasedGoodsAndNonemployeeServicesTransactionStockholdersEquity,,,330000.000,,,,,,,,
StockIssuedDuringPeriodSharesNewIssues,,,3696427.000,,,,,,,,
StockIssuedDuringPeriodValueAcquisitions,,,,,,,,,,,204000.000
StockIssuedDuringPeriodValueNewIssues,,,8781000.000,,,,,,,,39156000.000
StockIssuedDuringPeriodValueShareBasedCompensation,,,,,,,,,,,89000.000
TemporaryEquityAccretionToRedemptionValueAdjustment,,,,,,,,,,,-5000.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,2903040.000,3782629.000,5793082.000,7785670.000,8125133.000,-13611986.000,10740530.000,10734709.000,10787837.000,-31541661.000,11555286.000
