,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AccountsPayableCurrent,,,,,,,,,,,,,108800.000,,,,,,,,
AccountsPayableRelatedPartiesCurrent,,,,,,,,,,,,,,,,,166400.000,296500.000,451500.000,592900.000,770900.000
AccruedLiabilitiesCurrent,15900.000,12600.000,8800.000,13600.000,16500.000,11600.000,900.000,3600.000,3300.000,13400.000,9300.000,19500.000,6700.000,9900.000,11200.000,13800.000,6700.000,14300.000,9700.000,15100.000,10300.000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,292800.000,252500.000,,0.000,-1800.000,-9400.000,-7900.000,-10900.000,-10100.000,-8100.000,-7200.000,-8000.000,-8500.000,-6000.000,4100.000,3200.000,2300.000,1500.000,900.000,700.000,400.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,
AssetRetirementObligation,1936900.000,1965100.000,2067700.000,2094000.000,2120400.000,2146700.000,2101900.000,2130500.000,2159100.000,2187600.000,2036400.000,2066600.000,2096700.000,2127000.000,3128500.000,3173200.000,3218000.000,3262700.000,3307400.000,3334000.000,3360600.000
Assets,8493000.000,8191800.000,3954600.000,3703800.000,3559300.000,3488700.000,3324900.000,3186200.000,3049900.000,2951100.000,2804600.000,2783800.000,2786800.000,2554700.000,1930800.000,1861500.000,1920600.000,1275100.000,1368400.000,1452200.000,1536300.000
AssetsCurrent,560000.000,529600.000,484600.000,334000.000,302200.000,365700.000,392900.000,345700.000,308500.000,313700.000,365600.000,361500.000,385000.000,171000.000,124500.000,73600.000,151500.000,224500.000,54400.000,56000.000,57900.000
AssetsFairValueDisclosureNonrecurring,,,,,,,,0.000,,,,0.000,0.000,0.000,,0.000,0.000,0.000,,,
CapitalizedCostsAccumulatedDepreciationDepletionAmortizationAndValuationAllowanceForRelatingToOilAndGasProducingActivities,,,,,,,32909600.000,,,,33217700.000,,,,34821000.000,,,,35572000.000,,
CapitalizedCostsOilAndGasProducingActivitiesNet,,,,,,,2919900.000,,,,2432000.000,,,,1798900.000,,,,1047900.000,,
CapitalizedCostsSupportEquipmentAndFacilities,,,,,,,716500.000,,,,716500.000,,,,716500.000,,,,716500.000,,
CapitalizedCostsWellsAndRelatedEquipmentAndFacilities,,,,,,,35113000.000,,,,34933200.000,,,,35903400.000,,,,35903400.000,,
Cash,,,,,,,,,,,,,,,,,,,,0.000,0.000
