,2011-09-30
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,54131.000
AmortizationOfFinancingCostsAndDiscounts,358093.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-239777.000
DepreciationAndAmortization,7370275.000
DirectOperatingCosts,12719041.000
DisposalGroupNotDiscontinuedOperationLossGainOnWriteDown,63662.000
EarningsPerShareBasicAndDiluted,-1.350
GainLossOnSaleOfPropertyPlantEquipment,74106.000
GeneralAndAdministrativeExpense,4594681.000
IncreaseDecreaseInAccountsPayable,-187144.000
IncreaseDecreaseInAccountsReceivable,764926.000
IncreaseDecreaseInDeferredRevenue,55378.000
IncreaseDecreaseInOtherAccruedLiabilities,-448333.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-29641.000
InterestExpense,3026190.000
InterestPaid,2632327.000
InvestmentIncomeInterest,252.000
NetCashProvidedByUsedInFinancingActivities,3791276.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,3791276.000
NetCashProvidedByUsedInInvestingActivities,-3795990.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-3795990.000
NetCashProvidedByUsedInOperatingActivities,-235063.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-235063.000
NetIncomeLoss,-7356910.000
OperatingExpenses,32211104.000
OperatingIncomeLoss,-4330972.000
OtherCostAndExpenseOperating,6124063.000
PaymentsOfFinancingCosts,250000.000
PaymentsToAcquireIntangibleAssets,619732.000
PaymentsToAcquirePropertyPlantAndEquipment,3288559.000
ProceedsFromLinesOfCredit,4034141.000
ProceedsFromSaleOfProductiveAssets,112301.000
ProceedsFromStockPlans,7135.000
ProvisionForDoubtfulAccounts,454965.000
RestrictedStockExpense,88770.000
Revenues,27880132.000
SalesRevenueNet,27880132.000
SellingExpense,1477150.000
ShareBasedCompensation,54131.000
StockIssuedDuringPeriodValueEmployeeStockPurchasePlan,9304.000
StockIssuedDuringPeriodValueRestrictedStockAwardNetOfForfeitures,88770.000
