,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31
AccruedLiabilitiesCurrent,,98629.000,74427.000,55253.000,49558.000,48497.000,42899.000,41975.000
AdditionalPaidInCapital,9200.000,10400.000,14400.000,,,,,
Assets,132259102.000,137407782.000,90763622.000,66208909.000,65635272.000,66281547.000,52352442.000,58440306.000
CashAndCashEquivalentsAtCarryingValue,3836746.000,7108869.000,3686978.000,2172089.000,2935642.000,2188342.000,2046676.000,1201722.000
CommonStockSharesIssued,,2600000.000,1800000.000,,,,,
CommonStockSharesOutstanding,,2600000.000,1800000.000,,,,,
CommonStockValue,,127229537.000,87879459.000,,,,,
DerivativeAssetFairValueNet,,,,,,,,2201776.000
DerivativeAssets,,,,,,,,497495.000
DerivativeCollateralObligationToReturnCash,,,,,,,,350000.000
DerivativeFairValueOfDerivativeAsset,,,,,,,,2201776.000
DerivativeFairValueOfDerivativeLiability,,,,,,,,1354281.000
DerivativeLiabilityFairValueNet1,,,,,,,,1354281.000
DueToCorrespondentBrokers,,,100000.000,,300000.000,,,350073.000
FinancialInstrumentsOwnedUSGovernmentAndAgencyObligationsAtFairValue,114278019.000,108286922.000,74597056.000,53873681.000,50490178.000,56871479.000,44227184.000,45589135.000
InterestReceivable,2643.000,2918.000,2333.000,1532.000,1020.000,751.000,669.000,374.000
InvestmentOwnedUnrecognizedUnrealizedAppreciation,1931105.000,,,,,,,
InvestmentOwnedUnrecognizedUnrealizedDepreciation,2825866.000,,,,,,,
Liabilities,2926687.000,10167845.000,2869763.000,2796380.000,7294437.000,1593180.000,1525006.000,1746329.000
LiabilitiesAndStockholdersEquity,132259102.000,137407782.000,90763622.000,66208909.000,65635272.000,66281547.000,52352442.000,58440306.000
ReceivablesFromBrokersDealersAndClearingOrganizations,,,,,3395116.000,,,
RestrictedCashAndCashEquivalentsAtCarryingValue,,6032492.000,1401234.000,2842806.000,1395340.000,1909668.000,1232071.000,443775.000
ShortTermInvestments,114278019.000,,,,,,,
StockholdersEquity,129332415.000,127239937.000,87893859.000,,,,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,129332415.000,127239937.000,87893859.000,63412529.000,58340835.000,64688367.000,50827436.000,56693977.000
TemporaryEquityRedemptionPricePerShare,,,,48.780,48.620,49.760,50.830,51.540
TemporaryEquityRedemptionValue,,,,63412529.000,58340835.000,64688367.000,50827436.000,56693977.000
TemporaryEquitySharesIssued,,,,1300000.000,1200000.000,1300000.000,1000000.000,1100000.000
TemporaryEquitySharesOutstanding,,,,1300000.000,1200000.000,1300000.000,1000000.000,1100000.000
