,2011-09-30,2012-03-31,2012-09-30
AmortizationOfDebtDiscountPremium,64444.000,36694.000,100393.000
AmortizationOfIntangibleAssets,,7666.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-2274.000,
CostOfGoodsSold,57.000,8548.000,4669.000
DebtInstrumentConvertibleBeneficialConversionFeature,,7048.000,
DepreciationAndAmortization,5973.000,7666.000,7904.000
EarningsPerShareBasic,-0.020,-0.150,0.010
EarningsPerShareDiluted,-0.020,-0.150,0.010
GainLossOnDerivativeInstrumentsNetPretax,-45859.000,-1611049.000,3806444.000
GeneralAndAdministrativeExpense,90994.000,156523.000,190468.000
GrossProfit,190.000,7974.000,4056.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-229031.000,-1835338.000,3416503.000
IncomeTaxExpenseBenefit,0.000,0.000,
IncomeTaxesPaid,,0.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,102891.000,
IncreaseDecreaseInAccountsReceivable,,391.000,
IncreaseDecreaseInDueToRelatedPartiesCurrent,,32500.000,
IncreaseDecreaseInInventoriesAndOtherOperatingAssets,,-249.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,44.000,
InterestExpense,-21951.000,31380.000,95232.000
InterestPaid,,0.000,
NetCashProvidedByUsedInFinancingActivities,,37500.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,37500.000,
NetCashProvidedByUsedInInvestingActivities,,-2470.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-2470.000,
NetCashProvidedByUsedInOperatingActivities,,-37304.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-37304.000,
NetIncomeLoss,-229031.000,-1835338.000,3416503.000
NonoperatingIncomeExpense,-132254.000,-1679123.000,3610819.000
OperatingExpenses,96967.000,164189.000,198372.000
OperatingIncomeLoss,-96777.000,-156215.000,-194316.000
PaymentsForDeposits,,0.000,
PaymentsToAcquireIntangibleAssets,,2470.000,
PaymentsToAcquirePropertyPlantAndEquipment,,0.000,
ProceedsFromNotesPayable,,37500.000,
SalesRevenueGoodsNet,247.000,16522.000,8725.000
WeightedAverageNumberOfDilutedSharesOutstanding,12405788.000,12583885.000,625000000.000
WeightedAverageNumberOfSharesOutstandingBasic,12405788.000,12583885.000,230662356.000
