,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AmortizationOfIntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,24800000.000
AmountOfDilutiveSecuritiesStockOptionsAndRestrictiveStockUnits,,,0.000,0.000,,,0.000,,,,,,,,,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,2300000.000,,,,1100000.000,,,,200000.000,,,,0.000,,,,,
BusinessCombinationAcquisitionRelatedCosts,,,,,,,,,,,,,,,,,,,,,,,3300000.000,
BusinessCombinationIntegrationRelatedCosts,,,,,,,,,,,,,,,,,,,,,,,5900000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-56400000.000,,,,38400000.000,,,,-74400000.000,,,,-43500000.000,,,,-20500000.000,,,,1062200000.000,
ComprehensiveIncomeNetOfTax,,,53300000.000,-18500000.000,-103700000.000,375800000.000,11600000.000,3700000.000,48600000.000,79000000.000,47400000.000,56900000.000,23400000.000,-65400000.000,25100000.000,61300000.000,17600000.000,72000000.000,83700000.000,66600000.000,57400000.000,-100000.000,105500000.000,96600000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,52600000.000,-18500000.000,-103800000.000,375900000.000,11600000.000,3700000.000,48600000.000,79000000.000,47400000.000,56900000.000,23400000.000,-65400000.000,25100000.000,,,,,,,,,96700000.000
CostOfGoodsSold,555700000.000,544100000.000,612300000.000,654000000.000,612200000.000,652700000.000,651300000.000,677400000.000,695500000.000,704400000.000,736900000.000,797900000.000,801700000.000,836700000.000,816300000.000,839500000.000,813300000.000,798600000.000,795200000.000,834000000.000,825700000.000,767000000.000,839200000.000,1441400000.000
DeferredRevenuePeriodIncreaseDecrease,,,-13300000.000,,,,-5000000.000,,,,35700000.000,,,,-4500000.000,,,,-4200000.000,,,,1800000.000,
DepreciationDepletionAndAmortization,,,36700000.000,,,,41300000.000,,,,46900000.000,,,,50000000.000,,,,49800000.000,,,,56200000.000,124600000.000
DilutiveSecurities,,,0.000,0.000,,,,,,,,,,,,,,,,,,,,
EarningsPerShareBasic,0.650,0.330,0.680,0.060,-0.110,4.250,0.100,0.340,0.410,0.380,0.440,0.670,0.630,0.110,0.690,0.750,0.780,0.810,0.780,0.910,0.790,0.600,1.000,0.590
EarningsPerShareDiluted,0.650,0.330,0.680,0.060,-0.110,4.240,0.100,0.340,0.410,0.380,0.440,0.670,0.630,0.110,0.680,0.750,0.780,0.810,0.780,0.900,0.780,0.600,0.990,0.590
