,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AmortizationOfFinancingCosts,18000.000,,,,13000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,2330000.000,2330000.000,2330000.000,-4660000.000,2330000.000
CapitalExpendituresIncurredButNotYetPaid,,,,,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,1031000.000,,,,341000.000
CostOfGoodsSoldDepreciationDepletionAndAmortization,4227000.000,3299000.000,3898000.000,3444000.000,1112000.000
CostsAndExpenses,7730000.000,6720000.000,7172000.000,47703000.000,3445000.000
DepreciationDepletionAndAmortization,4227000.000,,,,1112000.000
DerivativeGainLossOnDerivativeNet,96000.000,-695000.000,61000.000,-136000.000,705000.000
GainLossOnOilAndGasHedgingActivity,333000.000,-826000.000,126000.000,-413000.000,757000.000
GeneralAndAdministrativeExpense,101000.000,114000.000,140000.000,216000.000,198000.000
GeneralPartnerDistributions,4160000.000,,,,
IncomeLossAttributableToParent,-4296000.000,-4161000.000,-9551000.000,,
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasicAndDiluted,-0.180,-0.180,-0.400,-1.920,-0.010
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-331000.000,,,,-293000.000
IncreaseDecreaseInDueToAffiliates,12466000.000,,,,488000.000
IncreaseDecreaseInReceivables,-277000.000,,,,-18000.000
LongTermPurchaseCommitmentAmount,3600000.000,,,,0.000
NetCashProvidedByUsedInFinancingActivities,-5685000.000,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-5685000.000,,,,
NetCashProvidedByUsedInInvestingActivities,-5549000.000,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-5549000.000,,,,
NetCashProvidedByUsedInOperatingActivities,12265000.000,,,,341000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,12265000.000,,,,341000.000
NetIncomeLoss,-4296000.000,-4161000.000,-9551000.000,-45629000.000,-292000.000
NetIncomeLossAllocatedToGeneralPartners,-87000.000,-84000.000,-191000.000,-912000.000,-6000.000
NetIncomeLossAllocatedToLimitedPartners,-4209000.000,-4077000.000,-9360000.000,-44717000.000,-286000.000
OilAndGasSalesRevenue,3101000.000,3385000.000,2792000.000,2573000.000,2396000.000
OperatingIncomeLoss,,,-4254000.000,,
OtherNonoperatingIncomeExpense,,,-5297000.000,,
PartnersCapitalAccountPrivatePlacementOfUnits,1525000.000,,,,
PaymentsOfCapitalDistribution,4160000.000,,,,
PaymentsToAcquireProductiveAssets,5549000.000,,,,
PropertyPlantAndEquipmentAdditions,100000.000,,,,
Revenues,3434000.000,2559000.000,2918000.000,2160000.000,3153000.000
SalesRevenueNet,3434000.000,2559000.000,2918000.000,2160000.000,3153000.000
WeightedAverageNumberOfDilutedSharesOutstanding,23300000.000,23300000.000,23300000.000,-46600000.000,23300000.000
WeightedAverageNumberOfLimitedPartnershipAndGeneralPartnershipUnitOutstandingBasicAndDiluted,23300000.000,23300000.000,23300000.000,-46600000.000,23300000.000
WeightedAverageNumberOfSharesOutstandingBasic,23300000.000,23300000.000,23300000.000,-46600000.000,23300000.000
