,2011-04-03,2011-07-03,2011-10-02,2012-01-01,2012-04-01,2012-07-01,2012-09-30,2012-12-30,2013-03-31,2013-06-30,2013-09-29,2013-12-29,2014-03-30,2014-06-29,2014-09-28,2014-12-28,2015-03-29,2015-06-28,2015-09-27,2016-04-03,2016-07-03,2016-10-02,2017-01-01,2017-04-02
AmortizationOfIntangibleAssets,,,,,,,,,335000000.000,,,,351000000.000,,,,312000000.000,,,282000000.000,,,,329000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,93000000.000,51000000.000,51000000.000,-144000000.000,50000000.000,57000000.000,,,,,,,,,,,,,20000000.000,,,0.000,,0.000
AssetImpairmentCharges,,,,,,,,,69000000.000,,,,37000000.000,,,,0.000,,,82000000.000,,,,37000000.000
AvailableForSaleSecuritiesGrossUnrealizedGains,,,,,,,,,,,,,,,,,2000000.000,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLoss,,,,,,,,,,,,,,,,,2000000.000,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,3001000000.000,,,,5725000000.000,,,,-56000000.000,,,,-1205000000.000,,,,-2535000000.000,,,129000000.000,,,,1937000000.000
CommonStockDividendsPerShareCashPaid,0.540,0.570,0.570,0.570,0.570,0.610,0.610,0.610,0.610,0.660,0.660,0.660,0.660,0.700,0.700,0.700,0.700,0.750,0.750,0.750,0.800,0.800,0.800,0.800
ComprehensiveIncomeNetOfTax,,,,,,,4247000000.000,,2618000000.000,3712000000.000,4446000000.000,6005000000.000,4942000000.000,3964000000.000,2374000000.000,-2819000000.000,1742000000.000,5762000000.000,2551000000.000,5066000000.000,3681000000.000,4264000000.000,,4801000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,5000000000.000,,,,,,-339000000.000,,,,0.000,,,,,,,,,,,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,3600000000.000,1300000000.000,,5002000000.000,-256000000.000,3908000000.000,1682000000.000,,,4446000000.000,,,,,,,,,,,,,
CostOfGoodsSold,4778000000.000,5172000000.000,5072000000.000,5338000000.000,4915000000.000,5143000000.000,5597000000.000,6003000000.000,5554000000.000,5489000000.000,5344000000.000,5955000000.000,5455000000.000,6039000000.000,5399000000.000,5853000000.000,5282000000.000,5357000000.000,5224000000.000,5329000000.000,5336000000.000,5486000000.000,5534000000.000,5386000000.000
DebtInstrumentInterestRateDuringPeriod,0.052,,,,,,,,,,,,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,-4000000.000,,,,557000000.000,,,,365000000.000,,,,495000000.000,,,,545000000.000,,,393000000.000,,,,-27000000.000
DepreciationDepletionAndAmortization,755000000.000,,,,773000000.000,,,,1036000000.000,,,,1013000000.000,,,,895000000.000,,,891000000.000,,,,912000000.000
DerivativeInstrumentsGainLossRecognizedInIncomeNet,-78000000.000,-40000000.000,-67000000.000,-47000000.000,,,,,,,,,,,,,,,,,,,,
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,10000000.000,2000000.000,-117000000.000,-395000000.000,,,,,,,,,,,,,,,,,,,,
DerivativeNetHedgeIneffectivenessGainLoss,-3000000.000,4000000.000,,,,,,,,,,,,,,,,,,,,,,
EarningsPerShareBasic,1.270,1.010,1.170,0.090,1.430,0.510,1.080,0.920,1.250,1.360,1.060,1.250,1.670,1.530,1.690,0.910,1.550,1.630,1.210,1.560,1.460,1.560,1.460,1.630
EarningsPerShareDiluted,1.250,1.000,1.150,0.090,1.410,0.500,1.050,0.900,1.220,1.330,1.040,1.220,1.640,1.510,1.660,0.890,1.530,1.610,1.200,1.540,1.430,1.530,1.430,1.610
EffectOfExchangeRateOnCashAndCashEquivalents,70000000.000,,,,57000000.000,,,,-153000000.000,,,,-45000000.000,,,,-391000000.000,,,81000000.000,,,,110000000.000
EffectiveIncomeTaxRateContinuingOperations,0.229,,,,0.225,,,,0.179,,,,0.129,,,,0.225,,,0.189,,,,0.207
FiniteLivedIntangibleAssetsAmortizationExpense,190000000.000,,,,205000000.000,,,,,,,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsFutureAmortizationExpense,730000000.000,,,,,,,,,,,,,,,,,,,,,,,
FinitelivedIntangibleAssetsAcquired1,,,,,,,,,,,,,,,,,,,,,,2300000000.000,,
GainLossOnForeignCurrencyDerivativeInstrumentsNotDesignatedAsHedgingInstruments,15000000.000,-7000000.000,-10000000.000,-21000000.000,-9000000.000,-17000000.000,35000000.000,39000000.000,-44000000.000,94000000.000,,,9000000.000,-55000000.000,-2000000.000,53000000.000,-84000000.000,124000000.000,-8000000.000,-5000000.000,-36000000.000,35000000.000,-50000000.000,-29000000.000
GainLossOnSalesOfAssetsAndAssetImpairmentCharges,,,,,,,,,,,,,,,,,38000000.000,,,0.000,,,,
