,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,12000000.000,,,,,,,,,,,,,,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,17000000.000,19000000.000,19000000.000,18000000.000,12000000.000,22000000.000,23000000.000,23000000.000,17000000.000,25000000.000,25000000.000,25000000.000,27000000.000,27000000.000,23000000.000,24000000.000,40000000.000,22000000.000,21000000.000,26000000.000,29000000.000,21000000.000,28000000.000,29000000.000,30000000.000,22000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,6000000.000,5000000.000,4000000.000,,7000000.000,7000000.000,7000000.000,,10000000.000,9000000.000,6000000.000,-17000000.000,14000000.000,14000000.000,15000000.000,-30000000.000,15000000.000,14000000.000,14000000.000,-29000000.000,13000000.000,18000000.000
AntidilutiveSecuritiesExcludedFromComputationOfNetIncomePerOutstandingUnitAmount,3000000.000,2000000.000,2000000.000,,,,,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-273000000.000,,,,-145000000.000,,,,-878000000.000,,,,252000000.000,,,,-512000000.000,,,,-321000000.000,,,,71000000.000,
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,,,,,,,,,,,,,,,0.000,,,,,,,,,
CommonStockDividendsPerShareCashPaid,0.110,0.110,0.110,0.120,0.120,0.120,0.120,0.130,0.130,0.260,0.260,0.260,0.260,0.460,0.460,0.460,0.460,0.460,0.460,0.460,0.460,0.050,0.050,0.050,0.050,0.050
ComprehensiveIncomeNetOfTax,508000000.000,514000000.000,344000000.000,514000000.000,734000000.000,431000000.000,760000000.000,-4546000000.000,337000000.000,388000000.000,838000000.000,654000000.000,552000000.000,709000000.000,292000000.000,124000000.000,-171000000.000,485000000.000,-202000000.000,-1600000000.000,126000000.000,-234000000.000,-1320000000.000,-883000000.000,-27000000.000,24000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,-3000000.000,-1000000.000,-4000000.000,,-2000000.000,-3000000.000,-3000000.000,,,,,,,,,,,,,,,,,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,505000000.000,513000000.000,340000000.000,-1472000000.000,732000000.000,428000000.000,757000000.000,-1787000000.000,,,,,,,,,,,,,127000000.000,-234000000.000,-1322000000.000,-886000000.000,-25000000.000,25000000.000
CostOfGoodsAndServicesSold,2171000000.000,2430000000.000,2576000000.000,2984000000.000,3036000000.000,3428000000.000,3948000000.000,4290000000.000,4043000000.000,4335000000.000,4327000000.000,4675000000.000,4381000000.000,3800000000.000,4059000000.000,3391000000.000,3643000000.000,3054000000.000,2634000000.000,2363000000.000,1945000000.000,1689000000.000,1567000000.000,2151000000.000,1532000000.000,1528000000.000
DebtInstrumentBasisSpreadOnVariableRate1,,,,,,,,,,,,,0.009,,,,0.009,,,,,,,,,
DeferredIncomeTaxesAndTaxCredits,95000000.000,,,,119000000.000,,,,-33000000.000,,,,38000000.000,,,,-7000000.000,,,,-135000000.000,,,,4000000.000,
DepreciationAndAmortization,135000000.000,,,,148000000.000,,,,174000000.000,,,,195000000.000,,,,190000000.000,,,,175000000.000,,,,175000000.000,
DerivativeInstrumentsGainLossRecognizedInIncomeIneffectivePortionAndAmountExcludedFromEffectivenessTestingNet,-4000000.000,,,,-1000000.000,,,,,,,,13000000.000,,,,1000000.000,,,,-1000000.000,,,,8000000.000,
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,-11000000.000,,,,,,,,,,,,,,,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,,,,21000000.000,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,,,,,,,,,,624000000.000,,,,,,,,,,,,
DividendsCommonStockCash,46000000.000,47000000.000,47000000.000,51000000.000,51000000.000,51000000.000,51000000.000,56000000.000,56000000.000,111000000.000,111000000.000,111000000.000,,,,,185000000.000,178000000.000,174000000.000,173000000.000,173000000.000,19000000.000,19000000.000,19000000.000,19000000.000,19000000.000
