,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2017-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-426000.000,,,,-257000.000,,,,867000.000,,,,156000.000,,,,-51000.000,,1001000.000,-148000.000
CostOfRevenue,223000.000,226000.000,112000.000,124000.000,160000.000,121000.000,180000.000,112000.000,83000.000,189000.000,82000.000,,,,,,,,,,,
DecreaseInRestrictedCash,,,,,,,,,,,16000.000,,,,205000.000,,,,,,,
DepreciationDepletionAndAmortization,,,7000.000,,,,5000.000,,,,4000.000,,,,,,,,,,,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,,,,,,,,,,740000.000,,,,,,,,,,,
EarningsPerShareBasic,0.000,0.000,-0.010,-0.010,0.000,-0.010,,,,,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,,,,,,,0.000,0.000,0.000,,0.020,0.000,0.000,,0.000,0.000,0.000,,0.000,0.000,0.000,-0.030
EarningsPerShareDiluted,0.000,0.000,,-0.010,0.000,,,,,,,,,,,,,,,,,
GeneralAndAdministrativeExpense,347000.000,348000.000,208000.000,140000.000,157000.000,161000.000,125000.000,130000.000,131000.000,181000.000,122000.000,95000.000,54000.000,192000.000,34000.000,78000.000,30000.000,22000.000,40000.000,23000.000,18000.000,138000.000
GrossProfit,725000.000,780000.000,97000.000,66000.000,356000.000,25000.000,187000.000,203000.000,217000.000,117000.000,162000.000,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,130000.000,108000.000,-470000.000,-310000.000,92000.000,-162000.000,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,130000.000,108000.000,-470000.000,-310000.000,92000.000,-162000.000,,-92000.000,38000.000,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,,,,0.000,0.000,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicShare,0.000,0.000,-0.010,-0.010,0.000,0.000,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerDilutedShare,0.000,0.000,,-0.010,0.000,,,,,,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTax,-2000.000,,,-110000.000,-151000.000,,,,,,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,0.000,0.000,,0.000,0.000,,,,0.000,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayable,,,-150000.000,,,,55000.000,,,,-6000.000,,,,-5000.000,,,,,,,
IncreaseDecreaseInAccountsReceivable,,,-500000.000,,,,158000.000,,,,14000.000,,,,,,,,,,,
IncreaseDecreaseInAccruedLiabilities,,,-380000.000,,,,-39000.000,,,,171000.000,,,,-6000.000,,,,,,,3000.000
IncreaseDecreaseInEmployeeRelatedLiabilities,,,2000.000,,,,-4000.000,,,,-31000.000,,,,,,,,,,,
IncreaseDecreaseInInventories,,,24000.000,,,,-7000.000,,,,-229000.000,,,,,,,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,,,,,,,-18000.000,,,,-4000.000,,,,9000.000,,36000.000,
IncreaseDecreaseInRestrictedCash,,,,,,,,,,,200000.000,,,,,,,,,,,
IncreaseDecreaseInRestrictedCashForOperatingActivities,,,1000.000,,,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,,,,,,,,,,,,,,,,,,,1056000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,,,,,,,,,,,,,,,,,1056000.000,
NetCashProvidedByUsedInInvestingActivities,,,-5000.000,,,,2000.000,,,,-200000.000,,,,205000.000,,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-5000.000,,,,2000.000,,,,-200000.000,,,,205000.000,,,,,,,
NetCashProvidedByUsedInOperatingActivities,,,-421000.000,,,,-259000.000,,,,1067000.000,,,,-49000.000,,,,-51000.000,,-55000.000,-148000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-421000.000,,,,-259000.000,,,,1067000.000,,,,-49000.000,,,,-51000.000,,-55000.000,-148000.000
NetIncomeLoss,,108000.000,-470000.000,-420000.000,-59000.000,-127000.000,-111000.000,-92000.000,38000.000,-133000.000,673000.000,-127000.000,-58000.000,-126000.000,-33000.000,-72000.000,-18000.000,-16000.000,-40000.000,-18000.000,-18000.000,-185000.000
OperatingExpenses,680000.000,698000.000,521000.000,390000.000,323000.000,272000.000,259000.000,274000.000,249000.000,293000.000,200000.000,107000.000,54000.000,193000.000,34000.000,78000.000,30000.000,22000.000,40000.000,23000.000,,
OperatingIncomeLoss,45000.000,82000.000,-424000.000,-324000.000,33000.000,-247000.000,-72000.000,-71000.000,-32000.000,-176000.000,702000.000,-107000.000,-54000.000,-137000.000,-34000.000,-78000.000,-30000.000,-22000.000,-40000.000,-23000.000,-18000.000,-185000.000
OtherNoncashIncomeExpense,,,,,,,,,,,,-12000.000,,,,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,5000.000,,,,,,,,,,,,,,,,,,,
PaymentsToAcquireShortTermInvestments,,,,,,,,,,,16000.000,,,,,,,,,,,
ProceedsFromDivestitureOfBusinesses,,,,,,,,,,,,,,,,,,,,,575000.000,
ProceedsFromIssuanceOfCommonStock,,,,,,,,,,,,,,,,,,,,,481000.000,
ProfitLoss,128000.000,,,,,,,,,,,,,,,,,,,,,
ResearchAndDevelopmentExpense,113000.000,105000.000,134000.000,113000.000,95000.000,66000.000,83000.000,91000.000,70000.000,59000.000,35000.000,12000.000,,,,,,,,,,47000.000
Revenues,948000.000,1006000.000,209000.000,190000.000,516000.000,146000.000,367000.000,315000.000,300000.000,306000.000,244000.000,,,,,,,,,,,
SalesRevenueNet,948000.000,1006000.000,209000.000,190000.000,516000.000,146000.000,367000.000,315000.000,300000.000,306000.000,244000.000,,,,,,,,,,,
SellingAndMarketingExpense,220000.000,245000.000,179000.000,137000.000,71000.000,45000.000,51000.000,53000.000,48000.000,53000.000,43000.000,,,,,,,,,,,
ShareBasedCompensation,,,21000.000,,,,-1000.000,,,,-1000.000,,,,,,,,,,,15000.000
StockIssuedDuringPeriodSharesNewIssues,,,,,,,,,,,,,,,,,,,,,524.000,
StockIssuedDuringPeriodValueNewIssues,,,,,,,,,,,,,,,,,,,,,127000.000,
WeightedAverageNumberOfDilutedSharesOutstanding,42312088.000,42154711.000,,43173592.000,43173592.000,,,,,,,,,,,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,,,,,,,,,,43173592.000,43173592.000,,,,,
WeightedAverageNumberOfSharesOutstandingBasic,42312088.000,42154711.000,42153065.000,43173592.000,43173592.000,-85580395.000,43173592.000,43173592.000,43173592.000,-86347184.000,43173592.000,43173592.000,43173592.000,,43173592.000,,,,43173592.000,43173592.000,242055959.000,5774549.000
