,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AmortizationOfDebtDiscountPremium,-97000.000,,,,1000.000
AmortizationOfFinancingCosts,723000.000,,,,846000.000
CargoAndFreightRevenue,175771000.000,169189000.000,163176000.000,159713000.000,161403000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,1510000.000,,,,
ComprehensiveIncomeNetOfTax,-9583000.000,-4634000.000,-8269000.000,-12063000.000,-7198000.000
CostOfServicesMaintenanceCosts,13580000.000,12373000.000,12240000.000,11789000.000,11438000.000
CostsAndExpenses,174397000.000,162270000.000,159444000.000,158438000.000,156024000.000
DeferredIncomeTaxExpenseBenefit,120000.000,,,,
DeferredIncomeTaxesAndTaxCredits,,,,,133000.000
Depreciation,12904000.000,,,,
DepreciationDepletionAndAmortization,,12547000.000,12136000.000,,9362000.000
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,121000.000,,,,163000.000
EffectiveIncomeTaxRateContinuingOperations,-0.035,-0.041,-0.020,,-0.007
ForeignCurrencyTransactionGainLossUnrealized,2767000.000,,,,579000.000
FuelCosts,12818000.000,13270000.000,12631000.000,13479000.000,14151000.000
GainLossOnDispositionOfAssets1,-659000.000,-769000.000,-130000.000,171000.000,-258000.000
GainLossOnSaleOfPropertyPlantEquipment,-659000.000,,,,-258000.000
GoodwillAndIntangibleAssetImpairment,0.000,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-7358000.000,-4476000.000,-8388000.000,-12243000.000,-6834000.000
IncomeTaxExpenseBenefit,255000.000,183000.000,166000.000,205000.000,56000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,10507000.000,,,,14550000.000
IncreaseDecreaseInOtherNoncurrentAssets,4386000.000,,,,1242000.000
IncreaseDecreaseInOtherNoncurrentLiabilities,-25000.000,,,,326000.000
IncreaseDecreaseInPrepaidExpense,3891000.000,,,,1254000.000
IncreaseDecreaseInReceivables,4594000.000,,,,3548000.000
InterestIncomeExpenseNonoperatingNet,-11538000.000,-10948000.000,-11593000.000,-12538000.000,-12839000.000
LaborAndRelatedExpense,90691000.000,86415000.000,84597000.000,80101000.000,83712000.000
NetCashProvidedByUsedInFinancingActivities,5816000.000,,,,-2479000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,5816000.000,,,,-2479000.000
NetCashProvidedByUsedInInvestingActivities,-6177000.000,,,,-4357000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-6177000.000,,,,-4357000.000
NetCashProvidedByUsedInOperatingActivities,1750000.000,,,,11646000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,1750000.000,,,,11646000.000
NetIncomeLoss,,,,,-6890000.000
NetIncomeLossAvailableToCommonStockholdersBasic,-7613000.000,-4659000.000,-8554000.000,,
NonoperatingIncomeExpense,-8732000.000,-11395000.000,-12120000.000,-13518000.000,-12213000.000
OperatingIncomeLoss,1374000.000,6919000.000,3732000.000,1275000.000,5379000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,-1991000.000,,272000.000,,-327000.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,-1970000.000,,,,-308000.000
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,-21000.000,-25000.000,-13000.000,118000.000,-19000.000
OtherCostAndExpenseOperating,30920000.000,25824000.000,25983000.000,24803000.000,24423000.000
OtherNonoperatingIncomeExpense,2806000.000,-447000.000,-527000.000,-980000.000,626000.000
PaymentsOfFinancingCosts,,,,,215000.000
PaymentsToAcquirePropertyPlantAndEquipment,6184000.000,4572000.000,4482000.000,5416000.000,4608000.000
ProceedsFromLongTermLinesOfCredit,38906000.000,,,,
ProceedsFromSaleOfPropertyPlantAndEquipment,7000.000,,,,251000.000
ProceedsFromSaleOfRealEstate,1600000.000,1800000.000,,,
RepaymentsOfLinesOfCredit,31154000.000,,,,1275000.000
RepaymentsOfLongTermDebt,1936000.000,,,,
SellingGeneralAndAdministrativeExpense,12825000.000,11072000.000,11727000.000,16747000.000,12680000.000
ShareBasedCompensation,210000.000,,,,-317000.000
