,2011-08-31,2011-11-30,2012-02-29,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29
AccountsPayableCurrent,1091000000.000,1125000000.000,1126000000.000,1131000000.000,1150000000.000,1195000000.000,1198000000.000,1270000000.000,1302000000.000,1306000000.000,1320000000.000,1394000000.000,1331000000.000,1315000000.000,1181000000.000,1257000000.000,1148000000.000,1182000000.000,1093000000.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,,,,,,,,266000000.000,,,,247000000.000,,,,218000000.000,,,
AccruedEmployeeBenefitsCurrent,,,,,,,,298000000.000,,,,221000000.000,,,,270000000.000,,,
AccruedInsuranceCurrent,,,,,,,,313000000.000,,,,313000000.000,,,,353000000.000,,,
AccruedLiabilitiesCurrent,1026000000.000,1056000000.000,906000000.000,954000000.000,1035000000.000,1024000000.000,985000000.000,972000000.000,976000000.000,984000000.000,977000000.000,1019000000.000,1002000000.000,1018000000.000,1019000000.000,1056000000.000,981000000.000,975000000.000,949000000.000
AccruedSalariesCurrent,,,,,,,,216000000.000,,,,200000000.000,,,,264000000.000,,,
AccruedVacationCurrent,,,,,,,,476000000.000,,,,481000000.000,,,,480000000.000,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,11316000000.000,11430000000.000,11711000000.000,11509000000.000,11627000000.000,11727000000.000,11899000000.000,11538000000.000,11552000000.000,11793000000.000,12100000000.000,12272000000.000,12541000000.000,12593000000.000,12890000000.000,12392000000.000,12674000000.000,12896000000.000,13193000000.000
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,,,,,,,,,,,,,,,,11000000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,,,,,,,,,,,,,,,-507000000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,135000000.000,32000000.000,98000000.000,-70000000.000,-30000000.000,-15000000.000,-17000000.000,-36000000.000,-113000000.000,-67000000.000,-93000000.000,-65000000.000,-93000000.000,-211000000.000,-355000000.000,-233000000.000,-370000000.000,-400000000.000,-496000000.000
