,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30
AmortizationOfFinancingCosts,501000.000,,,,501000.000,
AssetImpairmentCharges,,,3000000.000,,11600000.000,
AssetRetirementObligationAccretionExpense,887000.000,932000.000,938000.000,939000.000,750000.000,759000.000
AssetRetirementObligationLiabilitiesIncurred,,,,,-20000.000,
AssetRetirementObligationLiabilitiesSettled,,,,,130000.000,
AssetRetirementObligationRevisionOfEstimate,,,,,150000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-8813000.000,,,,18957000.000,
CostsAndExpenses,40768000.000,29467000.000,32164000.000,31554000.000,27877000.000,29828000.000
DefinedContributionPlanEmployerDiscretionaryContributionAmount,,,,,173000.000,210000.000
DefinedContributionPlanMaximumAnnualContributionPerEmployeePercent,,,,,0.060,
DepreciationDepletionAndAmortization,13070000.000,13035000.000,12754000.000,12656000.000,11609000.000,11630000.000
DerivativeInstrumentsGainLossRecognizedInIncomeNet,,17955000.000,-9448000.000,,,
DividendsPreferredStock,,,,,8433000.000,8805000.000
GasGatheringTransportationMarketingAndProcessingCosts,418000.000,385000.000,393000.000,414000.000,401000.000,403000.000
GeneralAndAdministrativeExpense,2282000.000,3555000.000,3351000.000,5123000.000,3470000.000,5369000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-15644000.000,8848000.000,-21512000.000,-5088000.000,-8236000.000,-474000.000
IncomeTaxExpenseBenefit,,,,,0.000,0.000
IncomeTaxesPaidNet,,,,,0.000,
IncreaseDecreaseInAccountsAndOtherReceivables,,,,,1655000.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,319000.000,,,,-579000.000,
IncreaseDecreaseInAccountsReceivable,132000.000,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-980000.000,,,,-1928000.000,
InterestCostsCapitalized,,300000.000,300000.000,,300000.000,300000.000
InterestExpense,8884000.000,8983000.000,9165000.000,-62947000.000,-8650000.000,-9735000.000
InterestExpenseOther,,,,,346000.000,
InterestPaidCapitalized,254000.000,,,,-250000.000,
InterestPaidNet,1387000.000,,,,,
LeaseOperatingExpense,9507000.000,8761000.000,8876000.000,9304000.000,9099000.000,8800000.000
NetCashProvidedByUsedInFinancingActivities,-17850000.000,,,,18349000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-17850000.000,,,,18349000.000,
NetCashProvidedByUsedInInvestingActivities,-6650000.000,,,,-8318000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-6650000.000,,,,-8318000.000,
NetCashProvidedByUsedInOperatingActivities,15687000.000,,,,8926000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,15687000.000,,,,8926000.000,
NetIncomeLoss,-15644000.000,8848000.000,-21512000.000,-5088000.000,-8236000.000,-474000.000
NetIncomeLossAvailableToCommonStockholdersBasic,-23230000.000,1012000.000,-29640000.000,-13484000.000,-16669000.000,-9279000.000
NonoperatingIncomeExpense,-8809000.000,-8906000.000,-9147000.000,61851000.000,8631000.000,9716000.000
OilAndGasRevenue,33340000.000,29266000.000,29247000.000,32444000.000,32076000.000,33463000.000
OperatingIncomeLoss,-6835000.000,17754000.000,-12365000.000,,395000.000,9242000.000
OperatingLeasesRentExpenseNet,,400000.000,400000.000,,0.400,400000.000
OtherNonoperatingIncome,75000.000,77000.000,18000.000,,,
OtherNonoperatingIncomeExpense,,,,,-19000.000,-19000.000
OtherSignificantNoncashTransactionValueOfConsiderationGiven1,,,,,-1028000.000,
PaymentsToAcquireOtherProductiveAssets,,,,,43000.000,
PaymentsToAcquireProductiveAssets,12000.000,,,,,
PreferredStockDividendsAndOtherAdjustments,7586000.000,7836000.000,8128000.000,,,
ProceedsFromIssuanceOfLongTermDebt,5000000.000,,,,21350000.000,
ProceedsFromPaymentsForOtherFinancingActivities,150000.000,,,,-1000.000,
ProceedsFromSaleOfOilAndGasPropertyAndEquipment,134000.000,,,,,
RecapitalizationCosts,284000.000,,,,284000.000,
RepaymentsOfLongTermDebt,23000000.000,,,,3000000.000,
ResultsOfOperationsImpairmentOfOilAndGasProperties,,,,,,0.000
Revenues,33933000.000,47221000.000,19799000.000,,,
SalesRevenueNet,33933000.000,47221000.000,19799000.000,,,
TaxesExcludingIncomeAndExciseTaxes,3052000.000,2799000.000,2764000.000,3117000.000,2548000.000,2867000.000
UnrealizedGainLossOnCommodityContracts,-3524000.000,,,,,
UseOfRestrictedCashForAcquisitionOfOilAndGasProperty,6772000.000,,,,8275000.000,
