,2011-12-31,2012-12-31,2013-12-31,2014-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,-831000.000,1355000.000,-1967000.000,2841000.000
ConstructionInProgressExpendituresIncurredButNotYetPaid,,115000.000,167000.000,37000.000
CurrentStateAndLocalTaxExpenseBenefit,,,,0.000
DepreciationAndAmortization,1476000.000,1110000.000,1016000.000,353000.000
DepreciationDepletionAndAmortization,,,1176000.000,837000.000
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,6781000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,,19000.000,164000.000
DisposalGroupIncludingDiscontinuedOperationDepreciationAndAmortization,,,,315000.000
DisposalGroupIncludingDiscontinuedOperationGeneralAndAdministrativeExpense,,,,25000.000
DisposalGroupIncludingDiscontinuedOperationInterestExpense,,,,232000.000
DisposalGroupIncludingDiscontinuedOperationOperatingExpense,,69000.000,,726000.000
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,,22000.000,,396000.000
DisposalGroupIncludingDiscontinuedOperationOtherIncome,,,,-232000.000
DisposalGroupIncludingDiscontinuedOperationRentalIncome,,91000.000,,1122000.000
DisposalGroupIncludingDiscontinuedOperationRevenue,,91000.000,,1122000.000
DistributionMadeToLimitedPartnerCashDistributionsDeclared,,,,3700000.000
EquityMethodInvestmentSummarizedFinancialInformationNetIncomeLoss,,-2243000.000,,
EquityMethodInvestmentSummarizedFinancialInformationRevenue,,15270000.000,,
GainLossOnSaleOfProperties,,,,6781000.000
GainsLossesOnExtinguishmentOfDebt,,1533000.000,,
GainsLossesOnSalesOfInvestmentRealEstate,1734000.000,,,
GeneralAndAdministrativeExpense,119000.000,140000.000,149000.000,88000.000
ImpairmentOfRealEstate,2096000.000,,,
IncomeLossFromContinuingOperations,,-3202000.000,-1276000.000,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-5942000.000,,,-2363000.000
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,-450.410,-834.100
IncomeLossFromDiscontinuedOperationsNetOfTax,1676000.000,1528000.000,19000.000,6945000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerOutstandingLimitedPartnershipUnitBasic,,,6.710,2451.470
IncomeLossFromEquityMethodInvestments,-1221000.000,-1325000.000,-295000.000,-1094000.000
IncomeTaxExpenseBenefit,37000.000,35000.000,-7000.000,
IncomeTaxesPaidNet,91000.000,91000.000,23000.000,20000.000
IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities,-534000.000,-15000.000,342000.000,-555000.000
IncreaseDecreaseInAccountsPayableRelatedParties,965000.000,1075000.000,348000.000,437000.000
IncreaseDecreaseInAccountsReceivable,37000.000,,,
IncreaseDecreaseInAccountsReceivableRelatedParties,-61000.000,388000.000,-239000.000,-407000.000
IncreaseDecreaseInDeferredCharges,169000.000,351000.000,,-32000.000
IncreaseDecreaseInOtherOperatingAssets,-156000.000,-256000.000,-55000.000,311000.000
IncreaseDecreaseInSecurityDeposits,4000.000,-17000.000,5000.000,
InterestAndOtherIncome,11000.000,40000.000,,
InterestExpense,2273000.000,1663000.000,1264000.000,665000.000
InterestPaidNet,2206000.000,894000.000,1017000.000,702000.000
InvestmentIncomeNet,,,5000.000,5000.000
LimitedPartnersCapitalAccountDistributionAmount,,,,-3734000.000
NetCashProvidedByUsedInFinancingActivities,-2896000.000,1416000.000,-6044000.000,-20156000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-2896000.000,1416000.000,-6044000.000,-20156000.000
NetCashProvidedByUsedInInvestingActivities,2622000.000,93000.000,2995000.000,23093000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,2622000.000,93000.000,2995000.000,23093000.000
NetCashProvidedByUsedInOperatingActivities,-557000.000,-154000.000,1082000.000,-96000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-557000.000,-154000.000,1082000.000,-96000.000
NetIncomeLoss,-4937000.000,-1674000.000,-1257000.000,
NetIncomeLossAttributableToNoncontrollingInterest,671000.000,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnit,-1742.680,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,-443.700,1617.370
NonoperatingIncomeExpense,-3520000.000,-2983000.000,-1547000.000,-1754000.000
OperatingExpenses,6245000.000,3286000.000,3165000.000,1881000.000
OperatingIncomeLoss,-2422000.000,-219000.000,271000.000,-609000.000
OperatingLeasesIncomeStatementLeaseRevenue,3823000.000,3067000.000,3436000.000,1272000.000
OtherComprehensiveIncomeLossBeforeTaxPortionAttributableToParent,,,-1312000.000,4602000.000
