,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31
AcquisitionCosts,,,4900.000,,,,,,,,,,,,,,
AdjustmentOfWarrantsGrantedForServices,,,,-14866.000,,,,22900.000,,-1000.000,,,,58150.000,,,
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,21180.000,,,,,,,,,,,,,,,
AmortizationOfFinancingCosts,,0.000,,,,,,,,,,,,,,,
CapitalExpendituresIncurredButNotYetPaid,,-52083.000,,-59583.000,,,,-67083.000,,-22083.000,,,,5333.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,24009.000,,-8568.000,,,,-13303.000,,-4460.000,,,,690.000,,,
DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction,,0.000,,,,,,,,,,,,,,,
DerivativeGainLossOnDerivativeNet,,,,,,,,,,,,,,58150.000,,,
EarningsPerShareBasicAndDiluted,-0.010,-0.000,0.000,-0.000,-0.010,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.010,-0.000,-0.000,-0.000,-0.010
ExplorationExpenseMining,142561.000,63659.000,27389.000,34455.000,8591.000,,,463.000,4178.000,28671.000,35586.000,22288.000,7116.000,,163.000,9326.000,
FairValueOfAssetsAcquired,,12385.000,,340000.000,,,,,,22000.000,,,,,,,
FairValueOptionChangesInFairValueGainLoss,,,,14866.000,3942.000,9382.000,6133.000,-22900.000,13620.000,,,,,,,,
GainLossOnDispositionOfIntangibleAssets,,-0.000,,,,,,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,,-0.000,,,,,,,,,,,,,,,
GeneralAndAdministrativeExpense,88223.000,72312.000,64563.000,40235.000,200322.000,38043.000,19814.000,49191.000,27948.000,51270.000,27507.000,28125.000,26397.000,52631.000,28627.000,23411.000,28231.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-234384.000,-137915.000,-111145.000,-68303.000,-217194.000,-40141.000,-32470.000,-85045.000,,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.010,,,-0.000,-0.010,-0.000,0.000,-0.000,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTax,,0.000,,,,,,,,,,,,,,,
IncomeTaxesPaid,,0.000,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayable,,32040.000,,-37080.000,,,,6651.000,,34049.000,,,,19946.000,,,
IncreaseDecreaseInAccountsReceivable,,0.000,,,,,,,,,,,,,,,
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,,6114.000,,11850.000,,,,12491.000,,18681.000,,,,5802.000,,,
IncreaseDecreaseInDepositsOutstanding,,0.000,,,,,,,,,,,,,,,
IncreaseDecreaseInFairValueOfUnhedgedDerivativeInstruments,,,-16874.000,,,,,,,,,,,,,,
IncreaseDecreaseInFinishedGoodsAndWorkInProcessInventories,,0.000,,,,,,,,,,,,,,,
IncreaseDecreaseInInterestPayableNet,,,,,,,,,,,,,,19019.000,,,
IncreaseDecreaseInNotesPayableRelatedParties,,,,,,,,,,,,,,77020.000,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,23600.000,,30831.000,,,,-300.000,,-6570.000,,,,-5625.000,,,
InterestExpense,,,2946.000,,,,,,,,,,,,,,
InterestExpenseRelatedParty,1344.000,1945.000,2946.000,8140.000,11073.000,11480.000,12318.000,12491.000,12682.000,15679.000,49293.000,18548.000,19339.000,19821.000,20683.000,21792.000,22886.000
InterestPaid,,0.000,,,,,,,,,,,,,,,
IssuanceOfStockAndWarrantsForServicesOrClaims,,14317.000,,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,150475.000,,274000.000,,,,120000.000,,75000.000,,,,77020.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,150475.000,,274000.000,,,,120000.000,,75000.000,,,,77020.000,,,
NetCashProvidedByUsedInInvestingActivities,,-71485.000,,-205000.000,,,,-90000.000,,-30000.000,,,,-43020.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-71485.000,,-205000.000,,,,-90000.000,,-30000.000,,,,-43020.000,,,
NetCashProvidedByUsedInOperatingActivities,,-54981.000,,-77568.000,,,,-43303.000,,-49460.000,,,,-33310.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-54981.000,,-77568.000,,,,-43303.000,,-49460.000,,,,-33310.000,,,
NetIncomeLoss,-234384.000,-137915.000,-111145.000,-68303.000,-217194.000,-40141.000,-32470.000,-85045.000,938.000,-94620.000,-112306.000,-40061.000,-52472.000,-130602.000,-71223.000,-30039.000,-50147.000
NonoperatingIncomeExpense,-485.000,-1944.000,-19193.000,6727.000,-7131.000,-2098.000,-6185.000,-35391.000,,-14679.000,-49213.000,10352.000,-18959.000,-77971.000,-42433.000,2698.000,-21916.000
NotesReduction,,0.000,,,,,,,,,,,,,,,
OperatingExpenses,233899.000,135971.000,91952.000,75030.000,210063.000,38043.000,26285.000,49654.000,32126.000,79941.000,63093.000,50413.000,33513.000,52631.000,28790.000,32737.000,28231.000
OperatingIncomeLoss,-233899.000,-135971.000,-91952.000,-75030.000,-210063.000,-38043.000,-26285.000,-49654.000,-32126.000,-79941.000,-63093.000,-50413.000,-33513.000,-52631.000,-28790.000,-32737.000,-28231.000
OperatingLeasesRentExpenseNet,,,20000.000,,,,,,,,,,,,,,
OtherCostAndExpenseOperating,3115.000,0.000,,340.000,1150.000,,,,,,,,,,,,
OtherNonoperatingIncomeExpense,859.000,1.000,2.000,1.000,,,,,,,,,,,,,
PaymentsToAcquireInterestInSubsidiariesAndAffiliates,,-0.000,,,,,,,,,,,,,,,
PaymentsToAcquireMineralRights,,71485.000,,205000.000,,,,90000.000,,30000.000,,,,43020.000,,,
ProceedsFromDivestitureOfInterestInConsolidatedSubsidiaries,,0.000,,,,,,,,,,,,,,,
ProceedsFromIssuanceOfPrivatePlacement,,0.000,,,,,,,,,,,,,,,
ProceedsFromIssuanceOfWarrants,,100.000,,,,,,,,,,,,,,,
ProceedsFromRelatedPartyDebt,,150000.000,,275000.000,,,,120000.000,,75000.000,,,,-4550.000,,,
ProceedsFromRepaymentsOfOtherDebt,,375.000,,-1000.000,,,,,,,,,,,,,
RelatedPartyTransactionAmountsOfTransaction,,,7500.000,,,,,,,,,,,,,,
RepaymentsOfRelatedPartyDebt,,-0.000,,,,,,,,,,,,-4550.000,,,
ShareBasedCompensation,,,,0.000,,,,,,,,,,,,0.000,
StockIssued1,,0.000,,,,,,,,,,,,,,,
StockOptionPlanExpense,,6863.000,,,,,,,,,,,,,,,
TransferOfInvestments,,-0.000,,,,,,,,,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,32415345.000,33966836.000,35446764.000,36002320.000,36002320.000,-71591550.000,36002320.000,36002320.000,36140098.000,36202320.000,36202320.000,-72357760.000,36202320.000,36202320.000,36202320.000,-72404640.000
WeightedAverageNumberOfSharesOutstandingBasic,32380233.000,,,,,,,,,,,,,,,,
