,2011-08-31,2011-11-30,2012-02-29,2012-05-31,2012-11-30,2013-02-28,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28
AmortizationOfDebtDiscountPremium,,,,,,,16480.000,,,,,,
CashPeriodIncreaseDecrease,-1101.000,,,,,,-6888.000,,,,,,
ComprehensiveIncomeNetOfTax,,,,,-45629.000,-103983.000,-305076.000,-18739.000,-12373.000,-942054.000,,,
CostOfGoodsAndServicesSold,33014.000,47676.000,45463.000,35740.000,,,,,,,,,
CostOfRevenue,,,,,1547.000,5201.000,858.000,0.000,0.000,,0.000,0.000,0.000
DebtConversionConvertedInstrumentSharesIssued1,,,,,,,193333.000,,,,,,
DebtInstrumentConvertibleBeneficialConversionFeature,,,,,-12750.000,-20747.000,-16480.000,-11144.000,-2115.000,,,,
Depreciation,3062.000,2935.000,1043.000,1284.000,1297.000,1286.000,0.000,,,,,,
DepreciationAndAmortization,3062.000,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,-0.000,-0.000,-0.010,-0.100,-0.000,-0.010,-0.070,-0.000,-0.000,0.060,-0.000,-0.000,-0.000
ForeignCurrencyTransactionGainLossRealized,754.000,20722.000,7983.000,,218.000,13727.000,-4037.000,6043.000,84.000,-695582.000,,,
GeneralAndAdministrativeExpense,41103.000,20053.000,27471.000,44535.000,16910.000,104719.000,88451.000,1147.000,707.000,225371.000,150.000,,
GrossProfit,29748.000,55172.000,22025.000,23116.000,7500.000,30035.000,48596.000,0.000,0.000,-48596.000,0.000,0.000,0.000
IncomeLossFromContinuingOperations,-56828.000,-13888.000,-49292.000,-437953.000,-45847.000,-117710.000,-301039.000,-24782.000,-12457.000,-274234.000,-9659.000,-9596.000,-9662.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-57417.000,-14520.000,-50994.000,-436968.000,-45847.000,-117710.000,-301039.000,-24782.000,-12457.000,-246472.000,-9659.000,-9596.000,-9662.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,8392.000,-27622.000,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,-37877.000,,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.000,,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicShare,,-0.000,-0.010,,-0.000,-0.010,-0.070,-0.000,-0.000,0.060,-0.000,-0.000,-0.000
IncomeLossFromDiscontinuedOperationsNetOfTax,-589.000,-632.000,-1702.000,985.000,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,-0.000,-0.000,-0.000,0.000,-0.000,,,,,,,,
IncomeTaxExpenseBenefit,,0.000,,,0.000,,0.000,,0.000,,,,
IncomeTaxesPaid,,,,,,,0.000,,,,0.000,,
IncreaseDecreaseInAccountsPayable,8077.000,,,,,,-2839.000,,,,150.000,,
IncreaseDecreaseInAccountsReceivable,-13737.000,,,,,,-23256.000,,,,,,
IncreaseDecreaseInAccountsReceivableRelatedParties,5357.000,,,,,,,,,,,,
IncreaseDecreaseInAccruedLiabilities,,,,,,,6338.000,,,,6959.000,,
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,21680.000,,,,,,,,,,,,
IncreaseDecreaseInDueFromEmployeeCurrent,,,,,,,2.000,,,,,,
IncreaseDecreaseInIncomeTaxes,,,,,,,-235.000,,,,,,
IncreaseDecreaseInInventories,-7916.000,,,,,,,,,,,,
IncreaseDecreaseInOperatingCapital,,,,,,,,,,,-150.000,,
IncreaseDecreaseInOtherAccruedLiabilities,,,,,,,1233.000,,,,300.000,,
IncreaseDecreaseInPrepaidExpense,,,,,,,5.000,,,,,,
IncreaseDecreaseInPrepaidTaxes,782.000,,,,,,,,,,,,
InterestExpense,-19034.000,-22280.000,-21670.000,-19778.000,-20620.000,-20438.000,-44226.000,-12491.000,-9635.000,,-9509.000,-9596.000,-9662.000
InterestPaid,5838.000,,,,,,8728.000,,,,,,
NetCashProvidedByUsedInContinuingOperations,,,,,-12477.000,-76525.000,-244109.000,,,,,,
NetCashProvidedByUsedInFinancingActivities,39011.000,,,,,,16337.000,,,,2250.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,39011.000,,,,,,16337.000,,,,2250.000,,
NetCashProvidedByUsedInInvestingActivities,,,,,,,8862.000,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,8862.000,,,,,,
NetCashProvidedByUsedInOperatingActivities,-40112.000,,,,,,-32087.000,,,,-2250.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-40112.000,,,,,,-32087.000,,,,-2250.000,,
NetIncomeLoss,-57417.000,-14520.000,-50994.000,-436968.000,-45847.000,-117710.000,-301039.000,-24782.000,-12457.000,-246472.000,,-9596.000,-9662.000
NoncashOrPartNoncashDivestitureAmountOfConsiderationReceived1,,,,,,,169500.000,,,,,,
OfficersCompensation,,,,,,,200000.000,,,,,,
OperatingExpenses,67625.000,46780.000,49647.000,174665.000,19977.000,106560.000,292705.000,1147.000,707.000,221117.000,150.000,,
OperatingIncomeLoss,,,,,,,,-1147.000,-707.000,,,,
OtherComprehensiveIncomeLossNetOfTax,,,,,,,,,,,,-9596.000,-9662.000
OtherExpenses,83.000,,,,,,,-23635.000,-11750.000,,,,
OtherIncome,,,,,,,,,,,-9509.000,-9596.000,-9662.000
